Timestamp,Event
1686188409910,Start
1686188409910,Spacebar
1686188410393,Spacebar
1686188410666,Spacebar
1686188411116,Spacebar
1686188411482,Spacebar
1686188412015,Spacebar
1686188412473,Spacebar
1686188412786,Spacebar
1686188413265,Spacebar
1686188413698,Spacebar
1686188413982,Spacebar
1686188414182,Spacebar
1686188414567,Spacebar
1686188415182,Spacebar
1686188415630,Over
1686188417842,Start
1686188418294,Spacebar
1686188418853,Spacebar
1686188419155,Spacebar
1686188419749,Spacebar
1686188420003,Spacebar
1686188420208,Spacebar
1686188420416,Spacebar
1686188420903,Spacebar
1686188421209,Spacebar
1686188421632,Spacebar
1686188422070,Spacebar
1686188422278,Spacebar
1686188423152,Spacebar
1686188423411,Spacebar
1686188423714,Spacebar
1686188423866,Spacebar
1686188423972,Spacebar
1686188424728,Spacebar
1686188425082,Spacebar
1686188425466,Spacebar
1686188426050,Spacebar
1686188426467,Spacebar
1686188426660,Spacebar
1686188426781,Spacebar
1686188426898,Spacebar
1686188427005,Spacebar
1686188427111,Spacebar
1686188427224,Spacebar
1686188427295,Over
1686188427333,Spacebar
1686188428821,Start
1686188429359,Spacebar
1686188429868,Spacebar
1686188430358,Spacebar
1686188430797,Spacebar
1686188430944,Spacebar
1686188431082,Spacebar
1686188431215,Spacebar
1686188431338,Spacebar
1686188431481,Spacebar
1686188432177,Spacebar
1686188432733,Spacebar
1686188433205,Spacebar
1686188433465,Spacebar
1686188433602,Spacebar
1686188433717,Spacebar
1686188433840,Spacebar
1686188433964,Spacebar
1686188434874,Spacebar
1686188435026,Spacebar
1686188435168,Spacebar
1686188435314,Spacebar
1686188435452,Spacebar
1686188435784,Spacebar
1686188436231,Spacebar
1686188436731,Spacebar
1686188437160,Spacebar
1686188437498,Spacebar
1686188438018,Spacebar
1686188438554,Spacebar
1686188438861,Spacebar
1686188439321,Spacebar
1686188439914,Spacebar
1686188440315,Spacebar
1686188440757,Spacebar
1686188441361,Spacebar
1686188441702,Spacebar
1686188441848,Spacebar
1686188441969,Spacebar
1686188442083,Spacebar
1686188442198,Spacebar
1686188442310,Spacebar
1686188442434,Spacebar
1686188443055,Spacebar
1686188443216,Spacebar
1686188443815,Spacebar
1686188444311,Spacebar
1686188444464,Spacebar
1686188444598,Spacebar
1686188444724,Spacebar
1686188444858,Spacebar
1686188445230,Spacebar
1686188445460,Spacebar
1686188446298,Spacebar
1686188446664,Spacebar
1686188446872,Spacebar
1686188447249,Spacebar
1686188447403,Spacebar
1686188447543,Over
1686188450305,Start
1686188450648,Spacebar
1686188451446,Over
1686188451453,Spacebar
1686188451643,Spacebar
1686188452564,Start
1686188453738,Spacebar
1686188454276,Spacebar
1686188454633,Spacebar
1686188455048,Spacebar
1686188455436,Spacebar
1686188456160,Spacebar
1686188456372,Spacebar
1686188456907,Spacebar
1686188457085,Spacebar
1686188457248,Spacebar
1686188457598,Spacebar
1686188458048,Spacebar
1686188458340,Spacebar
1686188458826,Spacebar
1686188459599,Spacebar
1686188460048,Spacebar
1686188460215,Spacebar
1686188460365,Spacebar
1686188460515,Spacebar
1686188460688,Spacebar
1686188460999,Spacebar
1686188461116,Spacebar
1686188461240,Spacebar
1686188461365,Spacebar
1686188461487,Spacebar
1686188462455,Spacebar
1686188462459,Over
1686188462598,Spacebar
1686188463880,Start
1686188464244,Spacebar
1686188464722,Spacebar
1686188465415,Spacebar
1686188465898,Spacebar
1686188466047,Spacebar
1686188466171,Spacebar
1686188466420,Spacebar
1686188466462,Over
1686188466538,Spacebar
1686188468309,Start
1686188468574,Spacebar
1686188469249,Spacebar
1686188469730,Spacebar
1686188469919,Spacebar
1686188470093,Spacebar
1686188470515,Spacebar
1686188470943,Spacebar
1686188471164,Spacebar
1686188471401,Spacebar
1686188471720,Spacebar
1686188471888,Spacebar
1686188472055,Spacebar
1686188472260,Spacebar
1686188472907,Spacebar
1686188473080,Spacebar
1686188473877,Spacebar
1686188474040,Spacebar
1686188474472,Spacebar
1686188474667,Spacebar
1686188475117,Spacebar
1686188475677,Spacebar
1686188475988,Spacebar
1686188476153,Spacebar
1686188476332,Spacebar
1686188476965,Spacebar
1686188477295,Over
1686188478598,Start
1686188478915,Spacebar
1686188479431,Spacebar
1686188479863,Spacebar
1686188480081,Spacebar
1686188480551,Spacebar
1686188481166,Spacebar
1686188481593,Spacebar
1686188481735,Spacebar
1686188481864,Spacebar
1686188481983,Spacebar
1686188482103,Spacebar
1686188482223,Spacebar
1686188482347,Spacebar
1686188482833,Spacebar
1686188483206,Spacebar
1686188483482,Spacebar
1686188484049,Spacebar
1686188484707,Spacebar
1686188485031,Spacebar
1686188485459,Spacebar
1686188485931,Spacebar
1686188486460,Over
1686188487714,Start
1686188488304,Spacebar
1686188488814,Spacebar
1686188489149,Spacebar
1686188489364,Spacebar
1686188489683,Spacebar
1686188490468,Spacebar
