TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2034.7406,116.937,15.189,1014.43,1653.75,-3613.75,-988.75,133.76,34.96,-390.64
2034.7906,120.109,14.762,1014.43,1531.25,-3797.5,-472.5,132.24,38.0,-372.4
2034.8406,129.869,16.226,1010.892,1137.5,-3596.25,17.5,135.28,36.48,-376.96
2034.8906,126.148,14.64,1012.905,1181.25,-2931.25,-306.25,112.48,41.04,-363.28
2034.9406,126.331,14.64,1010.77,962.5,-3281.25,-586.25,144.4,44.08,-367.84
2034.9906,125.66,17.69,1011.38,516.25,-2983.75,-428.75,138.32,47.12,-378.48
2035.0406,125.111,5.124,1010.953,1111.25,-3132.5,-971.25,142.88,39.52,-386.08
2035.0906,123.891,14.701,1011.502,1540.0,-3832.5,-140.0,145.92,34.96,-363.28
2035.1406,128.039,14.213,1010.221,78.75,-3543.75,-323.75,138.32,39.52,-373.92
2035.1906,125.721,10.309,1010.465,105.0,-3281.25,-945.0,145.92,45.6,-378.48
2035.2406,123.952,7.808,1015.406,192.5,-4130.0,-1111.25,124.64,39.52,-366.32
2035.2906,128.344,10.187,1013.088,971.25,-4410.0,-840.0,133.76,39.52,-381.52
2035.3406,124.745,14.579,1009.489,8.75,-4453.75,-1085.0,133.76,36.48,-360.24
2035.3906,132.675,12.444,1007.659,70.0,-5162.5,-586.25,126.16,41.04,-369.36
2035.4406,137.128,12.078,1010.77,-516.25,-4515.0,-1461.25,123.12,45.6,-367.84
2035.4906,139.263,7.503,1009.916,-341.25,-4655.0,-2030.0,123.12,36.48,-372.4
2035.5406,140.91,1.952,1009.184,-638.75,-4278.75,-2563.75,112.48,45.6,-363.28
2035.5908,140.056,-1.159,1011.075,26.25,-3561.25,-2423.75,126.16,45.6,-380.0
2035.6406,140.056,-1.22,1014.491,560.0,-4033.75,-1128.75,124.64,39.52,-372.4
2035.6908,148.291,1.769,1010.16,586.25,-3430.0,-805.0,135.28,42.56,-369.36
2035.7406,140.422,-0.671,1003.755,323.75,-3395.0,-1618.75,120.08,45.6,-369.36
2035.7907,144.387,-0.854,1004.304,1190.0,-3228.75,-1557.5,136.8,45.6,-376.96
2035.8406,146.217,7.686,1012.539,603.75,-2773.75,-1303.75,126.16,38.0,-363.28
2035.8907,133.468,-1.159,1006.744,323.75,-2896.25,-1303.75,117.04,53.2,-349.6
2035.9406,136.03,1.586,1008.025,1050.0,-3745.0,-1785.0,133.76,39.52,-364.8
2035.9906,144.204,7.503,1008.94,192.5,-4681.25,-901.25,141.36,30.4,-361.76
2036.0406,148.535,0.549,1009.062,-61.25,-3788.75,-1225.0,127.68,51.68,-369.36
2036.0906,138.287,2.928,1005.768,35.0,-3473.75,-1820.0,133.76,44.08,-367.84
2036.1406,146.4,-6.344,1008.452,280.0,-4488.75,-945.0,126.16,36.48,-352.64
2036.1906,157.502,-0.732,1005.585,262.5,-3788.75,-726.25,115.52,39.52,-369.36
2036.2406,155.428,-3.111,1006.134,-78.75,-2362.5,-1811.25,133.76,33.44,-369.36
2036.2906,153.354,-4.941,1005.097,157.5,-1890.0,-1575.0,141.36,41.04,-360.24
2036.3406,143.838,-8.235,1013.21,70.0,-2100.0,-848.75,129.2,39.52,-378.48
2036.3906,139.202,-7.503,1006.927,700.0,-2966.25,-945.0,136.8,47.12,-375.44
2036.4406,148.413,-12.322,1009.062,1015.0,-3648.75,-1662.5,135.28,51.68,-373.92
2036.4906,150.914,-3.538,1007.171,1120.0,-3202.5,-472.5,132.24,45.6,-375.44
2036.5406,150.426,-4.453,1006.866,376.25,-2283.75,-603.75,132.24,54.72,-373.92
2036.5906,147.071,-6.161,1009.367,630.0,-2948.75,-770.0,132.24,39.52,-351.12
2036.6406,146.888,7.015,1011.868,-1111.25,-4471.25,-70.0,135.28,38.0,-367.84
2036.6906,143.411,-26.23,1013.881,1575.0,-1977.5,-192.5,124.64,50.16,-367.84
2036.7406,137.372,1.708,997.472,787.5,-4733.75,-376.25,135.28,36.48,-360.24
2036.7906,165.92,-34.648,1016.077,1076.25,-2073.75,-2458.75,117.04,54.72,-373.92
2036.8406,125.721,3.416,1003.328,1942.5,-4436.25,96.25,126.16,54.72,-358.72
2036.8906,161.04,-28.365,1008.94,1076.25,-5696.25,-1452.5,114.0,66.88,-352.64
2036.9406,130.113,-15.128,1006.561,2493.75,-4173.75,-1251.25,104.88,53.2,-360.24
2036.9906,160.308,-1.281,999.302,717.5,-6938.75,-1470.0,117.04,47.12,-364.8
2037.0406,148.047,-10.309,1006.5,2957.5,-7638.75,-2686.25,127.68,47.12,-345.04
2037.0906,158.234,19.52,998.082,-201.25,-9170.0,-2021.25,106.4,51.68,-363.28
2037.1406,156.343,-16.165,1006.195,1260.0,-7446.25,-4987.5,123.12,51.68,-361.76
2037.1906,151.646,4.453,997.106,892.5,-10771.25,-6685.0,117.04,36.48,-351.12
2037.2406,194.773,-7.137,1004.792,-70.0,-12573.75,-4550.0,107.92,31.92,-372.4
2037.2906,201.971,-12.749,1002.657,17.5,-8732.5,-3473.75,107.92,33.44,-357.2
2037.3406,221.43,-19.398,993.324,17.5,-10377.5,-2415.0,109.44,39.52,-338.96
2037.3906,249.49,-5.49,997.899,-87.5,-6580.0,-1837.5,79.04,51.68,-351.12
2037.4406,253.76,-4.636,1005.28,-1758.75,-3036.25,-2222.5,98.8,33.44,-338.96
2037.4906,225.883,-18.056,999.851,-1496.25,8.75,-787.5,110.96,31.92,-345.04
2037.5406,216.123,-15.921,1002.779,-673.75,-227.5,-175.0,80.56,53.2,-357.2
2037.5906,208.376,-14.518,995.764,-105.0,113.75,-708.75,100.32,48.64,-352.64
2037.6406,196.603,-17.629,996.313,-332.5,568.75,-1093.75,98.8,54.72,-345.04
2037.6906,197.884,-27.45,1003.389,-848.75,-376.25,-2091.25,98.8,44.08,-351.12
2037.7406,197.701,-36.356,1008.269,1120.0,630.0,-2432.5,98.8,56.24,-358.72
