TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1132682.5219,-122.732,522.343,859.429,332.5,-2677.5,-1365.0,659.68,-197.6,-269.04
1132682.5719,-124.562,515.145,859.002,892.5,-2590.0,-1601.25,630.8,-185.44,-273.6
1132682.6219,-129.076,518.012,856.318,1277.5,-2817.5,-1295.0,652.08,-208.24,-266.0
1132682.6719,-121.573,517.768,858.331,1172.5,-3395.0,-595.0,646.0,-205.2,-264.48
1132682.7219,-117.486,520.208,860.405,1207.5,-2782.5,-726.25,644.48,-188.48,-264.48
1132682.7719,-126.819,520.208,857.172,603.75,-2458.75,-1741.25,670.32,-206.72,-272.08
1132682.8219,-126.575,515.816,859.246,1461.25,-3325.0,-1461.25,659.68,-205.2,-262.96
1132682.8719,-115.107,513.986,860.588,1846.25,-2983.75,-656.25,647.52,-202.16,-269.04
1132682.9219,-133.773,527.345,851.926,883.75,-2406.25,-1452.5,664.24,-200.64,-272.08
1132682.9719,-124.623,517.524,857.721,96.25,-2826.25,-1382.5,661.2,-199.12,-282.72
1132683.0219,-122.0,515.389,859.978,866.25,-2345.0,-761.25,641.44,-203.68,-270.56
1132683.0719,-125.782,520.818,860.893,1128.75,-2135.0,-962.5,647.52,-194.56,-266.0
1132683.1219,-129.564,517.036,858.148,1566.25,-3893.75,-1382.5,664.24,-185.44,-282.72
1132683.1719,-120.048,524.783,855.342,2108.75,-2826.25,-1776.25,661.2,-199.12,-258.4
1132683.2219,-123.403,523.563,856.623,586.25,-2485.0,-1478.75,627.76,-188.48,-261.44
1132683.2719,-124.867,516.609,859.368,516.25,-2607.5,-1286.25,641.44,-186.96,-269.04
1132683.3219,-119.682,517.829,859.246,551.25,-2310.0,-1470.0,662.72,-188.48,-262.96
1132683.3719,-127.368,515.45,858.575,1137.5,-2170.0,-1951.25,650.56,-197.6,-281.2
1132683.4219,-129.32,519.476,859.063,1242.5,-2756.25,-1837.5,655.12,-196.08,-272.08
1132683.4719,-128.283,518.317,857.05,1636.25,-3018.75,-1242.5,665.76,-197.6,-262.96
1132683.5219,-123.952,520.513,855.098,1478.75,-2607.5,-1461.25,659.68,-202.16,-261.44
1132683.5719,-126.27,524.112,858.88,883.75,-2467.5,-1881.25,649.04,-199.12,-267.52
1132683.6219,-131.272,517.585,854.244,1513.75,-2773.75,-1890.0,661.2,-186.96,-276.64
1132683.6719,-121.756,520.269,860.649,1688.75,-3018.75,-1478.75,659.68,-218.88,-269.04
1132683.7219,-136.64,523.807,852.597,507.5,-2458.75,-1671.25,653.6,-177.84,-264.48
1132683.7719,-126.758,516.487,859.734,157.5,-2546.25,-1216.25,652.08,-188.48,-261.44
1132683.8219,-127.49,516.853,857.904,743.75,-2056.25,-980.0,655.12,-193.04,-267.52
1132683.8719,-133.163,517.829,858.575,927.5,-2800.0,-1338.75,641.44,-194.56,-273.6
1132683.9219,-127.307,513.925,857.538,1601.25,-3727.5,-1312.5,652.08,-200.64,-270.56
1132683.9719,-126.88,527.223,856.257,2091.25,-3141.25,-1855.0,649.04,-208.24,-256.88
1132684.0219,-124.806,523.258,854.244,761.25,-2616.25,-1566.25,650.56,-191.52,-276.64
1132684.0719,-127.673,518.805,860.039,481.25,-2135.0,-927.5,653.6,-185.44,-262.96
1132684.1219,-129.686,518.988,857.66,691.25,-2003.75,-1435.0,653.6,-191.52,-261.44
1132684.1719,-136.945,519.72,854.793,1242.5,-2835.0,-2047.5,652.08,-186.96,-256.88
1132684.2219,-128.222,520.147,859.002,761.25,-3167.5,-1163.75,649.04,-185.44,-282.72
1132684.2719,-127.551,515.816,857.721,770.0,-2896.25,-665.0,668.8,-205.2,-267.52
1132684.3219,-127.368,517.097,859.246,218.75,-2038.75,-1050.0,647.52,-186.96,-267.52
1132684.3719,-134.078,512.705,855.647,1417.5,-2248.75,-1715.0,642.96,-185.44,-258.4
1132684.4219,-123.525,520.269,863.516,1636.25,-2940.0,-1837.5,662.72,-190.0,-259.92
1132684.4719,-132.614,522.953,856.318,665.0,-2467.5,-1898.75,671.84,-196.08,-262.96
1132684.5219,-127.612,513.803,858.27,-210.0,-2056.25,-446.25,647.52,-179.36,-261.44
1132684.5719,-132.187,514.779,858.941,280.0,-2248.75,-796.25,656.64,-190.0,-273.6
1132684.6219,-134.139,512.827,862.479,848.75,-2738.75,-1365.0,656.64,-190.0,-273.6
1132684.6719,-127.49,511.424,863.394,2248.75,-3491.25,-1583.75,658.16,-200.64,-273.6
1132684.7219,-133.102,515.694,859.612,2441.25,-3045.0,-1793.75,650.56,-199.12,-261.44
1132684.7719,-129.564,517.646,859.551,1688.75,-2721.25,-1583.75,649.04,-193.04,-258.4
1132684.8219,-130.418,519.781,861.686,1303.75,-2415.0,-1408.75,658.16,-202.16,-270.56
1132684.8719,-133.468,514.413,860.039,1032.5,-2563.75,-1557.5,658.16,-191.52,-262.96
1132684.9219,-134.139,516.548,857.05,1426.25,-3167.5,-1583.75,664.24,-197.6,-279.68
1132684.9719,-132.492,521.672,855.22,1198.75,-3150.0,-1032.5,652.08,-193.04,-267.52
1132685.0219,-129.076,514.047,856.989,988.75,-2782.5,-822.5,655.12,-190.0,-261.44
1132685.0719,-132.919,516.67,855.22,2170.0,-2686.25,-1268.75,674.88,-188.48,-267.52
1132685.1219,-126.026,523.197,862.845,1680.0,-2878.75,-2213.75,649.04,-197.6,-258.4
1132685.1719,-134.871,522.648,852.414,568.75,-2415.0,-1855.0,659.68,-183.92,-269.04
1132685.2219,-129.869,515.816,855.83,52.5,-1933.75,-892.5,647.52,-186.96,-267.52
1132685.2719,-134.261,517.951,857.355,533.75,-2450.0,-586.25,655.12,-186.96,-267.52
1132685.3219,-137.006,515.572,857.111,638.75,-2852.5,-1198.75,647.52,-197.6,-266.0
1132685.3719,-130.54,514.413,859.124,1601.25,-3815.0,-1321.25,653.6,-183.92,-273.6
1132685.4219,-129.93,520.574,858.026,1216.25,-2922.5,-1680.0,670.32,-194.56,-272.08
1132685.4719,-132.187,516.182,860.71,708.75,-2380.0,-1233.75,653.6,-197.6,-261.44
1132685.5219,-133.773,517.463,861.381,560.0,-2248.75,-1321.25,658.16,-190.0,-282.72
1132685.5719,-133.712,513.132,859.307,1076.25,-2476.25,-1645.0,664.24,-194.56,-262.96
1132685.6219,-140.3,515.999,856.196,1435.0,-3053.75,-1496.25,656.64,-186.96,-270.56
1132685.6719,-130.479,518.866,859.795,927.5,-3500.0,-1032.5,661.2,-206.72,-272.08
1132685.7219,-129.198,508.191,860.649,1828.75,-2712.5,-1251.25,644.48,-197.6,-272.08
1132685.7719,-131.577,523.136,857.355,1566.25,-3438.75,-875.0,659.68,-197.6,-273.6
1132685.8219,-133.956,520.574,856.623,1146.25,-2038.75,-1986.25,630.8,-194.56,-273.6
1132685.8719,-135.603,512.827,855.708,551.25,-2703.75,-945.0,653.6,-191.52,-273.6
1132685.9219,-133.712,515.755,858.087,1286.25,-2572.5,-1058.75,655.12,-186.96,-269.04
1132685.9719,-135.969,518.866,857.111,1286.25,-3097.5,-1093.75,662.72,-199.12,-267.52
1132686.0219,-131.211,520.086,857.233,1592.5,-3727.5,-1408.75,639.92,-188.48,-272.08
1132686.0719,-124.745,521.367,860.161,2161.25,-2633.75,-2073.75,671.84,-193.04,-270.56
1132686.1219,-131.455,519.354,855.037,1408.75,-2555.0,-1513.75,664.24,-194.56,-266.0
1132686.1719,-133.59,518.439,857.05,1172.5,-2222.5,-1680.0,655.12,-206.72,-272.08
1132686.2219,-134.993,518.134,858.087,1190.0,-2423.75,-1785.0,656.64,-186.96,-278.16
1132686.2719,-137.372,520.33,853.634,1890.0,-2756.25,-1881.25,665.76,-200.64,-264.48
1132686.3219,-135.908,520.879,855.281,1548.75,-3360.0,-1697.5,656.64,-197.6,-253.84
1132686.3719,-131.577,517.28,857.599,997.5,-3132.5,-1356.25,655.12,-186.96,-293.36
1132686.4219,-140.117,516.792,853.39,2205.0,-3281.25,-770.0,655.12,-194.56,-259.92
1132686.4719,-127.185,526.735,862.906,2187.5,-3281.25,-1338.75,659.68,-194.56,-279.68
1132686.5219,-137.555,518.256,851.926,490.0,-2528.75,-1478.75,650.56,-183.92,-267.52
1132686.572,-134.383,515.694,856.196,717.5,-2703.75,-717.5,642.96,-193.04,-285.76
1132686.622,-133.956,522.099,860.771,892.5,-2686.25,-945.0,655.12,-188.48,-264.48
1132686.672,-134.81,523.441,855.037,1006.25,-2975.0,-1417.5,661.2,-205.2,-253.84
1132686.722,-130.601,512.644,859.063,1391.25,-3657.5,-1400.0,662.72,-202.16,-279.68
1132686.772,-137.616,525.759,852.719,2213.75,-2581.25,-638.75,655.12,-191.52,-264.48
1132686.8219,-130.235,525.027,855.647,1155.0,-2520.0,-945.0,647.52,-199.12,-255.36
1132686.8719,-133.59,519.842,856.928,1163.75,-2878.75,-1846.25,642.96,-196.08,-270.56
1132686.9219,-134.078,517.463,856.867,1662.5,-3106.25,-1365.0,659.68,-194.56,-267.52
1132686.9719,-137.738,524.417,854.183,1058.75,-3115.0,-1198.75,655.12,-190.0,-267.52
1132687.0219,-134.627,516.731,852.841,1347.5,-3351.25,-481.25,650.56,-190.0,-264.48
1132687.0719,-132.065,523.807,856.257,1216.25,-3465.0,-595.0,642.96,-197.6,-266.0
1132687.1219,-124.806,518.988,854.183,2940.0,-3115.0,-638.75,656.64,-202.16,-266.0
1132687.1719,-119.194,527.772,860.527,2843.75,-1916.25,-1216.25,653.6,-200.64,-266.0
1132687.2219,-139.568,526.003,843.569,297.5,-1015.0,-2406.25,659.68,-185.44,-264.48
1132687.2719,-144.143,523.38,851.316,-87.5,-1951.25,-2082.5,662.72,-199.12,-259.92
1132687.3219,-138.165,518.744,854.305,700.0,-3018.75,-1111.25,668.8,-190.0,-262.96
1132687.3719,-139.324,516.853,855.525,1373.75,-2948.75,-980.0,644.48,-185.44,-264.48
1132687.4219,-137.982,514.474,851.56,2003.75,-3438.75,-1478.75,656.64,-186.96,-273.6
1132687.4719,-139.629,537.288,845.399,2835.0,-3666.25,-1995.0,650.56,-205.2,-261.44
1132687.5219,-131.211,535.519,849.669,271.25,-3701.25,-630.0,653.6,-202.16,-269.04
1132687.5719,-126.27,523.685,856.989,-866.25,-481.25,393.75,659.68,-200.64,-259.92
1132687.6219,-139.568,519.537,854.732,-105.0,-367.5,-376.25,664.24,-200.64,-266.0
1132687.6719,-146.339,517.89,851.438,280.0,-3438.75,-1741.25,667.28,-190.0,-261.44
1132687.7219,-135.176,518.683,857.782,1085.0,-3762.5,-2030.0,646.0,-179.36,-267.52
1132687.7719,-130.662,517.646,855.464,1400.0,-2450.0,-1216.25,655.12,-203.68,-270.56
1132687.8219,-143.106,521.794,858.087,1767.5,-2677.5,-1338.75,664.24,-188.48,-259.92
1132687.8719,-140.727,521.977,854.915,1863.75,-3885.0,-1933.75,652.08,-200.64,-259.92
1132687.9219,-131.76,523.136,854.549,1925.0,-4786.25,-682.5,653.6,-193.04,-278.16
1132687.9719,-124.257,528.626,859.49,2213.75,-2598.75,-1303.75,664.24,-196.08,-264.48
1132688.0219,-131.455,523.868,849.852,1330.0,-1785.0,-971.25,650.56,-194.56,-267.52
1132688.0719,-131.028,532.469,857.538,647.5,-1662.5,-2318.75,659.68,-205.2,-269.04
1132688.1219,-141.764,521.489,850.767,1058.75,-1863.75,-1618.75,665.76,-191.52,-281.2
1132688.1719,-145.119,525.393,851.682,-122.5,-2642.5,-752.5,641.44,-194.56,-252.32
1132688.2219,-139.873,511.607,852.841,1128.75,-3386.25,-918.75,658.16,-199.12,-264.48
1132688.2719,-135.725,530.639,851.926,1102.5,-3368.75,-1303.75,656.64,-202.16,-266.0
1132688.3219,-132.797,522.282,854.061,761.25,-2773.75,-1645.0,649.04,-197.6,-266.0
1132688.3719,-125.843,513.437,861.259,1767.5,-1373.75,-2423.75,655.12,-203.68,-273.6
1132688.4219,-145.18,513.681,854.915,3395.0,-1548.75,-4978.75,659.68,-191.52,-267.52
1132688.4719,-149.145,526.003,851.438,3701.25,-5092.5,-4427.5,664.24,-191.52,-256.88
1132688.5219,-140.239,526.43,852.536,2187.5,-3447.5,-1058.75,674.88,-193.04,-269.04
1132688.5719,-141.459,524.295,847.839,1977.5,-2651.25,962.5,658.16,-188.48,-269.04
1132688.6219,-138.104,532.042,850.95,2205.0,-2957.5,-560.0,662.72,-177.84,-276.64
1132688.6719,-144.021,532.469,848.815,1557.5,-3535.0,-2003.75,667.28,-205.2,-262.96
1132688.7219,-144.448,531.249,845.094,3071.25,-4427.5,-1610.0,653.6,-203.68,-270.56
1132688.7719,-143.594,534.97,846.253,3027.5,-4725.0,-761.25,655.12,-193.04,-279.68
1132688.8219,-138.592,541.497,846.253,428.75,-5258.75,8.75,665.76,-196.08,-264.48
1132688.8719,-130.296,531.92,851.194,-507.5,-5031.25,-315.0,658.16,-211.28,-261.44
1132688.9219,-106.201,517.89,858.27,2257.5,-2765.0,-5398.75,673.36,-197.6,-259.92
1132688.9719,-142.374,529.175,848.693,2625.0,-1688.75,-2292.5,647.52,-211.28,-279.68
1132689.0219,-148.413,537.593,844.911,2511.25,-2957.5,-621.25,655.12,-190.0,-258.4
1132689.0719,-141.398,543.205,842.288,2476.25,-3893.75,0.0,655.12,-190.0,-262.96
1132689.1219,-131.089,532.225,843.691,1741.25,-4488.75,-245.0,667.28,-196.08,-266.0
1132689.1719,-123.403,538.386,848.144,1898.75,-2975.0,-1356.25,655.12,-194.56,-252.32
1132689.2219,-132.858,538.325,847.412,1408.75,-1855.0,-1802.5,658.16,-202.16,-270.56
1132689.2719,-143.411,534.177,840.031,1548.75,-2878.75,-1391.25,656.64,-200.64,-266.0
1132689.3219,-133.773,540.277,844.789,1251.25,-3447.5,-463.75,673.36,-203.68,-262.96
1132689.3719,-131.272,534.604,844.423,945.0,-2791.25,-297.5,655.12,-200.64,-270.56
1132689.4219,-129.991,538.264,846.863,1146.25,-2948.75,-306.25,658.16,-193.04,-264.48
1132689.4719,-127.917,535.885,847.961,962.5,-3001.25,-1251.25,658.16,-197.6,-269.04
1132689.5219,-134.017,537.593,845.765,813.75,-3307.5,-1330.0,668.8,-205.2,-253.84
1132689.5719,-128.466,533.262,846.985,1181.25,-2966.25,-1312.5,642.96,-179.36,-267.52
1132689.6219,-127.49,535.153,851.377,2126.25,-3298.75,-201.25,646.0,-199.12,-270.56
1132689.6719,-132.492,537.776,840.031,831.25,-2511.25,-778.75,642.96,-191.52,-253.84
1132689.7219,-128.283,531.554,842.959,656.25,-2423.75,-796.25,649.04,-202.16,-258.4
1132689.7719,-133.956,535.58,845.521,1426.25,-2301.25,-1478.75,646.0,-199.12,-249.28
1132689.8219,-136.945,538.63,840.153,1391.25,-3027.5,-1172.5,671.84,-202.16,-264.48
1132689.8719,-129.93,535.763,840.946,516.25,-3246.25,-848.75,667.28,-200.64,-259.92
1132689.9219,-124.318,532.957,845.46,1627.5,-2686.25,-1006.25,650.56,-190.0,-261.44
1132689.9719,-134.627,542.534,843.386,288.75,-2598.75,-770.0,656.64,-199.12,-266.0
1132690.0219,-129.93,536.556,847.29,96.25,-2703.75,-822.5,650.56,-203.68,-258.4
1132690.0719,-132.492,537.41,848.327,122.5,-2397.5,-1076.25,650.56,-193.04,-266.0
1132690.1219,-136.945,533.933,845.338,122.5,-2870.0,-1041.25,659.68,-185.44,-246.24
1132690.1719,-133.651,531.188,845.765,393.75,-3438.75,-227.5,671.84,-212.8,-255.36
1132690.2219,-128.771,531.615,850.157,866.25,-3228.75,-17.5,649.04,-196.08,-266.0
1132690.2719,-128.893,529.724,849.242,988.75,-3141.25,-612.5,656.64,-205.2,-262.96
1132690.3219,-130.418,529.968,846.741,1286.25,-3517.5,-988.75,664.24,-199.12,-262.96
1132690.3719,-127.124,533.994,848.083,1732.5,-3368.75,-673.75,642.96,-197.6,-261.44
1132690.4219,-129.991,535.885,846.314,1452.5,-3141.25,-595.0,636.88,-197.6,-258.4
1132690.4719,-134.261,528.443,844.972,2100.0,-3937.5,-350.0,656.64,-194.56,-264.48
1132690.5219,-121.024,531.432,850.706,2458.75,-4523.75,455.0,649.04,-200.64,-252.32
1132690.5719,-122.183,543.144,844.85,1680.0,-2808.75,-367.5,664.24,-202.16,-273.6
1132690.6219,-122.61,537.227,846.375,682.5,-2721.25,-717.5,639.92,-203.68,-250.8
1132690.6719,-121.146,533.323,845.887,1478.75,-2905.0,-866.25,662.72,-211.28,-269.04
1132690.7219,-123.342,541.009,845.826,1496.25,-2913.75,-280.0,642.96,-214.32,-272.08
1132690.7719,-122.671,536.739,843.996,1312.5,-3517.5,-498.75,658.16,-202.16,-272.08
1132690.8219,-115.595,539.667,847.412,2940.0,-3272.5,-866.25,661.2,-206.72,-259.92
1132690.8719,-118.828,542.351,844.362,1776.25,-3088.75,-892.5,647.52,-193.04,-264.48
1132690.9219,-120.902,541.619,844.667,1443.75,-2703.75,-813.75,638.4,-193.04,-249.28
1132690.972,-121.024,539.301,845.643,1041.25,-2546.25,-1023.75,632.32,-199.12,-247.76
1132691.022,-128.649,536.8,842.227,1741.25,-3141.25,-778.75,656.64,-196.08,-261.44
1132691.072,-119.56,541.741,846.314,1408.75,-3570.0,-455.0,633.84,-202.16,-262.96
1132691.122,-115.534,541.741,845.582,1505.0,-3132.5,-210.0,655.12,-203.68,-267.52
