TimeStamp,Fpz,Gnd,Fz,Cz,CPz,POz
1133110.1258,-2674.96,24494.94,11032.53,39919.05,37365.58,27838.42
1133110.1278,-2662.37,24533.89,11223.99,39941.03,37435.82,27877.52
1133110.1298,-2685.12,24551.44,11345.2,39945.18,37476.97,27901.18
1133110.1318,-2691.36,24583.44,11530.69,39963.92,37548.5,27943.95
1133110.1338,-2680.64,24551.06,11501.12,39945.32,37532.81,27929.93
1133110.1358,-2692.08,24506.71,11329.51,39912.04,37454.66,27878.67
1133110.1378,-2685.31,24479.87,11164.24,39898.59,37388.19,27835.04
1133110.1398,-2657.37,24449.21,10971.98,39886.43,37327.77,27805.76
1133110.1418,-2639.06,24469.09,10964.35,39906.55,37338.69,27822.35
1133110.1438,-2642.77,24511.86,11163.05,39932.16,37408.83,27865.03
1133110.1458,-2671.43,24533.7,11298.47,39938.26,37452.18,27892.16
1133110.1478,-2705.19,24565.18,11470.22,39955.0,37515.31,27929.02
1133110.1498,-2721.98,24560.65,11532.5,39949.56,37535.91,27934.22
1133110.1518,-2730.32,24515.58,11384.2,39920.72,37474.45,27887.59
1133110.1538,-2671.43,24483.02,11208.82,39906.65,37410.45,27844.34
1133110.1558,-2616.02,24454.31,11043.69,39902.83,37358.38,27815.63
1133110.1578,-2626.13,24442.48,10924.25,39905.51,37324.34,27807.62
1133110.1598,-2668.48,24499.13,11109.88,39929.3,37392.43,27849.39
1133110.1618,-2681.68,24531.03,11264.33,39942.65,37445.69,27883.34
1133110.1638,-2681.21,24548.72,11405.99,39946.42,37489.51,27908.61
1133110.1658,-2711.68,24559.5,11529.92,39944.99,37532.24,27930.6
1133110.1678,-2748.68,24526.12,11442.61,39921.19,37494.47,27900.99
1133110.1698,-2723.65,24490.31,11256.41,39902.6,37423.04,27853.35
1133110.1718,-2675.82,24459.65,11114.46,39898.02,37376.55,27821.83
1133110.1738,-2645.45,24431.47,10916.19,39890.15,37317.95,27793.89
1133110.1758,-2626.99,24482.54,11035.73,39919.86,37367.25,27833.04
1133110.1778,-2638.77,24516.63,11212.59,39935.21,37429.1,27873.61
1133110.1798,-2671.43,24537.85,11352.25,39937.88,37471.35,27898.41
1133110.1818,-2718.07,24562.22,11498.98,39946.75,37522.46,27928.07
1133110.1838,-2720.4,24541.43,11496.45,39935.26,37519.55,27917.01
1133110.1858,-2691.51,24490.07,11312.44,39908.6,37447.31,27864.36
1133110.1878,-2678.49,24472.48,11174.58,39904.98,37399.25,27834.85
1133110.1898,-2667.38,24435.95,10956.96,39891.53,37329.01,27803.38
1133110.1918,-2677.39,24452.88,10964.59,39907.51,37336.64,27814.92
1133110.1938,-2694.65,24499.71,11152.94,39927.87,37402.92,27853.44
1133110.1958,-2701.24,24531.18,11305.76,39939.31,37456.61,27887.59
1133110.1978,-2704.24,24550.39,11449.24,39944.89,37506.11,27916.58
1133110.1998,-2705.15,24548.34,11529.26,39943.18,37533.38,27928.88
