Timestamp,Event
1685820924659,Start
1685820924659,Spacebar
1685820925222,Spacebar
1685820925784,Spacebar
1685820926435,Spacebar
1685820926586,Spacebar
1685820926699,Spacebar
1685820926832,Spacebar
1685820926965,Spacebar
1685820927435,Spacebar
1685820927774,Spacebar
1685820928166,Spacebar
1685820928325,Spacebar
1685820928452,Spacebar
1685820928565,Spacebar
1685820928771,Spacebar
1685820928917,Spacebar
1685820929401,Spacebar
1685820929579,Spacebar
1685820930519,Spacebar
1685820930667,Spacebar
1685820930787,Spacebar
1685820930918,Spacebar
1685820931031,Spacebar
1685820931147,Spacebar
1685820931246,Over
1685820931251,Spacebar
1685820931385,Spacebar
1685820932336,Start
1685820932687,Spacebar
1685820933198,Spacebar
1685820933357,Spacebar
1685820933834,Spacebar
1685820934121,Spacebar
1685820934511,Spacebar
1685820934800,Spacebar
1685820935525,Spacebar
1685820935762,Spacebar
1685820936085,Spacebar
1685820936320,Spacebar
1685820936834,Spacebar
1685820937125,Spacebar
1685820937876,Spacebar
1685820938315,Spacebar
1685820938657,Spacebar
1685820939204,Spacebar
1685820939356,Spacebar
1685820939502,Spacebar
1685820940076,Spacebar
1685820940222,Spacebar
1685820940353,Spacebar
1685820940414,Over
1685820940485,Spacebar
1685820940601,Spacebar
1685820942172,Start
1685820942459,Spacebar
1685820942986,Spacebar
1685820943153,Spacebar
1685820943279,Spacebar
1685820943408,Spacebar
1685820943516,Spacebar
1685820943650,Spacebar
1685820943731,Over
1685820943768,Spacebar
1685820943899,Spacebar
1685820944379,Start
1685820946118,Spacebar
1685820946453,Spacebar
1685820946852,Spacebar
1685820947176,Spacebar
1685820947897,Over
1685820949060,Start
1685820949336,Spacebar
1685820949871,Spacebar
1685820950166,Spacebar
1685820950452,Spacebar
1685820951299,Spacebar
1685820951442,Spacebar
1685820951569,Spacebar
1685820951696,Spacebar
1685820951813,Spacebar
1685820951918,Spacebar
1685820952029,Spacebar
1685820952130,Spacebar
1685820952521,Spacebar
1685820952662,Spacebar
1685820952952,Spacebar
1685820953815,Spacebar
1685820954167,Spacebar
1685820954522,Spacebar
1685820955017,Spacebar
1685820955193,Spacebar
1685820955502,Spacebar
1685820956102,Spacebar
1685820956336,Spacebar
1685820956487,Spacebar
1685820957178,Spacebar
1685820957369,Spacebar
1685820957486,Spacebar
1685820957600,Spacebar
1685820957701,Spacebar
1685820957804,Spacebar
1685820957891,Spacebar
1685820957914,Over
1685820959293,Start
1685820959532,Spacebar
1685820959683,Spacebar
1685820959802,Spacebar
1685820960576,Spacebar
1685820960875,Spacebar
1685820961336,Spacebar
1685820962177,Spacebar
1685820962307,Spacebar
1685820962423,Spacebar
1685820962526,Spacebar
1685820962631,Spacebar
1685820962719,Spacebar
1685820962814,Spacebar
1685820962912,Over
1685820963790,Start
1685820964136,Spacebar
1685820964635,Spacebar
1685820964818,Spacebar
1685820964934,Spacebar
1685820965369,Spacebar
1685820965707,Spacebar
1685820966137,Spacebar
1685820967002,Spacebar
1685820967081,Over
1685820967141,Spacebar
1685820967258,Spacebar
1685820967387,Spacebar
1685820967702,Start
1685820968947,Spacebar
1685820969454,Spacebar
1685820969595,Spacebar
1685820969720,Spacebar
1685820970203,Spacebar
1685820970724,Spacebar
1685820970864,Spacebar
1685820971001,Spacebar
1685820971563,Spacebar
1685820971667,Spacebar
1685820971768,Spacebar
1685820971966,Spacebar
1685820972059,Spacebar
1685820972849,Spacebar
1685820973137,Spacebar
1685820973276,Spacebar
1685820973603,Spacebar
1685820974219,Spacebar
1685820974790,Spacebar
1685820975166,Spacebar
1685820975741,Spacebar
1685820976310,Spacebar
1685820976776,Spacebar
1685820977021,Spacebar
1685820977218,Spacebar
1685820977719,Spacebar
1685820978191,Spacebar
