TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1389585.9066,-230.214,48.312,997.472,1015.0,-3053.75,-1137.5,738.72,167.2,-380.0
1389585.9566,-227.164,48.251,999.18,883.75,-2983.75,-918.75,728.08,171.76,-369.36
1389586.0066,-227.835,47.336,1001.132,866.25,-2555.0,-1076.25,722.0,177.84,-381.52
1389586.0566,-226.859,47.153,998.265,875.0,-2730.0,-1268.75,723.52,180.88,-364.8
1389586.1066,-227.286,46.665,997.289,813.75,-2870.0,-1015.0,744.8,165.68,-369.36
1389586.1566,-229.421,42.761,998.814,148.75,-2616.25,-665.0,729.6,171.76,-372.4
1389586.2066,-229.604,45.323,1000.888,1058.75,-2397.5,-1050.0,734.16,167.2,-370.88
1389586.2566,-231.556,42.761,999.058,1286.25,-2800.0,-1207.5,732.64,173.28,-372.4
1389586.3066,-226.92,45.445,996.435,1303.75,-3307.5,-1032.5,744.8,176.32,-376.96
1389586.3566,-224.297,43.615,998.509,1023.75,-3351.25,-1041.25,737.2,170.24,-369.36
1389586.4066,-223.504,48.068,1003.816,1907.5,-2493.75,-953.75,732.64,168.72,-383.04
1389586.4566,-227.103,47.824,1000.827,743.75,-2450.0,-1093.75,737.2,182.4,-373.92
1389586.5066,-230.824,49.959,996.557,936.25,-2458.75,-1347.5,728.08,164.16,-378.48
1389586.5566,-230.458,45.689,999.546,1111.25,-2747.5,-1102.5,737.2,177.84,-384.56
1389586.6066,-230.214,47.763,997.35,1242.5,-2896.25,-962.5,732.64,168.72,-372.4
1389586.6566,-228.75,47.214,999.607,1155.0,-2940.0,-1128.75,720.48,182.4,-373.92
1389586.7066,-225.883,47.153,998.814,717.5,-2870.0,-778.75,735.68,164.16,-381.52
1389586.7566,-224.236,44.957,999.546,1233.75,-2852.5,-883.75,738.72,167.2,-367.84
1389586.8066,-224.602,43.798,1000.217,1137.5,-2528.75,-1198.75,735.68,174.8,-373.92
1389586.8566,-227.347,45.323,1000.034,1443.75,-2747.5,-1190.0,740.24,161.12,-384.56
1389586.9066,-228.201,47.336,998.265,1408.75,-2773.75,-918.75,746.32,165.68,-372.4
1389586.9566,-228.201,48.373,997.655,1225.0,-2878.75,-805.0,732.64,167.2,-387.6
1389587.0066,-227.408,48.678,999.302,1111.25,-2432.5,-1426.25,749.36,170.24,-373.92
1389587.0566,-231.8,46.848,996.801,1015.0,-2695.0,-1058.75,737.2,186.96,-373.92
1389587.1066,-229.848,45.811,1001.01,1190.0,-2992.5,-647.5,734.16,173.28,-380.0
1389587.1566,-227.347,45.079,998.204,1382.5,-3132.5,-831.25,752.4,167.2,-367.84
