TimeStamp,P3,P4,F3,F4,FP1,I1,I2,FP2
1389506.5051,2766.56,15887.98,37129.22,38789.94,26247.65,29181.15,15587.24,8315.14
1389506.5071,1976.87,15883.11,37129.93,38820.46,26258.04,29101.66,15413.95,8333.73
1389506.5091,1345.83,15852.26,37141.28,38863.09,26280.26,29062.7,15213.16,8359.1
1389506.5111,1344.97,15857.13,37170.37,38904.67,26311.31,29096.99,15133.67,8389.09
1389506.5131,1806.07,15856.12,37169.75,38874.96,26303.63,29142.14,15187.79,8376.5
1389506.5151,2354.67,15840.44,37164.84,38833.53,26292.37,29198.32,15320.83,8353.81
1389506.5171,2914.48,15843.3,37148.77,38794.9,26272.01,29233.27,15481.95,8318.85
1389506.5191,3108.84,15839.24,37123.73,38760.52,26243.98,29201.65,15586.71,8289.48
1389506.5211,2943.18,15870.81,37115.72,38769.39,26233.87,29184.39,15606.69,8289.0
1389506.5231,2255.01,15890.03,37123.97,38810.26,26242.21,29130.41,15486.29,8310.51
1389506.5251,1513.77,15871.1,37137.37,38856.89,26268.72,29073.53,15283.59,8338.74
1389506.5271,1262.71,15852.98,37164.6,38893.75,26300.48,29064.56,15144.16,8364.15
1389506.5291,1637.55,15861.18,37179.19,38884.6,26307.87,29104.19,15155.41,8360.34
1389506.5311,2160.36,15842.96,37180.33,38848.12,26303.91,29153.88,15259.41,8342.79
1389506.5331,2760.22,15844.54,37166.98,38811.5,26286.51,29201.08,15418.01,8334.3
1389506.5351,3101.3,15846.16,37145.81,38780.03,26262.57,29222.83,15556.81,8322.05
1389506.5371,3068.35,15860.23,37123.83,38763.77,26237.25,29201.22,15614.37,8297.3
1389506.5391,2535.15,15885.74,37117.1,38790.9,26237.16,29158.21,15542.94,8286.05
1389506.5411,1728.2,15866.52,37119.06,38828.85,26251.51,29083.02,15331.79,8288.1
1389506.5431,1251.13,15831.42,37139.61,38866.62,26275.78,29047.21,15153.31,8323.48
1389506.5451,1471.09,15852.31,37165.79,38890.22,26294.52,29076.87,15137.86,8352.52
1389506.5471,1972.77,15847.92,37175.37,38877.01,26298.96,29126.55,15234.14,8362.1
1389506.5491,2560.66,15836.57,37164.5,38842.11,26281.74,29175.24,15365.46,8340.98
1389506.5511,3037.79,15852.55,37156.06,38816.08,26270.92,29237.13,15519.29,8333.83
1389506.5531,3160.67,15892.84,37159.97,38818.65,26272.68,29272.94,15636.4,8346.22
1389506.5551,2786.06,15896.47,37127.69,38799.15,26236.2,29220.97,15595.01,8313.8
1389506.5571,1990.8,15879.11,37116.48,38804.25,26225.33,29157.93,15410.76,8297.87
1389506.5591,1342.11,15842.39,37128.64,38835.29,26246.69,29089.26,15203.91,8313.32
1389506.5611,1315.26,15833.86,37134.99,38841.63,26261.76,29049.02,15102.63,8325.05
1389506.5631,1762.53,15833.62,37140.9,38832.38,26265.96,29091.55,15153.84,8319.57
1389506.5651,2341.13,15837.1,37147.34,38829.19,26264.1,29156.59,15296.84,8304.26
1389506.5671,2900.79,15850.16,37139.18,38814.31,26259.04,29213.58,15472.18,8296.63
1389506.5691,3133.49,15859.84,37119.58,38770.68,26241.59,29212.53,15594.39,8287.1
1389506.5711,2943.56,15875.63,37108.04,38762.72,26230.62,29174.62,15615.27,8293.15
1389506.5731,2282.38,15901.23,37110.0,38797.62,26238.59,29129.94,15500.83,8309.51
1389506.5751,1515.53,15871.24,37123.88,38831.52,26259.0,29089.12,15290.55,8332.16
1389506.5771,1277.26,15855.93,37146.48,38865.0,26283.79,29079.97,15149.69,8360.67
1389506.5791,1618.43,15855.6,37159.92,38863.28,26298.62,29098.99,15151.88,8369.02
1389506.5811,2164.89,15849.83,37161.69,38835.96,26294.14,29133.23,15255.36,8359.62
1389506.5831,2734.33,15847.11,37159.59,38797.91,26281.88,29187.3,15410.04,8341.93
1389506.5851,3116.04,15864.61,37149.58,38769.25,26266.29,29218.39,15558.39,8325.82
1389506.5871,3061.34,15873.39,37131.84,38768.44,26244.98,29198.84,15610.51,8307.36
1389506.5891,2565.29,15901.47,37124.59,38796.76,26231.48,29157.31,15541.6,8285.62
1389506.5911,1736.07,15891.03,37139.85,38843.97,26259.0,29108.15,15350.01,8305.22
1389506.5931,1293.47,15865.38,37158.45,38879.54,26290.61,29077.91,15174.68,8342.93
