TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1389506.5566,-297.009,152.561,967.765,1671.25,-2546.25,-1251.25,764.56,97.28,-329.84
1389506.6066,-298.229,155.977,967.948,1496.25,-2931.25,-1181.25,767.6,94.24,-357.2
1389506.6566,-297.009,155.977,966.728,1592.5,-3071.25,-997.5,770.64,91.2,-355.68
1389506.7066,-294.813,156.16,968.558,1347.5,-2975.0,-1190.0,775.2,88.16,-345.04
1389506.7566,-293.044,156.465,967.887,1120.0,-3106.25,-840.0,779.76,103.36,-343.52
1389506.8066,-290.116,152.622,966.728,1146.25,-3027.5,-665.0,778.24,88.16,-335.92
1389506.8566,-288.286,156.099,967.704,1347.5,-2073.75,-1277.5,776.72,95.76,-345.04
1389506.9066,-305.0,161.223,966.545,910.0,-1793.75,-1837.5,772.16,94.24,-355.68
1389506.9566,-296.521,148.962,963.739,700.0,-3281.25,236.25,776.72,89.68,-340.48
1389507.0066,-294.386,155.062,964.593,1408.75,-3202.5,-787.5,755.44,97.28,-355.68
1389507.0566,-291.031,157.685,970.876,1111.25,-3115.0,-1750.0,761.52,95.76,-355.68
1389507.1066,-291.397,148.901,968.985,997.5,-2231.25,-376.25,763.04,88.16,-323.76
1389507.1566,-299.083,158.539,964.471,1802.5,-2257.5,-1102.5,782.8,91.2,-349.6
1389507.2066,-299.815,160.43,963.19,1356.25,-2712.5,-2318.75,758.48,104.88,-351.12
1389507.2566,-298.961,153.11,971.913,1557.5,-3298.75,-525.0,775.2,98.8,-335.92
1389507.3066,-291.031,159.027,965.691,1233.75,-2677.5,-638.75,763.04,106.4,-358.72
1389507.3566,-289.933,158.356,966.362,1513.75,-2117.5,-1732.5,764.56,100.32,-354.16
1389507.4066,-301.218,156.648,967.277,945.0,-1732.5,-962.5,766.08,103.36,-352.64
1389507.4566,-308.843,155.001,965.447,1426.25,-2362.5,-446.25,782.8,101.84,-354.16
1389507.5066,-303.719,154.391,967.094,1260.0,-3675.0,-1146.25,773.68,97.28,-335.92
1389507.5566,-297.68,157.868,963.251,1067.5,-3473.75,-1435.0,796.48,100.32,-357.2
1389507.6066,-293.715,154.757,968.619,1093.75,-3701.25,-551.25,770.64,94.24,-352.64
1389507.6566,-287.371,157.929,966.179,866.25,-3010.0,-1058.75,791.92,88.16,-352.64
1389507.7066,-292.312,158.478,966.362,901.25,-2765.0,-1496.25,791.92,83.6,-332.88
1389507.7566,-293.959,156.892,968.436,857.5,-2703.75,-945.0,763.04,101.84,-361.76
1389507.8066,-292.739,156.221,967.216,980.0,-2231.25,-927.5,779.76,106.4,-357.2
1389507.8566,-295.362,154.879,965.935,901.25,-1942.5,-1155.0,781.28,101.84,-360.24
1389507.9066,-303.475,156.038,966.972,1085.0,-2528.75,-1260.0,756.96,98.8,-335.92
1389507.9566,-300.791,153.964,966.301,1058.75,-3237.5,-875.0,769.12,94.24,-343.52
1389508.0066,-295.423,155.855,965.264,1172.5,-3097.5,-1233.75,784.32,98.8,-345.04
1389508.0566,-292.312,157.075,970.876,1225.0,-2905.0,-1408.75,764.56,100.32,-352.64
1389508.1066,-289.811,156.77,964.959,1023.75,-2782.5,-1032.5,790.4,91.2,-340.48
1389508.1566,-294.813,158.234,968.131,988.75,-2616.25,-962.5,775.2,107.92,-354.16
1389508.2066,-296.582,155.062,969.168,980.0,-3158.75,-1242.5,778.24,103.36,-338.96
1389508.2566,-290.482,154.757,965.142,883.75,-3088.75,-1190.0,778.24,100.32,-354.16
1389508.3066,-294.447,157.075,969.107,1758.75,-2511.25,-1120.0,763.04,104.88,-340.48
1389508.3566,-298.595,151.036,968.436,682.5,-2117.5,-1023.75,769.12,86.64,-352.64
1389508.4066,-304.268,155.794,963.434,1076.25,-2791.25,-796.25,763.04,86.64,-335.92
1389508.4566,-299.266,158.783,966.24,822.5,-3386.25,-1330.0,766.08,97.28,-351.12
1389508.5066,-291.824,153.659,972.706,778.75,-3613.75,-1085.0,764.56,104.88,-348.08
1389508.5566,-287.676,156.831,966.606,638.75,-2310.0,-866.25,776.72,89.68,-338.96
1389508.6066,-298.473,153.171,965.447,1286.25,-2301.25,-1216.25,752.4,104.88,-355.68
1389508.6566,-296.765,152.561,968.314,1172.5,-2301.25,-1251.25,766.08,94.24,-335.92
1389508.7066,-300.181,153.964,963.8,1566.25,-3045.0,-1163.75,773.68,110.96,-346.56
1389508.7566,-296.521,156.282,965.996,1470.0,-3193.75,-1268.75,752.4,97.28,-352.64
1389508.8066,-298.839,158.356,967.399,1190.0,-3727.5,-1575.0,778.24,97.28,-351.12
1389508.8566,-290.543,158.417,967.643,778.75,-3526.25,-1163.75,760.0,95.76,-351.12
1389508.9066,-292.495,154.025,970.022,201.25,-3193.75,-621.25,763.04,94.24,-354.16
1389508.9566,-295.545,152.561,966.118,708.75,-3158.75,-822.5,763.04,97.28,-348.08
1389509.0066,-291.641,149.877,964.105,1198.75,-3080.0,-1592.5,772.16,97.28,-340.48
1389509.0566,-291.763,153.964,974.231,1085.0,-3176.25,-1303.75,778.24,95.76,-349.6
1389509.1066,-291.153,155.611,964.959,1190.0,-2870.0,-1225.0,775.2,89.68,-346.56
1389509.1566,-294.874,156.77,970.205,1058.75,-3666.25,-1312.5,772.16,92.72,-349.6
1389509.2066,-299.876,160.552,973.255,-78.75,-4427.5,-1828.75,779.76,94.24,-346.56
1389509.2566,-295.179,149.45,967.216,-43.75,-4620.0,-1750.0,763.04,85.12,-354.16
1389509.3066,-289.994,147.193,972.767,122.5,-5556.25,-472.5,772.16,92.72,-366.32
1389509.3566,-284.138,144.021,971.425,682.5,-3762.5,-411.25,778.24,97.28,-358.72
1389509.4066,-285.114,150.731,974.109,962.5,-3692.5,-1277.5,772.16,100.32,-345.04
1389509.4566,-276.818,147.864,973.743,1181.25,-4340.0,-1172.5,767.6,104.88,-360.24
1389509.5066,-284.87,150.67,969.412,2012.5,-1986.25,-1382.5,773.68,107.92,-345.04
1389509.5566,-266.875,155.001,969.656,1662.5,-1015.0,-1531.25,773.68,94.24,-345.04
1389509.6066,-286.761,154.208,974.17,2493.75,-1592.5,-1085.0,766.08,100.32,-352.64
1389509.6566,-301.34,157.502,974.17,1190.0,-1610.0,-1050.0,773.68,101.84,-355.68
1389509.7066,-291.946,158.356,963.556,875.0,-3246.25,-1111.25,755.44,91.2,-345.04
1389509.7566,-293.471,153.72,966.362,910.0,-3290.0,-901.25,773.68,107.92,-351.12
1389509.8066,-291.58,156.038,976.061,700.0,-4121.25,-603.75,790.4,104.88,-349.6
1389509.8566,-279.807,153.293,971.12,778.75,-4357.5,-1321.25,758.48,101.84,-358.72
1389509.9066,-282.918,148.596,969.534,910.0,-3115.0,-1058.75,766.08,94.24,-355.68
1389509.9566,-286.761,149.389,972.767,1268.75,-2756.25,-796.25,782.8,109.44,-360.24
1389510.0066,-286.09,153.171,970.388,1321.25,-3185.0,-945.0,766.08,97.28,-352.64
1389510.0566,-280.417,154.574,969.656,1470.0,-2458.75,-1251.25,766.08,92.72,-346.56
1389510.1066,-281.698,153.171,970.266,1487.5,-1417.5,-1155.0,755.44,97.28,-343.52
1389510.1566,-297.131,158.051,971.12,2257.5,-2388.75,-918.75,767.6,94.24,-367.84
1389510.2066,-302.865,156.709,967.033,883.75,-5276.25,-1006.25,772.16,104.88,-366.32
1389510.2566,-266.875,150.609,975.939,1636.25,-4200.0,-1225.0,769.12,106.4,-352.64
1389510.3066,-279.685,160.674,970.022,2248.75,-1268.75,-1085.0,764.56,92.72,-369.36
1389510.3566,-287.798,160.613,979.538,1557.5,-1146.25,-1461.25,778.24,100.32,-338.96
1389510.4066,-280.539,157.807,960.14,1627.5,-1662.5,-752.5,747.84,94.24,-361.76
1389510.4566,-288.042,155.367,965.203,1093.75,-577.5,-726.25,767.6,100.32,-352.64
