TimeStamp,P3,P4,F3,F4,FP1,I1,I2,FP2
1389708.177,5038.5,15172.53,35591.65,35937.93,25344.61,29283.62,14788.15,8350.66
1389708.179,5166.44,15251.11,35555.18,35882.43,25310.57,29283.0,14908.36,8325.67
1389708.181,4630.42,15259.74,35526.09,35864.83,25300.79,29237.8,14889.05,8317.23
1389708.183,3308.92,15136.01,35526.9,35886.24,25335.46,29157.36,14658.88,8348.75
1389708.185,2270.51,14971.21,35564.0,35945.94,25397.59,29109.96,14399.91,8406.07
1389708.187,2103.23,14860.11,35595.71,35985.66,25433.83,29108.58,14250.18,8440.26
1389708.189,2885.68,14876.75,35606.1,35989.43,25428.97,29152.87,14302.54,8435.44
1389708.191,3824.62,14969.83,35615.5,35973.93,25412.61,29220.54,14470.87,8414.13
1389708.193,4832.32,15129.0,35611.78,35950.24,25376.85,29286.53,14700.22,8378.84
1389708.195,5197.48,15234.57,35571.25,35893.49,25326.06,29298.02,14877.56,8332.06
1389708.197,4937.08,15280.44,35549.93,35866.69,25306.51,29281.76,14927.29,8308.41
1389708.199,3814.51,15223.7,35550.79,35889.3,25333.46,29214.77,14782.48,8336.5
1389708.201,2562.62,15043.83,35558.75,35918.05,25377.09,29132.51,14492.8,8381.75
1389708.203,2028.51,14883.38,35576.4,35952.29,25418.9,29098.42,14265.35,8420.18
1389708.205,2581.88,14871.22,35613.06,35992.67,25442.41,29138.76,14264.92,8447.51
1389708.207,3490.5,14939.07,35616.4,35988.19,25420.53,29188.54,14405.16,8429.67
1389708.209,4519.84,15071.49,35607.39,35976.32,25378.37,29255.06,14627.36,8388.9
1389708.211,5142.16,15208.34,35580.07,35935.36,25326.64,29294.35,14840.56,8342.22
1389708.213,5098.53,15273.76,35549.55,35896.93,25296.93,29289.2,14928.72,8313.85
1389708.215,4238.84,15239.19,35518.75,35864.5,25288.25,29212.1,14823.49,8306.79
1389708.217,2903.41,15087.42,35528.14,35883.96,25333.6,29124.64,14560.46,8348.42
1389708.219,2089.26,14928.01,35562.57,35936.17,25400.31,29097.89,14316.94,8407.59
1389708.221,2308.75,14862.25,35594.23,35976.27,25437.5,29122.36,14236.4,8438.25
1389708.223,3184.41,14910.65,35606.87,35977.94,25433.78,29180.58,14340.35,8430.48
1389708.225,4175.95,15016.8,35606.34,35962.82,25406.84,29238.42,14536.43,8403.02
1389708.227,5026.34,15159.99,35577.25,35925.87,25355.34,29277.71,14774.28,8354.0
1389708.229,5180.26,15246.82,35545.02,35889.34,25322.01,29288.39,14923.0,8318.85
1389708.231,4642.77,15270.14,35523.75,35877.76,25314.14,29258.02,14922.05,8317.61
1389708.233,3341.48,15144.06,35513.69,35881.71,25332.36,29175.09,14695.93,8340.41
