TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1389708.2066,-234.85,104.371,990.457,1828.75,-2721.25,-1102.5,760.0,65.36,-370.88
1389708.2566,-240.645,108.214,990.945,1137.5,-2353.75,-892.5,761.52,54.72,-358.72
1389708.3066,-236.924,110.044,989.481,1216.25,-2476.25,-857.5,758.48,62.32,-358.72
1389708.3566,-242.231,108.824,991.494,1391.25,-2283.75,-1006.25,772.16,71.44,-342.0
1389708.4066,-241.987,109.434,988.383,1198.75,-2791.25,-1076.25,753.92,76.0,-354.16
1389708.4566,-240.157,109.617,992.409,1050.0,-2677.5,-1155.0,755.44,69.92,-367.84
1389708.5066,-242.231,107.787,988.81,481.25,-2625.0,-910.0,746.32,83.6,-358.72
1389708.5566,-251.137,99.552,990.64,1942.5,-3333.75,-2485.0,753.92,59.28,-361.76
1389708.6066,-256.078,105.164,988.017,3683.75,-6177.5,-9625.0,749.36,65.36,-354.16
1389708.6566,-250.527,133.163,983.137,3071.25,-11156.25,-33425.0,756.96,59.28,-361.76
1389708.7066,-234.606,96.258,992.47,4961.25,-15347.5,-57207.5,735.68,85.12,-358.72
1389708.7566,-228.079,131.943,991.86,4287.5,-19153.75,-69378.75,753.92,94.24,-357.2
1389708.8066,-206.302,68.137,995.52,-1146.25,-17543.75,-78627.5,744.8,107.92,-370.88
1389708.8566,-198.86,56.303,1003.145,665.0,-16983.75,-78487.5,732.64,138.32,-380.0
1389708.9066,-196.237,37.576,1005.707,1312.5,-13440.0,-71128.75,732.64,165.68,-390.64
1389708.9566,-192.821,25.132,1007.354,1461.25,-12775.0,-64505.0,715.92,179.36,-378.48
1389709.0066,-198.067,11.102,1006.256,3841.25,-9581.25,-48142.5,723.52,199.12,-392.16
1389709.0566,-191.296,8.052,1012.417,5022.5,-7761.25,-31316.25,711.36,200.64,-387.6
1389709.1066,-195.566,22.082,1007.049,6168.75,-4935.0,-21735.0,706.8,217.36,-390.64
1389709.1566,-188.002,21.899,1013.027,6098.75,-2170.0,-9292.5,712.88,206.72,-392.16
1389709.2066,-201.3,43.005,1001.376,6335.0,-1155.0,-2563.75,706.8,208.24,-383.04
