TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1389993.9066,-214.293,95.953,997.045,1365.0,-3202.5,-1356.25,735.68,138.32,-366.32
1389993.9566,-214.049,93.879,997.228,831.25,-3438.75,-1330.0,723.52,129.2,-375.44
1389994.0066,-205.021,91.5,999.119,1076.25,-3333.75,-1093.75,734.16,130.72,-381.52
1389994.0566,-206.79,92.049,995.764,1181.25,-2773.75,-1846.25,749.36,120.08,-369.36
1389994.1066,-209.535,93.391,996.008,1067.5,-2887.5,-1592.5,726.56,121.6,-381.52
1389994.1566,-210.023,89.243,998.143,612.5,-2878.75,-1155.0,729.6,133.76,-348.08
1389994.2066,-207.705,88.145,996.679,778.75,-3053.75,-1347.5,731.12,130.72,-367.84
1389994.2566,-207.4,89.243,999.912,875.0,-2852.5,-1347.5,726.56,121.6,-373.92
1389994.3066,-206.18,89.67,1002.413,1163.75,-2345.0,-1102.5,735.68,126.16,-375.44
1389994.3566,-214.537,91.744,997.96,1233.75,-1933.75,-1513.75,729.6,138.32,-386.08
1389994.4066,-215.086,88.206,997.899,980.0,-2310.0,-1277.5,731.12,127.68,-396.72
1389994.4566,-214.293,90.646,998.448,1163.75,-2957.5,-1382.5,728.08,127.68,-366.32
1389994.5066,-209.657,88.389,998.204,1373.75,-2948.75,-1277.5,718.96,135.28,-381.52
1389994.5566,-209.108,90.097,998.936,1102.5,-2345.0,-1330.0,744.8,123.12,-370.88
1389994.6066,-213.195,95.465,998.631,927.5,-2502.5,-1715.0,749.36,120.08,-372.4
1389994.6566,-211.853,87.901,997.899,1216.25,-2117.5,-1487.5,718.96,132.24,-375.44
1389994.7066,-216.123,88.267,993.934,1487.5,-3298.75,-1435.0,726.56,141.36,-375.44
1389994.7566,-208.62,91.134,999.241,1163.75,-3508.75,-1487.5,743.28,121.6,-378.48
1389994.8066,-206.912,90.158,999.973,1286.25,-2765.0,-1470.0,718.96,139.84,-366.32
1389994.8566,-215.086,88.572,1001.315,507.5,-3036.25,-1330.0,731.12,148.96,-384.56
1389994.9066,-212.097,90.28,997.96,1190.0,-2983.75,-1557.5,717.44,138.32,-383.04
1389994.9566,-211.975,88.511,998.387,1093.75,-2616.25,-1146.25,725.04,138.32,-389.12
1389995.0066,-213.195,91.927,995.581,1111.25,-2940.0,-997.5,744.8,136.8,-372.4
1389995.0566,-210.938,89.853,998.448,1172.5,-2948.75,-1382.5,705.28,141.36,-375.44
