TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1390104.2066,-249.551,57.523,989.237,971.25,-2397.5,-761.25,755.44,150.48,-372.4
1390104.2566,-253.333,57.218,993.812,638.75,-3027.5,-901.25,750.88,142.88,-376.96
1390104.3066,-250.039,60.329,995.215,1645.0,-3517.5,-1163.75,761.52,136.8,-361.76
1390104.3566,-241.194,56.181,990.762,962.5,-3237.5,-1032.5,743.28,132.24,-367.84
1390104.4066,-245.22,56.852,991.067,1356.25,-3001.25,-883.75,752.4,138.32,-369.36
1390104.4566,-242.597,62.708,995.886,1137.5,-3762.5,-1583.75,784.32,132.24,-367.84
1390104.5066,-238.815,57.279,998.082,901.25,-3622.5,-1233.75,743.28,142.88,-357.2
1390104.5566,-245.525,65.148,991.433,323.75,-2948.75,-927.5,769.12,127.68,-370.88
1390104.6066,-252.296,60.268,992.592,516.25,-4777.5,-1557.5,738.72,145.92,-364.8
1390104.6566,-250.344,57.157,993.995,96.25,-5880.0,-2152.5,744.8,147.44,-360.24
1390104.7066,-238.022,50.874,994.3,761.25,-5976.25,-2642.5,734.16,133.76,-369.36
1390104.7566,-232.654,50.874,999.119,1163.75,-5871.25,-2773.75,744.8,138.32,-378.48
1390104.8066,-225.456,56.181,996.496,1391.25,-5617.5,-2887.5,744.8,152.0,-366.32
1390104.8566,-222.101,54.839,997.533,1295.0,-5145.0,-3412.5,734.16,148.96,-354.16
1390104.9066,-223.199,51.606,1001.132,1522.5,-3998.75,-4313.75,746.32,145.92,-373.92
1390104.9566,-227.408,53.68,998.753,1732.5,-4077.5,-5066.25,737.2,145.92,-369.36
1390105.0066,-227.53,52.948,998.143,2082.5,-4095.0,-5363.75,749.36,139.84,-375.44
1390105.0566,-226.188,55.266,998.875,2100.0,-4532.5,-6431.25,735.68,145.92,-376.96
1390105.1066,-226.371,54.717,999.912,2161.25,-5057.5,-7157.5,734.16,142.88,-370.88
1390105.1566,-225.151,49.959,1003.45,2056.25,-4296.25,-6370.0,738.72,135.28,-367.84
1390105.2066,-218.563,48.739,997.96,2450.0,-3876.25,-4585.0,722.0,148.96,-387.6
1390105.2566,-220.881,56.181,1000.949,2030.0,-3071.25,-1400.0,738.72,155.04,-370.88
1390105.3066,-219.6,58.499,1000.644,1776.25,-2896.25,-831.25,737.2,147.44,-389.12
1390105.3566,-219.234,60.268,998.082,1723.75,-3062.5,-1487.5,726.56,144.4,-375.44
1390105.4066,-223.077,55.876,1002.779,691.25,-2318.75,-945.0,752.4,147.44,-370.88
1390105.4566,-221.247,60.939,998.143,787.5,-2380.0,-332.5,744.8,142.88,-376.96
1390105.5066,-224.907,53.009,999.363,1146.25,-2213.75,-463.75,752.4,141.36,-372.4
1390105.5566,-225.334,56.974,997.411,962.5,-2485.0,-1023.75,744.8,152.0,-363.28
1390105.6066,-225.578,58.133,998.57,533.75,-2957.5,-752.5,728.08,158.08,-376.96
1390105.6566,-219.844,55.022,999.79,630.0,-3237.5,-227.5,729.6,148.96,-383.04
1390105.7066,-218.807,53.497,998.021,341.25,-2432.5,-175.0,717.44,155.04,-381.52
1390105.7566,-223.809,54.412,997.106,367.5,-2231.25,-385.0,738.72,155.04,-380.0
1390105.8066,-222.894,50.874,997.716,918.75,-2458.75,-271.25,735.68,161.12,-376.96
1390105.8566,-226.92,56.059,997.716,1050.0,-2642.5,-805.0,725.04,147.44,-380.0
1390105.9066,-226.127,53.436,997.533,1233.75,-3001.25,-787.5,743.28,147.44,-380.0
1390105.9566,-222.467,54.229,1002.901,1015.0,-2493.75,236.25,726.56,148.96,-369.36
1390106.0066,-220.088,53.07,997.777,498.75,-1575.0,3893.75,734.16,148.96,-370.88
1390106.0566,-217.099,57.035,997.411,262.5,-367.5,7813.75,738.72,153.52,-367.84
1390106.1066,-225.151,60.39,998.692,-271.25,96.25,12136.25,737.2,138.32,-355.68
1390106.1566,-226.92,64.233,999.424,-350.0,52.5,12678.75,731.12,144.4,-372.4
1390106.2066,-233.386,63.623,994.727,-953.75,262.5,10841.25,741.76,144.4,-364.8
1390106.2566,-235.948,62.281,995.52,-1006.25,-446.25,9135.0,743.28,135.28,-355.68
1390106.3066,-238.754,56.608,996.008,-892.5,-1951.25,7691.25,750.88,129.2,-364.8
1390106.3566,-233.142,52.216,996.862,-297.5,-2292.5,6247.5,755.44,130.72,-381.52
1390106.4066,-229.97,59.414,997.533,323.75,-1618.75,4935.0,744.8,132.24,-372.4
1390106.4566,-234.24,54.656,996.374,280.0,-2441.25,3342.5,753.92,130.72,-378.48
1390106.5066,-232.044,53.985,998.875,883.75,-2231.25,2835.0,747.84,123.12,-373.92
1390106.5566,-232.532,66.612,993.873,1933.75,-2327.5,2362.5,737.2,129.2,-380.0
1390106.6066,-232.837,62.464,993.019,1268.75,-2222.5,2213.75,764.56,124.64,-375.44
1390106.6566,-232.349,65.392,995.276,1872.5,-2432.5,1102.5,756.96,126.16,-375.44
1390106.7066,-231.983,70.882,995.337,1688.75,-2817.5,-271.25,755.44,124.64,-370.88
1390106.7566,-231.19,63.562,998.387,997.5,-2135.0,-988.75,761.52,124.64,-357.2
1390106.8066,-238.51,62.708,997.228,595.0,-2528.75,-551.25,738.72,123.12,-364.8
1390106.8566,-231.19,67.527,996.313,1137.5,-2555.0,-612.5,763.04,133.76,-378.48
1390106.9066,-236.07,59.048,996.313,1015.0,-2003.75,-1610.0,750.88,120.08,-364.8
1390106.9566,-236.192,63.44,995.215,1426.25,-2292.5,-1435.0,741.76,129.2,-375.44
1390107.0066,-238.876,66.307,995.276,1522.5,-2826.25,-1933.75,746.32,132.24,-366.32
1390107.0566,-234.118,65.88,997.411,778.75,-2773.75,-1732.5,753.92,129.2,-361.76
1390107.1066,-235.765,63.623,997.045,1583.75,-2633.75,-1181.25,746.32,127.68,-369.36
1390107.1566,-233.325,66.124,994.361,997.5,-2651.25,-1373.75,755.44,130.72,-358.72
1390107.2066,-232.837,63.562,996.374,1277.5,-2152.5,-1452.5,747.84,103.36,-364.8
1390107.2566,-237.351,64.782,996.008,1356.25,-2695.0,-2073.75,749.36,135.28,-355.68
1390107.3066,-235.094,65.453,996.862,1198.75,-2738.75,-2135.0,767.6,124.64,-361.76
1390107.3566,-237.29,64.538,996.252,1225.0,-2108.75,-1356.25,738.72,123.12,-363.28
1390107.4066,-235.704,65.514,992.165,1391.25,-2240.0,-1023.75,744.8,127.68,-373.92
1390107.4566,-238.022,63.501,998.265,971.25,-1916.25,-1295.0,769.12,123.12,-372.4
1390107.5066,-241.804,65.941,996.557,962.5,-2633.75,-1163.75,744.8,132.24,-351.12
1390107.5566,-236.375,63.318,991.189,1172.5,-2677.5,-1242.5,770.64,129.2,-369.36
1390107.6066,-241.743,61.488,998.326,2003.75,-2625.0,-1041.25,772.16,123.12,-360.24
1390107.6566,-240.218,70.333,993.995,1067.5,-2957.5,-1268.75,737.2,123.12,-373.92
1390107.7066,-241.56,62.159,989.237,1811.25,-2686.25,-1347.5,760.0,126.16,-367.84
1390107.7567,-240.462,68.32,992.775,1478.75,-3290.0,-1321.25,734.16,130.72,-364.8
