TimeStamp,AF7,FP1,FP2,AF8,O1,O2,I1,I2
1051596.7908,15731.43,5837.73,-3922.27,19227.46,28501.85,17911.63,12779.19,29026.65
1051596.7948,15741.21,5935.29,-3875.59,19225.79,29091.08,18455.08,15075.07,29436.97
1051596.7988,15760.85,6041.19,-3833.01,19226.36,29069.38,18455.27,15555.81,29497.1
1051596.8028,15749.27,5954.74,-3875.78,19211.49,28392.03,17850.35,13110.31,29053.6
1051596.8068,15703.2,5799.29,-3980.4,19165.57,28383.59,17830.99,12420.56,28990.37
1051596.8108,15699.67,5880.88,-3924.08,19189.36,29005.48,18390.94,14691.88,29397.68
1051596.8148,15786.08,6062.89,-3821.33,19223.84,29151.16,18535.43,15731.34,29548.55
1051596.8188,15788.27,6027.65,-3841.07,19228.75,28518.87,17947.53,13585.33,29099.18
1051596.8228,15711.26,5801.15,-3933.91,19219.59,28322.46,17774.11,12270.17,28937.87
1051596.8268,15709.78,5844.88,-3930.52,19201.28,28931.05,18335.01,14324.62,29369.07
1051596.8308,15779.21,6071.23,-3830.43,19211.34,29206.14,18597.18,15796.38,29621.37
1051596.8348,15804.2,6067.13,-3819.8,19226.55,28658.68,18076.99,14089.78,29248.05
1051596.8388,15778.11,5903.67,-3896.09,19226.03,28307.16,17758.09,12265.11,29010.54
1051596.8428,15742.59,5874.97,-3918.46,19196.08,28867.49,18274.79,13972.43,29394.25
1051596.8468,15775.06,6030.99,-3832.82,19210.29,29251.96,18641.43,15801.15,29692.7
1051596.8508,15801.48,6070.04,-3805.69,19232.04,28802.54,18250.42,14548.45,29463.63
1051596.8548,15768.2,5903.29,-3886.27,19215.97,28290.7,17723.47,12334.83,28922.56
1051596.8588,15703.06,5827.24,-3937.01,19190.5,28704.84,18094.06,13455.06,29165.41
1051596.8628,15725.71,5969.1,-3875.49,19176.15,29173.28,18515.3,15565.54,29463.96
1051596.8668,15756.37,6059.36,-3826.9,19196.46,28844.55,18215.85,14870.6,29270.22
1051596.8708,15764.91,5953.41,-3864.86,19230.56,28269.1,17700.58,12451.36,28896.57
1051596.8748,15750.6,5858.9,-3917.5,19211.34,28583.91,17985.39,13025.19,29081.92
1051596.8788,15770.72,5985.45,-3846.5,19204.52,29151.63,18507.77,15327.36,29489.57
1051596.8828,15787.56,6077.1,-3790.33,19220.74,28997.62,18370.87,15309.86,29416.37
1051596.8868,15772.15,5964.95,-3843.12,19213.06,28350.26,17786.7,12823.96,28988.32
1051596.8908,15733.77,5836.01,-3922.99,19188.6,28490.36,17917.16,12724.4,29059.03
1051596.8948,15745.45,5935.48,-3868.68,19200.28,29097.7,18477.16,15055.66,29487.09
1051596.8988,15779.88,6069.57,-3801.44,19209.43,29105.14,18493.8,15618.56,29547.6
1051596.9028,15777.4,5994.27,-3846.5,19203.33,28437.0,17861.32,13224.89,29058.03
1051596.9068,15737.58,5853.8,-3905.25,19206.1,28412.49,17831.38,12473.82,28993.66
1051596.9108,15776.83,5948.02,-3857.14,19210.29,29035.29,18420.27,14718.53,29477.93
1051596.9148,15821.13,6106.9,-3782.27,19215.25,29217.49,18620.83,15829.85,29764.7
1051596.9187,15802.81,6047.77,-3808.21,19226.46,28620.06,18053.34,13789.32,29340.41
1051596.9227,15736.58,5855.94,-3916.84,19176.06,28390.17,17802.19,12414.89,29025.46
1051596.9267,15697.05,5849.03,-3912.74,19148.97,28953.22,18304.64,14358.62,29320.67
1051596.9307,15721.51,5983.88,-3854.08,19161.99,29176.91,18508.58,15737.68,29485.18
1051596.9347,15781.45,6052.16,-3848.65,19185.02,28622.44,17983.77,14016.82,29083.68
1051596.9387,15784.17,5924.61,-3866.91,19233.37,28252.56,17662.29,12158.54,28826.76
1051596.9427,15768.96,5893.66,-3876.4,19211.82,28815.8,18175.22,13869.33,29212.19
1051596.9467,15788.32,6032.09,-3813.12,19199.56,29212.19,18549.59,15709.02,29534.63
1051596.9507,15794.95,6050.44,-3808.93,19198.47,28788.05,18158.68,14566.71,29268.46
1051596.9547,15750.46,5892.13,-3886.56,19196.27,28267.91,17688.13,12312.37,28895.14
1051596.9587,15736.06,5832.2,-3915.83,19198.85,28700.07,18100.84,13405.52,29190.97
1051596.9627,15720.66,5926.09,-3849.55,19175.48,29206.09,18572.0,15551.28,29567.58
1051596.9667,15723.13,6001.57,-3828.86,19166.14,28911.02,18298.34,14980.6,29401.59
1051596.9707,15787.51,5950.59,-3867.05,19221.45,28298.95,17731.81,12515.12,28951.03
1051596.9747,15801.48,5891.71,-3870.82,19247.01,28587.3,17999.84,12990.52,29120.78
1051596.9787,15816.45,6016.78,-3798.29,19235.18,29155.26,18532.28,15299.51,29565.86
1051596.9827,15830.04,6100.89,-3755.86,19230.94,29012.87,18390.94,15344.1,29470.02
1051596.9867,15801.81,5991.08,-3806.07,19242.1,28367.57,17819.36,12865.26,29076.72
1051596.9907,15771.92,5857.66,-3885.22,19218.16,28496.79,17939.71,12716.44,29148.68
1051596.9947,15780.83,5940.96,-3843.78,19189.5,29116.2,18516.88,15076.31,29612.88
1051596.9987,15774.44,6047.87,-3795.43,19175.44,29132.32,18523.6,15675.98,29635.96
1051597.0027,15786.6,5979.49,-3827.19,19198.56,28423.88,17838.67,13225.27,29027.37
1051597.0067,15756.9,5825.42,-3916.84,19203.95,28338.53,17738.44,12344.31,28846.89
1051597.0107,15773.11,5905.53,-3880.79,19184.45,28973.58,18345.98,14578.82,29356.15
1051597.0147,15798.24,6042.2,-3792.57,19185.69,29144.34,18497.47,15707.49,29498.15
1051597.0187,15791.18,5989.41,-3811.26,19195.42,28517.63,17919.16,13626.86,29094.32
1051597.0227,15766.48,5839.78,-3889.75,19191.93,28299.24,17718.46,12207.6,28929.28
1051597.0267,15761.28,5869.82,-3875.78,19179.06,28920.37,18314.51,14213.75,29423.62
1051597.0307,15782.31,6019.88,-3809.17,19187.36,29211.91,18589.21,15747.17,29648.59
1051597.0347,15784.79,6015.02,-3807.35,19187.26,28652.0,18033.94,14088.2,29183.01
1051597.0387,15793.52,5875.35,-3874.73,19203.0,28263.29,17669.97,12180.71,28870.78
1051597.0427,15808.39,5883.98,-3875.16,19221.69,28813.03,18191.15,13790.32,29265.07
1051597.0466,15829.61,6030.61,-3786.95,19215.82,29205.75,18565.8,15643.22,29578.12
1051597.0506,15824.99,6047.15,-3775.84,19202.71,28804.26,18206.74,14577.01,29373.94
1051597.0546,15786.94,5879.88,-3864.86,19199.52,28293.52,17724.71,12343.31,28964.81
1051597.0586,15755.94,5798.34,-3915.17,19176.91,28700.88,18086.86,13364.6,29191.83
1051597.0626,15765.34,5935.57,-3845.22,19175.48,29210.38,18553.4,15527.68,29584.46
1051597.0666,15779.4,5998.14,-3834.53,19160.94,28937.25,18314.79,15026.76,29474.12
1051597.0706,15753.65,5860.52,-3912.16,19149.4,28299.24,17702.01,12521.75,28913.45
1051597.0746,15731.91,5760.0,-3953.08,19151.59,28562.84,17953.11,12919.52,29093.41
1051597.0786,15768.86,5901.58,-3864.24,19183.59,29156.74,18515.88,15245.92,29576.78
1051597.0826,15791.37,5995.8,-3816.56,19181.06,29046.11,18395.62,15382.58,29492.24
1051597.0866,15776.11,5902.0,-3854.9,19199.66,28366.62,17775.44,12839.8,29003.34
1051597.0906,15761.52,5779.03,-3924.23,19194.61,28467.9,17881.54,12578.97,29071.05
1051597.0946,15762.81,5856.23,-3893.71,19173.53,29085.4,18442.2,14910.89,29479.03
1051597.0986,15758.42,5962.09,-3832.63,19178.68,29127.65,18494.56,15594.15,29570.63
1051597.1026,15770.48,5900.62,-3861.28,19177.39,28460.36,17878.58,13220.98,29105.0
1051597.1066,15737.06,5748.99,-3943.11,19171.67,28391.08,17796.66,12337.73,28992.08
1051597.1106,15751.98,5830.67,-3913.5,19164.18,29020.93,18370.58,14558.41,29408.65
1051597.1146,15782.26,5969.05,-3848.27,19148.5,29219.87,18559.12,15764.43,29600.1
1051597.1186,15755.7,5928.56,-3866.63,19159.27,28598.03,17979.0,13717.37,29184.11
1051597.1226,15749.27,5776.26,-3943.4,19162.56,28326.04,17715.07,12222.96,28912.02
1051597.1266,15759.99,5806.4,-3938.58,19142.11,28918.89,18241.93,14192.34,29285.67
1051597.1306,15787.65,5956.27,-3847.17,19150.59,29224.07,18529.7,15765.62,29541.78
1051597.1346,15787.89,5950.36,-3843.55,19167.0,28702.41,18054.77,14187.15,29226.69
1051597.1386,15755.99,5787.13,-3931.14,19159.8,28303.82,17697.96,12264.16,28945.16
1051597.1426,15725.28,5762.58,-3939.2,19148.3,28823.14,18181.37,13799.81,29313.23
1051597.1466,15749.84,5913.78,-3850.27,19142.82,29228.36,18575.19,15668.16,29645.26
1051597.1506,15793.56,5991.84,-3822.76,19164.9,28827.05,18219.28,14612.01,29419.14
1051597.1546,15785.98,5875.73,-3875.45,19200.71,28259.38,17699.39,12254.33,28984.12
1051597.1586,15768.43,5822.95,-3899.43,19193.46,28664.26,18042.61,13270.14,29158.07
1051597.1626,15795.85,5964.42,-3816.22,19194.75,29171.66,18506.15,15443.76,29544.31
1051597.1666,15808.63,6038.76,-3773.5,19208.67,28937.72,18292.48,15026.9,29438.4
1051597.1706,15783.12,5903.39,-3853.08,19186.55,28330.71,17734.1,12584.54,29011.21
1051597.1745,15752.27,5788.85,-3927.42,19164.66,28555.06,17932.23,12875.89,29109.43
1051597.1785,15772.06,5916.55,-3862.0,19153.79,29115.01,18442.92,15149.88,29463.44
1051597.1825,15775.11,6004.43,-3828.43,19129.52,29018.69,18353.94,15328.12,29450.32
1051597.1865,15756.75,5900.57,-3883.17,19129.14,28372.43,17778.11,12870.46,29066.18
1051597.1905,15735.72,5780.22,-3950.21,19133.47,28456.6,17874.29,12533.86,29134.9
1051597.1945,15752.75,5877.54,-3900.24,19121.22,29071.53,18434.81,14857.34,29557.9
1051597.1985,15784.41,6000.42,-3833.1,19128.42,29122.55,18461.09,15592.24,29562.67
1051597.2025,15779.59,5942.3,-3838.63,19170.14,28477.34,17867.52,13299.04,29107.53
1051597.2065,15767.58,5818.46,-3909.87,19166.23,28373.82,17768.86,12297.68,28997.33
1051597.2105,15759.18,5875.06,-3890.51,19136.38,29019.74,18360.28,14564.42,29462.72
1051597.2145,15776.45,6001.52,-3840.78,19117.07,29169.99,18458.75,15742.11,29477.5
1051597.2185,15778.83,5967.81,-3845.93,19129.76,28547.43,17912.96,13701.97,29113.73
1051597.2225,15727.66,5807.54,-3915.26,19132.43,28275.87,17674.93,12159.54,28927.57
1051597.2265,15710.88,5819.37,-3919.46,19119.65,28869.82,18212.13,14088.63,29305.27
1051597.2305,15776.59,5979.01,-3851.99,19111.92,29184.73,18505.05,15712.79,29547.89
1051597.2345,15806.72,6001.19,-3840.02,19138.72,28661.45,18021.59,14175.37,29210.38
1051597.2384,15773.58,5846.79,-3899.77,19156.51,28251.37,17639.59,12189.44,28906.54
1051597.2424,15749.12,5831.91,-3913.31,19142.3,28769.73,18118.29,13701.92,29249.67
1051597.2464,15794.23,5998.42,-3839.4,19125.99,29195.65,18511.49,15632.35,29566.58
1051597.2504,15817.07,6047.3,-3812.6,19141.68,28823.38,18164.83,14676.48,29349.38
1051597.2544,15781.79,5895.19,-3867.58,19148.45,28288.27,17673.88,12366.63,28976.21
1051597.2584,15758.71,5829.0,-3899.96,19156.03,28693.3,18039.85,13324.64,29199.51
1051597.2624,15780.98,5961.99,-3833.58,19157.65,29201.22,18523.55,15469.55,29610.4
1051597.2664,15793.37,6029.85,-3798.77,19152.21,28966.81,18320.61,15097.57,29516.37
1051597.2704,15781.69,5908.16,-3844.98,19169.76,28338.01,17733.05,12606.57,29053.74
1051597.2744,15741.73,5796.39,-3914.98,19152.55,28565.79,17914.92,12873.94,29081.92
1051597.2784,15736.82,5920.6,-3889.99,19113.4,29169.04,18453.17,15241.96,29507.59
1051597.2824,15797.19,6053.35,-3837.44,19123.75,29119.02,18451.55,15524.29,29664.23
1051597.2864,15798.19,5963.85,-3836.06,19147.68,28449.2,17838.38,13022.09,29167.13
1051597.2904,15756.51,5807.16,-3913.26,19127.28,28486.54,17836.43,12582.83,29029.37
1051597.2944,15761.0,5902.1,-3890.04,19111.35,29082.35,18385.46,14839.17,29462.77
1051597.2984,15775.78,6030.23,-3827.76,19107.82,29123.36,18405.54,15623.52,29438.69
1051597.3024,15799.19,5979.49,-3839.59,19144.16,28492.98,17810.97,13351.35,29002.1
1051597.3064,15762.86,5821.28,-3913.88,19147.35,28376.49,17712.55,12303.93,28915.12
1051597.3104,15760.81,5874.16,-3884.75,19132.43,28997.76,18295.24,14475.25,29366.69
1051597.3144,15783.93,6008.67,-3824.38,19121.32,29234.7,18514.02,15804.24,29587.08
1051597.3184,15794.76,5999.38,-3825.66,19146.25,28632.6,17961.69,13833.0,29188.45
1051597.3224,15747.02,5828.1,-3926.33,19120.22,28331.24,17688.66,12237.31,28957.85
