TimeStamp,AF7,FP1,FP2,AF8,O1,O2,I1,I2
1051719.3803,13357.69,4192.26,-5109.17,10491.99,27706.44,-3208.4,4946.47,24775.22
1051719.3843,13369.99,4291.49,-5070.45,10485.36,27754.6,-3195.72,5363.66,24743.7
1051719.3883,13369.47,4240.08,-5082.66,10515.07,27370.12,-3569.79,3884.7,24579.67
1051719.3923,13355.4,4102.95,-5149.6,10504.15,27295.02,-3603.51,3382.59,24584.39
1051719.3963,13349.77,4151.73,-5130.53,10471.06,27673.77,-3225.8,4781.39,24787.95
1051719.4003,13358.02,4253.29,-5079.13,10475.97,27817.73,-3082.32,5492.02,24905.35
1051719.4043,13346.96,4220.77,-5079.56,10501.58,27432.59,-3474.95,4166.94,24670.89
1051719.4083,13336.8,4104.28,-5141.5,10512.93,27274.75,-3611.66,3344.82,24621.82
1051719.4123,13337.71,4121.11,-5160.76,10479.17,27617.12,-3302.05,4568.34,24709.61
1051719.4163,13357.02,4262.73,-5104.3,10449.94,27837.76,-3083.28,5543.38,24847.27
1051719.4203,13377.57,4280.57,-5089.95,10476.4,27509.74,-3387.74,4473.88,24720.34
1051719.4243,13368.32,4145.19,-5130.63,10517.26,27265.31,-3591.59,3335.57,24665.17
1051719.4283,13350.63,4121.97,-5137.06,10497.62,27582.84,-3244.21,4359.15,24894.1
1051719.4323,13390.73,4276.94,-5053.23,10515.79,27847.48,-3021.1,5520.15,24939.3
1051719.4363,13368.75,4282.81,-5069.35,10494.52,27602.72,-3305.77,4836.61,24747.09
1051719.4403,13326.12,4131.65,-5144.93,10482.93,27259.07,-3640.27,3420.07,24581.63
1051719.4443,13312.77,4075.48,-5166.1,10471.06,27474.22,-3420.4,4067.33,24651.63
1051719.4483,13353.83,4227.83,-5091.38,10480.12,27780.35,-3094.86,5338.81,24825.96
1051719.4523,13386.3,4297.4,-5065.78,10478.07,27653.03,-3243.54,5031.44,24762.59
1051719.4563,13376.43,4190.73,-5106.78,10491.23,27302.89,-3576.61,3550.24,24625.73
1051719.4603,13335.04,4075.53,-5177.36,10469.72,27446.89,-3427.98,3877.12,24680.76
1051719.4643,13316.78,4172.33,-5132.15,10455.94,27807.67,-3086.38,5281.59,24844.79
1051719.4683,13340.14,4267.36,-5080.03,10477.02,27769.62,-3087.9,5307.34,24912.03
1051719.4723,13347.2,4185.1,-5120.56,10499.43,27351.67,-3533.75,3750.71,24610.09
1051719.4763,13323.59,4070.33,-5167.34,10498.24,27387.38,-3514.48,3645.8,24563.46
1051719.4803,13327.08,4164.41,-5123.0,10500.72,27751.12,-3135.16,5058.38,24776.22
1051719.4843,13347.29,4284.33,-5068.02,10500.0,27789.88,-3101.06,5463.27,24775.46
1051719.4883,13331.7,4199.65,-5103.59,10494.0,27396.16,-3509.28,3998.42,24560.07
1051719.4923,13287.5,4041.86,-5179.36,10486.75,27301.41,-3571.03,3435.04,24545.39
1051719.4963,13299.94,4122.69,-5143.12,10489.94,27686.98,-3198.05,4815.29,24725.11
1051719.5003,13311.63,4247.38,-5092.76,10478.45,27818.02,-3094.72,5554.72,24730.88
1051719.5043,13314.96,4218.72,-5103.54,10487.99,27464.2,-3426.89,4279.57,24615.82
1051719.5082,13292.03,4074.24,-5172.78,10486.46,27274.66,-3610.33,3359.84,24493.84
1051719.5122,13294.36,4098.18,-5167.82,10477.83,27626.8,-3274.73,4602.0,24643.38
1051719.5162,13312.72,4230.69,-5112.27,10472.87,27835.04,-3066.02,5596.54,24776.7
1051719.5202,13291.36,4219.58,-5124.24,10455.04,27525.05,-3356.46,4572.96,24665.41
1051719.5242,13275.34,4066.13,-5188.56,10444.55,27282.72,-3573.37,3379.35,24616.67
1051719.5282,13261.7,4039.1,-5207.35,10440.88,27565.15,-3301.95,4347.99,24702.65
1051719.5322,13291.41,4197.6,-5120.09,10463.38,27837.09,-3051.71,5550.19,24809.74
1051719.5362,13338.0,4256.82,-5083.9,10489.85,27649.84,-3241.21,4941.51,24772.36
1051719.5402,13327.98,4126.84,-5142.59,10491.9,27297.5,-3578.19,3485.44,24598.27
1051719.5442,13299.66,4068.09,-5179.74,10475.83,27500.92,-3334.47,4102.99,24748.71
1051719.5482,13317.25,4205.51,-5116.75,10472.44,27818.11,-2991.39,5420.26,25003.82
1051719.5522,13325.6,4261.54,-5098.87,10466.34,27681.4,-3168.2,5143.93,24826.82
1051719.5562,13304.09,4146.05,-5144.64,10476.92,27309.52,-3568.41,3622.91,24576.52
1051719.5602,13259.17,4027.32,-5204.96,10461.67,27448.56,-3422.31,3905.77,24660.64
1051719.5642,13278.68,4146.24,-5143.69,10461.86,27778.34,-3070.55,5262.52,24874.88
1051719.5682,13322.78,4261.59,-5079.89,10487.03,27766.56,-3040.55,5366.61,24985.75
1051719.5722,13305.38,4158.83,-5129.29,10480.45,27350.38,-3468.13,3799.96,24713.38
1051719.5762,13275.67,4032.99,-5202.72,10462.86,27362.25,-3485.11,3641.27,24625.21
1051719.5802,13300.37,4132.22,-5154.56,10461.28,27754.21,-3099.16,5097.29,24841.12
1051719.5842,13310.58,4250.43,-5089.95,10471.77,27831.27,-3002.21,5556.44,24945.93
1051719.5882,13266.14,4173.57,-5128.77,10471.25,27434.45,-3391.74,4079.96,24755.53
1051719.5922,13288.45,4065.13,-5187.08,10469.63,27334.65,-3475.38,3485.49,24688.2
