TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1376885.7272,-148.413,-184.159,1005.158,1198.75,-2852.5,-1128.75,352.64,282.72,-399.76
1376885.7772,-149.877,-183.183,1005.097,997.5,-2887.5,-1181.25,381.52,288.8,-399.76
1376885.8272,-148.596,-184.891,1006.317,1321.25,-2747.5,-1155.0,360.24,293.36,-393.68
1376885.8772,-150.243,-184.586,1008.33,1277.5,-2800.0,-1155.0,360.24,273.6,-413.44
1376885.9272,-148.291,-186.538,1005.219,1146.25,-2905.0,-1067.5,355.68,284.24,-386.08
1376885.9772,-150.426,-185.013,1005.951,1216.25,-2861.25,-1128.75,364.8,275.12,-411.92
1376886.0272,-149.45,-185.074,1006.683,1032.5,-2791.25,-1015.0,355.68,278.16,-418.0
1376886.0772,-150.426,-183.0,1005.341,1058.75,-2983.75,-1172.5,352.64,287.28,-393.68
1376886.1272,-149.633,-184.464,1005.158,1032.5,-2913.75,-1242.5,360.24,284.24,-402.8
1376886.1772,-149.084,-182.451,1003.938,1058.75,-2948.75,-1190.0,364.8,282.72,-381.52
1376886.2272,-151.341,-183.427,1006.439,1391.25,-2905.0,-1032.5,364.8,287.28,-399.76
1376886.2772,-149.267,-184.281,1006.073,875.0,-3036.25,-1190.0,372.4,290.32,-396.72
1376886.3272,-149.877,-183.488,1006.317,901.25,-3010.0,-1041.25,355.68,288.8,-402.8
1376886.3772,-151.463,-182.39,1006.256,1120.0,-2905.0,-1181.25,358.72,282.72,-418.0
1376886.4272,-150.06,-184.403,1003.816,1067.5,-2957.5,-1067.5,360.24,275.12,-395.2
1376886.4772,-149.389,-185.989,1007.293,1242.5,-2773.75,-1067.5,364.8,281.2,-384.56
1376886.5272,-150.731,-181.78,1006.317,1198.75,-2843.75,-1277.5,360.24,287.28,-384.56
1376886.5774,-151.768,-183.183,1004.548,1085.0,-2852.5,-1155.0,375.44,294.88,-401.28
1376886.6273,-149.938,-184.708,1007.781,1067.5,-2791.25,-1006.25,361.76,282.72,-402.8
1376886.6772,-151.341,-181.78,1005.463,1155.0,-2782.5,-1023.75,387.6,288.8,-407.36
1376886.7272,-148.657,-182.329,1007.11,1216.25,-2905.0,-1330.0,378.48,291.84,-413.44
1376886.7772,-148.718,-182.817,1007.293,1181.25,-2870.0,-1085.0,375.44,285.76,-396.72
1376886.8272,-149.755,-182.268,1005.768,1295.0,-2835.0,-1137.5,372.4,275.12,-407.36
1376886.8772,-150.121,-184.769,1005.097,1347.5,-3027.5,-1163.75,375.44,290.32,-405.84
1376886.9272,-150.304,-183.61,1003.755,875.0,-2870.0,-1128.75,378.48,290.32,-413.44
1376886.9772,-147.742,-181.719,1006.134,1286.25,-2887.5,-1102.5,364.8,287.28,-390.64
1376887.0272,-151.219,-182.451,1007.415,1058.75,-2957.5,-1050.0,369.36,279.68,-408.88
1376887.0772,-149.938,-182.756,1006.256,1277.5,-2835.0,-1155.0,363.28,291.84,-395.2
1376887.1272,-148.413,-182.39,1005.036,1251.25,-2878.75,-1032.5,348.08,279.68,-407.36
1376887.1772,-150.548,-185.196,1005.524,980.0,-2922.5,-1137.5,343.52,285.76,-386.08
1376887.2272,-149.877,-183.61,1009.123,1207.5,-3027.5,-1181.25,363.28,284.24,-418.0
1376887.2772,-150.548,-183.488,1006.622,840.0,-2975.0,-1128.75,370.88,276.64,-410.4
1376887.3272,-152.866,-182.512,1002.291,1400.0,-2800.0,-1085.0,372.4,273.6,-407.36
1376887.3772,-147.071,-183.427,1004.975,1347.5,-2773.75,-1146.25,390.64,284.24,-401.28
1376887.4272,-150.365,-182.756,1005.402,1120.0,-2852.5,-1198.75,348.08,281.2,-395.2
1376887.4772,-151.097,-182.634,1004.304,1225.0,-2905.0,-1102.5,367.84,281.2,-398.24
1376887.5272,-149.999,-182.146,1008.33,901.25,-2878.75,-1128.75,361.76,275.12,-408.88
1376887.5772,-149.145,-184.464,1002.962,980.0,-2878.75,-1128.75,351.12,278.16,-405.84
1376887.6272,-149.938,-184.525,1005.768,1181.25,-2878.75,-1155.0,376.96,294.88,-408.88
1376887.6772,-150.243,-183.061,1004.304,1198.75,-2878.75,-1268.75,360.24,282.72,-410.4
1376887.7272,-150.548,-182.512,1007.72,1365.0,-2861.25,-1137.5,367.84,273.6,-390.64
1376887.7772,-148.291,-183.0,1006.561,883.75,-2835.0,-1111.25,367.84,275.12,-411.92
1376887.8274,-149.206,-183.183,1003.999,988.75,-3027.5,-1137.5,383.04,273.6,-393.68
1376887.8773,-149.45,-182.512,1004.548,1093.75,-2861.25,-1076.25,376.96,288.8,-414.96
1376887.9272,-148.596,-182.756,1006.073,1023.75,-2922.5,-1137.5,349.6,278.16,-413.44
1376887.9772,-151.158,-183.915,1002.84,1251.25,-2843.75,-1207.5,361.76,282.72,-387.6
1376888.0272,-149.816,-184.952,1004.121,1102.5,-2957.5,-1172.5,358.72,281.2,-395.2
1376888.0772,-149.511,-185.623,1003.572,1085.0,-2887.5,-1085.0,373.92,279.68,-410.4
1376888.1272,-148.962,-184.83,1004.182,1155.0,-2756.25,-1181.25,370.88,288.8,-410.4
1376888.1772,-148.779,-184.281,1005.158,936.25,-2896.25,-1128.75,358.72,290.32,-401.28
1376888.2272,-148.108,-183.671,1008.147,1338.75,-2835.0,-1111.25,380.0,285.76,-411.92
1376888.2772,-151.463,-185.013,1004.975,1347.5,-2773.75,-1058.75,355.68,290.32,-390.64
1376888.3272,-148.901,-184.403,1006.317,936.25,-2905.0,-1137.5,369.36,293.36,-407.36
1376888.3772,-152.805,-183.915,1002.474,1085.0,-2887.5,-1181.25,364.8,288.8,-414.96
1376888.4272,-147.193,-182.329,1004.975,1032.5,-2870.0,-1058.75,352.64,270.56,-408.88
1376888.4772,-149.633,-184.342,1005.28,1233.75,-2852.5,-1190.0,346.56,282.72,-398.24
1376888.5272,-149.389,-182.329,1004.975,1330.0,-2861.25,-1128.75,348.08,296.4,-407.36
1376888.5772,-149.633,-184.22,1005.768,1198.75,-2808.75,-1041.25,392.16,282.72,-386.08
1376888.6272,-149.45,-183.305,1005.89,1268.75,-2852.5,-1181.25,372.4,293.36,-392.16
1376888.6772,-150.121,-182.817,1005.768,901.25,-3010.0,-1058.75,375.44,284.24,-416.48
1376888.7272,-150.975,-184.586,1004.914,1277.5,-2843.75,-1163.75,380.0,284.24,-396.72
1376888.7772,-147.559,-184.342,1004.426,1198.75,-2773.75,-988.75,364.8,284.24,-387.6
1376888.8272,-151.829,-185.745,1005.707,1181.25,-2948.75,-1190.0,367.84,284.24,-413.44
1376888.8772,-147.254,-183.854,1005.402,1137.5,-2931.25,-1163.75,370.88,281.2,-405.84
1376888.9272,-150.731,-182.512,1004.975,980.0,-3001.25,-1163.75,360.24,279.68,-392.16
1376888.9772,-149.694,-183.671,1005.158,945.0,-2940.0,-1120.0,384.56,279.68,-405.84
1376889.0272,-148.474,-182.451,1006.012,1347.5,-2808.75,-1190.0,357.2,297.92,-396.72
1376889.0774,-151.158,-182.451,1006.439,1085.0,-2992.5,-1102.5,363.28,284.24,-387.6
1376889.1273,-148.84,-183.671,1004.731,1181.25,-2782.5,-1172.5,383.04,281.2,-408.88
1376889.1772,-149.755,-181.597,1005.28,1006.25,-2791.25,-1120.0,354.16,278.16,-392.16
1376889.2272,-150.06,-185.074,1006.256,1032.5,-2808.75,-1058.75,351.12,296.4,-405.84
1376889.2772,-150.792,-182.329,1004.914,1041.25,-3001.25,-1146.25,340.48,282.72,-392.16
1376889.3272,-152.378,-183.488,1005.768,901.25,-2800.0,-1058.75,363.28,275.12,-402.8
1376889.3772,-148.352,-180.682,1005.951,1277.5,-2896.25,-1181.25,369.36,290.32,-386.08
1376889.4272,-150.06,-182.878,1007.293,1023.75,-2931.25,-1102.5,361.76,278.16,-401.28
1376889.4772,-147.986,-184.281,1007.171,1330.0,-2878.75,-1155.0,367.84,278.16,-395.2
1376889.5272,-149.633,-185.257,1007.049,857.5,-2948.75,-1120.0,369.36,282.72,-398.24
1376889.5772,-152.378,-184.525,1003.999,901.25,-2887.5,-1041.25,378.48,296.4,-395.2
1376889.6272,-151.89,-182.512,1003.145,1303.75,-2800.0,-1268.75,369.36,284.24,-410.4
1376889.6772,-149.572,-183.915,1004.243,1216.25,-2817.5,-1120.0,375.44,282.72,-402.8
1376889.7272,-152.317,-182.207,1003.999,1181.25,-2931.25,-1216.25,376.96,282.72,-401.28
1376889.7772,-149.206,-183.061,1003.572,1268.75,-2835.0,-1242.5,373.92,284.24,-407.36
1376889.8272,-150.06,-183.427,1003.999,997.5,-2931.25,-1207.5,360.24,287.28,-398.24
1376889.8772,-148.108,-182.024,1005.951,1006.25,-2861.25,-1102.5,357.2,275.12,-410.4
1376889.9272,-149.694,-182.817,1005.951,980.0,-2887.5,-1137.5,364.8,282.72,-413.44
1376889.9772,-150.06,-181.658,1005.768,1452.5,-2826.25,-1190.0,376.96,278.16,-398.24
1376890.0272,-151.341,-182.39,1003.877,1391.25,-2861.25,-1207.5,378.48,275.12,-401.28
1376890.0772,-147.742,-183.305,1004.548,971.25,-2887.5,-1146.25,387.6,278.16,-407.36
1376890.1272,-151.341,-184.037,1006.866,1120.0,-2852.5,-1260.0,354.16,281.2,-395.2
1376890.1772,-150.304,-184.708,1007.72,988.75,-2861.25,-1233.75,364.8,288.8,-410.4
1376890.2272,-148.718,-184.891,1004.975,1216.25,-2835.0,-1155.0,358.72,296.4,-396.72
1376890.2774,-149.816,-182.146,1004.548,1286.25,-2861.25,-1190.0,372.4,284.24,-401.28
1376890.3273,-150.487,-183.366,1007.659,1093.75,-3036.25,-1198.75,364.8,288.8,-396.72
1376890.3773,-150.792,-183.976,1006.744,1251.25,-2975.0,-1067.5,367.84,285.76,-398.24
1376890.4272,-148.901,-182.512,1005.341,1067.5,-2896.25,-1303.75,370.88,276.64,-396.72
1376890.4772,-148.596,-182.573,1008.025,1058.75,-2870.0,-1102.5,364.8,281.2,-396.72
1376890.5272,-149.389,-183.122,1006.195,1058.75,-2878.75,-1207.5,372.4,284.24,-416.48
1376890.5772,-149.694,-182.573,1005.829,1417.5,-2878.75,-1128.75,360.24,285.76,-399.76
1376890.6272,-149.816,-182.695,1003.877,1400.0,-2826.25,-1076.25,381.52,285.76,-396.72
1376890.6772,-149.572,-183.915,1003.45,866.25,-2861.25,-1225.0,361.76,284.24,-399.76
1376890.7272,-149.755,-181.109,1004.975,927.5,-2966.25,-1155.0,364.8,299.44,-381.52
1376890.7772,-147.498,-184.403,1005.829,1128.75,-2677.5,-1172.5,367.84,276.64,-395.2
1376890.8272,-149.633,-183.427,1003.572,1076.25,-2835.0,-1225.0,358.72,290.32,-419.52
1376890.8772,-148.84,-181.963,1006.378,1260.0,-2861.25,-1155.0,367.84,285.76,-410.4
1376890.9272,-149.45,-183.549,1005.463,997.5,-2896.25,-1058.75,364.8,291.84,-398.24
