TimeStamp,Fpz,Gnd,Fz,Cz,CPz,POz
1133348.1398,-4590.99,19268.18,8161.16,34656.91,30783.42,22831.25
1133348.1418,-4585.31,19242.1,8034.99,34641.46,30720.43,22784.14
1133348.1438,-4580.31,19228.32,7947.35,34636.45,30677.66,22757.91
1133348.1458,-4579.02,19267.47,8045.05,34658.29,30726.44,22799.35
1133348.1478,-4586.12,19293.41,8158.02,34666.73,30777.27,22835.45
1133348.1498,-4590.99,19312.72,8245.9,34673.36,30818.42,22865.68
1133348.1518,-4604.44,19334.75,8353.71,34682.56,30879.26,22905.5
1133348.1538,-4605.06,19305.28,8299.26,34666.21,30851.61,22876.41
1133348.1558,-4599.67,19274.76,8190.44,34651.09,30795.15,22833.73
1133348.1578,-4594.71,19251.78,8080.67,34637.17,30735.78,22790.77
1133348.1598,-4576.92,19230.65,7961.27,34628.59,30676.03,22755.29
1133348.1618,-4573.39,19263.17,8006.0,34651.33,30705.03,22781.09
1133348.1638,-4574.73,19300.61,8134.41,34672.65,30771.02,22827.68
1133348.1658,-4573.82,19323.54,8228.92,34683.71,30813.13,22857.33
1133348.1678,-4591.42,19347.96,8345.51,34695.49,30873.16,22899.58
1133348.1698,-4596.33,19332.46,8346.51,34686.95,30875.4,22899.06
1133348.1718,-4582.93,19295.65,8241.65,34669.07,30823.04,22859.15
1133348.1738,-4569.82,19272.04,8134.99,34660.63,30767.92,22820.43
1133348.1758,-4570.91,19243.67,8009.34,34640.94,30701.83,22774.56
1133348.1778,-4560.66,19252.59,7977.53,34648.99,30686.19,22769.07
1133348.1798,-4560.52,19298.94,8108.43,34677.37,30757.0,22823.43
1133348.1818,-4562.76,19320.59,8201.27,34687.24,30802.16,22853.52
1133348.1838,-4572.73,19337.32,8304.84,34695.77,30856.28,22893.05
1133348.1858,-4588.03,19340.14,8363.01,34696.54,30890.61,22916.7
1133348.1878,-4587.03,19302.66,8279.75,34676.84,30847.84,22881.99
1133348.1898,-4578.69,19268.18,8158.02,34657.67,30784.8,22830.68
1133348.1918,-4569.72,19247.01,8052.68,34648.61,30730.54,22791.01
1133348.1938,-4563.14,19232.7,7953.45,34641.22,30679.13,22759.15
1133348.1958,-4577.26,19279.2,8061.93,34669.83,30737.12,22808.75
1133348.1978,-4579.5,19304.99,8172.61,34680.56,30784.23,22843.65
1133348.1998,-4588.65,19325.88,8270.79,34688.19,30832.1,22876.89
1133348.2018,-4608.11,19340.18,8357.48,34696.73,30882.46,22908.74
1133348.2038,-4604.63,19313.0,8315.56,34681.99,30861.43,22888.57
1133348.2058,-4579.64,19276.81,8192.97,34664.44,30799.96,22841.17
