TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1133348.172,-401.136,23.18,950.319,1207.5,-2896.25,52.5,770.64,24.32,-281.2
1133348.2219,-397.842,27.206,947.086,2345.0,-1968.75,813.75,796.48,19.76,-294.88
1133348.272,-407.541,34.404,939.827,2450.0,-2791.25,367.5,779.76,25.84,-290.32
1133348.3219,-402.112,36.661,942.328,3167.5,-3316.25,-1233.75,767.6,25.84,-285.76
1133348.3719,-398.025,39.711,942.816,2091.25,-3036.25,-1303.75,785.84,24.32,-288.8
1133348.4219,-397.415,42.273,949.16,2695.0,-2668.75,-717.5,772.16,33.44,-299.44
1133348.4719,-392.352,44.713,945.134,3220.0,-3106.25,8.75,782.8,28.88,-297.92
1133348.522,-392.535,49.105,943.609,2913.75,-2380.0,-367.5,764.56,30.4,-288.8
1133348.5719,-392.535,40.016,947.574,875.0,-2231.25,-1163.75,753.92,21.28,-291.84
1133348.6219,-403.454,23.79,951.6,2187.5,-2695.0,-1330.0,779.76,25.84,-279.68
1133348.6719,-409.737,15.677,951.356,6448.75,-5136.25,-1653.75,761.52,18.24,-273.6
1133348.7219,-407.602,23.79,953.674,9668.75,-7017.5,-1435.0,779.76,19.76,-287.28
1133348.7719,-402.051,38.613,954.528,11681.25,-6895.0,-1408.75,785.84,10.64,-291.84
1133348.8219,-402.966,59.963,945.5,14805.0,-8557.5,-490.0,787.36,13.68,-287.28
1133348.8719,-386.923,84.424,940.803,14490.0,-10193.75,-323.75,761.52,10.64,-307.04
1133348.9219,-368.806,97.051,946.11,12827.5,-7367.5,-2773.75,776.72,9.12,-293.36
1133348.9719,-379.786,101.748,942.511,11401.25,-6168.75,-2388.75,753.92,0.0,-287.28
1133349.0219,-381.433,110.837,942.816,10342.5,-5941.25,-796.25,779.76,3.04,-299.44
1133349.0719,-372.222,131.76,944.402,8023.75,-6151.25,892.5,760.0,1.52,-296.4
1133349.1219,-370.697,131.577,948.428,6273.75,-5293.75,1295.0,752.4,-12.16,-294.88
1133349.1719,-363.438,125.416,946.903,4742.5,-3762.5,2275.0,755.44,-9.12,-287.28
1133349.2219,-372.466,124.257,942.023,4996.25,-3753.75,3123.75,773.68,-13.68,-293.36
1133349.2719,-365.085,142.191,945.073,4340.0,-3937.5,3395.0,761.52,-25.84,-294.88
1133349.3219,-365.756,139.751,947.086,3447.5,-4033.75,3010.0,767.6,-18.24,-304.0
1133349.3719,-358.619,138.348,948.916,3858.75,-4550.0,2747.5,750.88,-25.84,-297.92
1133349.4219,-355.081,153.11,940.864,5145.0,-5337.5,1968.75,752.4,-25.84,-310.08
1133349.4719,-348.737,157.868,944.28,4165.0,-5600.0,1540.0,760.0,-27.36,-288.8
1133349.5219,-337.635,153.415,946.903,4830.0,-5276.25,1391.25,763.04,-33.44,-287.28
1133349.5719,-330.132,158.905,954.65,5731.25,-3228.75,936.25,743.28,-24.32,-319.2
1133349.6219,-354.715,163.663,943.121,4882.5,-2108.75,603.75,752.4,-36.48,-308.56
1133349.6719,-353.922,163.114,944.097,3823.75,-2712.5,201.25,761.52,-38.0,-291.84
1133349.7219,-358.436,167.506,944.219,3561.25,-4576.25,-288.75,737.2,-34.96,-294.88
1133349.7719,-354.532,165.554,949.221,3456.25,-4646.25,-1338.75,763.04,-28.88,-297.92
1133349.8219,-351.787,164.517,946.72,3648.75,-5145.0,-1076.25,731.12,-31.92,-304.0
1133349.8719,-347.883,174.399,941.84,3867.5,-5066.25,-227.5,744.8,-21.28,-308.56
1133349.9219,-342.881,176.29,948.001,2905.0,-4830.0,-218.75,760.0,-25.84,-294.88
1133349.9719,-344.528,177.083,949.221,3045.0,-4217.5,-507.5,763.04,-34.96,-291.84
1133350.0219,-341.722,177.083,945.378,3167.5,-4611.25,-507.5,760.0,-39.52,-305.52
1133350.0719,-337.635,176.107,941.962,2922.5,-4331.25,26.25,752.4,-44.08,-288.8
1133350.1219,-340.868,177.327,950.746,2852.5,-3351.25,1592.5,744.8,-33.44,-311.6
1133350.1719,-333.487,184.708,950.197,4375.0,-3368.75,7183.75,747.84,-42.56,-297.92
1133350.2219,-315.492,198.555,949.77,3132.5,-1767.5,8863.75,747.84,-47.12,-305.52
1133350.2719,-320.067,199.409,944.158,2730.0,-218.75,6912.5,744.8,-38.0,-305.52
1133350.3219,-327.143,202.337,941.108,2082.5,113.75,2668.75,749.36,-44.08,-304.0
1133350.3719,-338.001,207.766,934.642,1023.75,-577.5,-210.0,732.64,-50.16,-291.84
1133350.4219,-342.881,201.3,942.633,-1181.25,-2485.0,-4768.75,731.12,-53.2,-288.8
