TimeStamp,Fpz,Gnd,Fz,Cz,CPz,POz
1133018.2096,-1878.07,25799.13,12513.26,42132.43,40430.69,30316.4
1133018.2116,-1892.38,25847.15,12761.64,42150.26,40509.18,30363.47
1133018.2136,-1911.93,25860.93,12897.78,42149.02,40546.8,30384.59
1133018.2156,-1935.82,25897.55,13112.74,42168.81,40626.67,30432.04
1133018.2176,-1946.12,25867.04,13106.82,42147.26,40619.09,30416.06
1133018.2196,-1918.13,25830.8,12913.75,42129.66,40560.39,30378.01
1133018.2216,-1900.77,25790.27,12704.04,42112.78,40486.58,30326.04
1133018.2236,-1886.32,25749.73,12464.29,42094.28,40404.23,30281.17
1133018.2256,-1876.12,25765.09,12422.37,42108.21,40393.21,30290.65
1133018.2276,-1891.95,25825.79,12668.75,42139.3,40478.62,30350.12
1133018.2296,-1908.87,25852.49,12840.84,42142.87,40528.68,30377.68
1133018.2316,-1921.56,25875.67,13030.24,42146.97,40589.86,30412.15
1133018.2336,-1924.09,25878.1,13138.68,42148.12,40630.87,30429.32
1133018.2356,-1912.16,25839.38,12983.23,42132.24,40579.99,30392.36
1133018.2376,-1904.68,25798.28,12768.56,42115.79,40506.03,30339.72
1133018.2396,-1892.66,25760.61,12553.12,42097.19,40430.03,30292.32
1133018.2415,-1868.25,25746.3,12384.32,42091.66,40373.95,30271.82
1133018.2435,-1870.58,25814.92,12594.37,42132.33,40453.58,30333.43
1133018.2455,-1873.45,25860.65,12809.18,42156.46,40527.06,30382.78
1133018.2475,-1899.91,25874.33,12976.7,42158.47,40577.32,30409.24
1133018.2495,-1922.7,25886.73,13150.74,42161.14,40639.31,30441.67
1133018.2515,-1916.27,25859.5,13065.72,42149.26,40615.52,30420.97
1133018.2535,-1906.73,25809.72,12836.12,42123.23,40530.07,30357.94
1133018.2555,-1887.46,25792.03,12659.22,42122.13,40475.52,30322.75
1133018.2575,-1858.0,25759.13,12423.33,42111.45,40400.32,30287.65
1133018.2595,-1854.47,25798.75,12521.17,42137.68,40435.99,30323.22
1133018.2615,-1868.25,25857.79,12765.36,42168.19,40520.96,30381.25
1133018.2635,-1897.1,25873.19,12924.58,42167.57,40566.35,30405.24
1133018.2655,-1915.84,25894.79,13112.31,42174.54,40631.11,30444.58
1133018.2675,-1912.45,25884.35,13132.38,42168.05,40637.93,30442.0
1133018.2695,-1887.42,25838.95,12927.82,42152.36,40572.55,30393.37
1133018.2715,-1874.3,25805.52,12739.99,42140.87,40505.65,30350.45
1133018.2735,-1869.06,25762.13,12496.47,42118.08,40420.01,30301.96
1133018.2755,-1854.37,25784.5,12455.27,42136.48,40415.43,30313.92
1133018.2775,-1864.2,25843.77,12701.7,42164.47,40501.46,30372.05
1133018.2795,-1885.18,25873.28,12886.1,42172.82,40555.24,30400.95
1133018.2815,-1911.88,25889.07,13050.94,42173.15,40601.88,30423.55
1133018.2835,-1922.85,25886.44,13153.98,42163.66,40631.92,30436.09
1133018.2855,-1908.02,25839.62,12998.73,42138.96,40577.32,30396.27
1133018.2875,-1881.12,25810.96,12794.21,42132.53,40513.23,30353.74
1133018.2895,-1877.98,25773.05,12579.01,42116.93,40440.23,30306.82
1133018.2915,-1860.57,25764.18,12402.58,42119.75,40387.83,30284.74
1133018.2935,-1860.0,25823.07,12613.58,42153.13,40465.36,30337.34
1133018.2955,-1873.02,25854.02,12813.24,42162.85,40525.58,30371.67
1133018.2975,-1882.79,25882.06,12990.52,42174.06,40585.95,30413.11
1133018.2995,-1906.25,25897.22,13149.02,42178.06,40639.31,30443.58
1133018.3015,-1910.97,25863.7,13074.11,42159.23,40615.47,30424.79
1133018.3035,-1910.02,25813.25,12847.71,42137.15,40532.64,30370.72
1133018.3055,-1903.2,25784.69,12666.75,42123.56,40471.46,30327.47
1133018.3075,-1868.15,25754.69,12415.79,42114.98,40395.98,30288.65
1133018.3095,-1863.67,25798.13,12531.04,42147.59,40442.85,30329.66
1133018.3115,-1888.56,25828.32,12733.13,42151.17,40499.41,30365.18
1133018.3135,-1889.56,25860.26,12925.34,42160.75,40559.06,30404.33
1133018.3155,-1908.64,25886.11,13108.06,42172.72,40622.14,30440.76
1133018.3175,-1925.8,25869.71,13136.63,42159.51,40632.44,30435.14
