TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1133018.2719,-355.996,347.09,884.012,2143.75,-5057.5,708.75,728.08,-164.16,-250.8
1133018.3219,-345.138,349.652,886.452,2248.75,-5075.0,682.5,722.0,-159.6,-240.16
1133018.3719,-335.073,361.059,885.903,2852.5,-4051.25,-288.75,705.28,-167.2,-255.36
1133018.4219,-336.11,362.706,889.319,2388.75,-2126.25,-1846.25,712.88,-170.24,-246.24
1133018.4719,-354.044,361.791,877.18,297.5,-1583.75,-1820.0,708.32,-164.16,-229.52
1133018.5219,-357.887,346.175,884.683,-52.5,-1382.5,-1260.0,714.4,-150.48,-244.72
1133018.5719,-356.301,355.081,889.563,-376.25,-1163.75,-1295.0,740.24,-158.08,-255.36
1133018.6219,-370.087,346.053,887.428,-262.5,-2336.25,-1050.0,732.64,-162.64,-244.72
1133018.6719,-363.194,336.842,888.221,472.5,-3036.25,-962.5,712.88,-167.2,-262.96
1133018.7219,-358.863,348.554,889.014,1128.75,-3701.25,-717.5,720.48,-159.6,-249.28
1133018.7719,-354.044,344.467,887.428,997.5,-3517.5,-358.75,711.36,-150.48,-241.68
1133018.8219,-353.8,348.798,890.478,1566.25,-3263.75,-201.25,709.84,-161.12,-249.28
1133018.8719,-354.959,351.543,887.184,1618.75,-3106.25,-577.5,709.84,-159.6,-240.16
1133018.9219,-350.628,352.031,885.903,1277.5,-3246.25,-533.75,731.12,-156.56,-249.28
1133018.9719,-350.506,354.288,884.378,848.75,-2730.0,-463.75,706.8,-156.56,-241.68
1133019.0219,-351.97,352.763,883.524,1155.0,-2896.25,-892.5,731.12,-165.68,-247.76
1133019.0719,-346.541,351.482,887.611,1111.25,-2502.5,-1513.75,711.36,-161.12,-226.48
1133019.1219,-356.545,353.617,880.84,752.5,-2082.5,-1907.5,715.92,-156.56,-247.76
1133019.1719,-355.203,345.748,887.733,-262.5,-1741.25,-1470.0,722.0,-165.68,-246.24
1133019.2219,-359.656,345.016,887.428,166.25,-2178.75,-770.0,703.76,-148.96,-253.84
1133019.2719,-359.229,347.639,886.025,245.0,-2843.75,-533.75,706.8,-158.08,-256.88
1133019.3219,-350.384,343.491,890.417,560.0,-3316.25,-166.25,709.84,-170.24,-237.12
1133019.3719,-349.347,348.005,888.831,1321.25,-2887.5,-1050.0,728.08,-152.0,-237.12
1133019.4219,-356.728,347.456,885.049,297.5,-2310.0,-1566.25,708.32,-164.16,-244.72
1133019.4719,-359.473,346.236,887.428,533.75,-2528.75,-1181.25,729.6,-164.16,-258.4
1133019.5219,-354.837,343.857,890.722,822.5,-2633.75,-1015.0,711.36,-161.12,-235.6
1133019.5719,-354.837,347.883,887.733,568.75,-2546.25,-1041.25,717.44,-155.04,-247.76
1133019.6219,-358.009,344.955,886.574,402.5,-2485.0,-1382.5,728.08,-164.16,-250.8
1133019.6719,-357.338,344.101,888.343,262.5,-2887.5,-1216.25,702.24,-156.56,-247.76
1133019.7219,-355.63,340.685,889.929,1076.25,-2896.25,-1181.25,702.24,-156.56,-244.72
1133019.7719,-357.033,342.332,891.82,1557.5,-2782.5,-1041.25,741.76,-155.04,-244.72
1133019.8219,-360.144,348.798,888.587,1303.75,-3080.0,-866.25,705.28,-161.12,-250.8
1133019.8719,-354.227,339.953,887.855,551.25,-2283.75,-1540.0,712.88,-165.68,-244.72
1133019.9219,-360.388,341.173,889.746,1032.5,-2870.0,-437.5,729.6,-159.6,-256.88
1133019.9719,-360.449,341.478,889.807,1286.25,-3333.75,-455.0,714.4,-164.16,-244.72
1133020.0219,-344.65,342.21,889.502,1706.25,-3823.75,-962.5,712.88,-165.68,-249.28
1133020.0719,-349.164,350.201,887.367,1907.5,-2957.5,-1478.75,718.96,-167.2,-249.28
1133020.1219,-353.495,346.663,889.441,708.75,-2388.75,-1233.75,725.04,-174.8,-246.24
1133020.1719,-355.569,346.846,888.953,918.75,-2450.0,-1277.5,705.28,-161.12,-252.32
1133020.2219,-353.739,345.626,887.123,813.75,-2458.75,-1645.0,735.68,-150.48,-253.84
1133020.2719,-354.654,344.894,887.55,507.5,-2415.0,-1286.25,712.88,-161.12,-240.16
1133020.3219,-353.312,344.04,886.574,577.5,-2047.5,-1172.5,717.44,-159.6,-253.84
1133020.3719,-361.425,340.99,890.6,577.5,-2362.5,-1286.25,702.24,-159.6,-247.76
1133020.4219,-358.619,341.6,888.16,822.5,-2870.0,-1120.0,726.56,-168.72,-244.72
1133020.4719,-357.826,341.234,888.221,1198.75,-2345.0,-1242.5,706.8,-153.52,-252.32
1133020.5219,-359.046,345.077,885.598,822.5,-2633.75,-1102.5,726.56,-164.16,-247.76
1133020.5719,-361.425,333.792,889.868,735.0,-2318.75,-1172.5,726.56,-173.28,-244.72
1133020.6219,-362.523,339.648,889.868,1050.0,-2712.5,-70.0,722.0,-158.08,-246.24
1133020.6719,-361.242,339.77,888.587,1268.75,-3465.0,-385.0,717.44,-156.56,-252.32
1133020.7219,-344.162,339.038,892.247,1531.25,-3543.75,-1347.5,715.92,-165.68,-252.32
1133020.7719,-350.384,346.175,890.966,2056.25,-2782.5,-1557.5,709.84,-153.52,-259.92
1133020.8219,-353.251,345.626,889.014,1277.5,-2747.5,-1365.0,706.8,-158.08,-249.28
1133020.8719,-353.129,345.565,889.563,1513.75,-2686.25,-1802.5,714.4,-165.68,-246.24
1133020.9219,-356.301,347.212,886.879,1128.75,-2362.5,-1802.5,722.0,-158.08,-243.2
1133020.9719,-357.033,344.772,884.988,988.75,-2170.0,-1268.75,718.96,-164.16,-253.84
1133021.0219,-360.693,346.602,888.77,192.5,-1820.0,-997.5,706.8,-168.72,-250.8
1133021.0719,-361.547,336.171,889.746,612.5,-2738.75,-708.75,703.76,-162.64,-237.12
1133021.1219,-360.937,342.576,885.72,1190.0,-3561.25,-638.75,720.48,-164.16,-256.88
1133021.1719,-352.885,346.663,890.661,1426.25,-2520.0,-2152.5,705.28,-168.72,-256.88
1133021.2219,-360.571,344.833,885.781,175.0,-2913.75,-1505.0,708.32,-162.64,-247.76
1133021.2719,-356.179,333.609,887.245,1146.25,-2336.25,-787.5,714.4,-158.08,-240.16
1133021.3219,-356.85,344.833,891.21,1478.75,-2178.75,-577.5,728.08,-171.76,-255.36
1133021.3719,-364.902,347.822,888.892,236.25,-2913.75,-1128.75,711.36,-161.12,-247.76
1133021.4219,-353.068,329.217,891.088,1338.75,-3316.25,-962.5,722.0,-159.6,-247.76
1133021.4719,-352.275,341.295,886.757,1925.0,-3071.25,-280.0,725.04,-167.2,-252.32
1133021.5219,-355.874,351.177,887.184,1338.75,-2362.5,-1093.75,720.48,-168.72,-259.92
1133021.5719,-356.484,346.175,888.282,700.0,-2318.75,-1776.25,720.48,-153.52,-246.24
1133021.6219,-361.425,341.173,886.696,805.0,-2038.75,-1627.5,712.88,-155.04,-240.16
1133021.6719,-362.462,342.21,886.513,630.0,-2047.5,-945.0,717.44,-170.24,-250.8
1133021.7219,-365.573,343.796,888.343,218.75,-3018.75,-656.25,705.28,-152.0,-249.28
1133021.7719,-353.251,341.661,887.367,927.5,-3648.75,-875.0,725.04,-168.72,-240.16
1133021.8219,-344.894,342.271,890.356,1093.75,-2441.25,-1286.25,697.68,-156.56,-238.64
1133021.8719,-363.377,346.602,885.476,656.25,-1960.0,-1837.5,722.0,-158.08,-246.24
1133021.9219,-363.56,339.953,886.879,-183.75,-2318.75,-1750.0,720.48,-164.16,-252.32
1133021.9719,-364.048,337.025,892.43,218.75,-3237.5,-428.75,711.36,-152.0,-241.68
1133022.0219,-357.094,336.415,892.064,656.25,-3298.75,210.0,737.2,-162.64,-252.32
1133022.0719,-344.528,343.796,893.223,358.75,-2677.5,-840.0,728.08,-161.12,-243.2
1133022.1219,-362.767,336.72,888.343,761.25,-1408.75,-2353.75,708.32,-164.16,-253.84
1133022.1719,-370.27,336.293,888.038,280.0,-2388.75,-1732.5,725.04,-161.12,-238.64
1133022.2219,-362.523,334.646,889.99,1102.5,-3447.5,-525.0,728.08,-170.24,-244.72
1133022.2719,-354.349,337.086,889.258,1225.0,-2957.5,-367.5,718.96,-167.2,-253.84
1133022.3219,-357.46,340.685,888.16,787.5,-2423.75,-630.0,709.84,-164.16,-246.24
1133022.3719,-359.778,337.818,888.648,481.25,-2126.25,-1190.0,720.48,-153.52,-241.68
