TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1133621.8719,-134.017,494.222,874.923,1566.25,-3482.5,218.75,636.88,-191.52,-285.76
1133621.9219,-128.527,500.993,871.446,2257.5,-3027.5,-883.75,650.56,-193.04,-288.8
1133621.9719,-128.283,501.359,868.762,1242.5,-2887.5,-1225.0,646.0,-185.44,-264.48
1133622.0219,-125.538,493.185,874.008,35.0,-1986.25,-1741.25,653.6,-191.52,-282.72
1133622.0719,-132.187,489.22,876.509,437.5,-1846.25,-1251.25,652.08,-185.44,-267.52
1133622.1219,-135.786,489.586,877.058,1303.75,-2038.75,-997.5,674.88,-179.36,-282.72
1133622.1719,-136.762,489.891,869.555,1452.5,-2380.0,-603.75,652.08,-188.48,-276.64
1133622.2219,-131.15,494.954,874.862,1295.0,-2957.5,-227.5,658.16,-183.92,-284.24
1133622.2719,-130.723,490.562,874.008,1680.0,-1706.25,-1356.25,655.12,-186.96,-270.56
1133622.3219,-139.995,495.259,866.566,1688.75,-1802.5,-1163.75,644.48,-179.36,-267.52
1133622.3719,-137.555,493.856,869.86,936.25,-2205.0,-980.0,662.72,-197.6,-275.12
1133622.4219,-134.139,496.235,873.642,1032.5,-2520.0,-936.25,635.36,-177.84,-269.04
1133622.4719,-138.104,497.028,870.714,1137.5,-2826.25,-1085.0,642.96,-191.52,-266.0
1133622.5219,-133.163,493.978,870.348,1522.5,-3386.25,-752.5,655.12,-183.92,-259.92
1133622.5719,-133.59,501.237,871.141,1233.75,-3027.5,-1373.75,642.96,-194.56,-281.2
1133622.6219,-131.089,495.564,873.886,-236.25,-2301.25,-1601.25,661.2,-194.56,-279.68
1133622.6719,-135.176,491.721,870.775,-96.25,-2047.5,-1531.25,636.88,-179.36,-253.84
1133622.7219,-137.677,487.39,872.056,743.75,-2651.25,-568.75,658.16,-191.52,-284.24
1133622.7719,-134.749,490.989,872.605,1330.0,-3080.0,-752.5,652.08,-186.96,-275.12
1133622.8219,-136.335,492.331,871.385,875.0,-3158.75,-857.5,665.76,-182.4,-269.04
1133622.8719,-134.81,489.342,871.507,1146.25,-3342.5,-665.0,642.96,-188.48,-275.12
1133622.9219,-129.076,492.27,875.533,1785.0,-2170.0,-1146.25,662.72,-197.6,-276.64
1133622.9719,-138.775,496.479,870.531,1111.25,-3071.25,-1190.0,649.04,-176.32,-264.48
1133623.0219,-133.163,489.891,873.764,1102.5,-3290.0,-1067.5,658.16,-179.36,-291.84
1133623.0719,-131.15,494.649,871.019,1653.75,-2975.0,-691.25,673.36,-196.08,-266.0
1133623.1219,-134.688,497.272,872.544,1750.0,-3088.75,-813.75,650.56,-191.52,-291.84
1133623.1719,-124.745,498.675,868.64,1933.75,-3491.25,-778.75,661.2,-193.04,-282.72
1133623.2219,-129.93,503.982,865.59,1531.25,-2870.0,-1373.75,659.68,-194.56,-261.44
1133623.2719,-129.076,496.662,871.141,-201.25,-2598.75,-1417.5,649.04,-193.04,-282.72
1133623.3219,-130.967,490.623,871.446,306.25,-2021.25,-1566.25,650.56,-186.96,-275.12
1133623.3719,-132.004,490.135,873.52,936.25,-2388.75,-1242.5,664.24,-182.4,-276.64
1133623.4219,-135.176,493.246,873.154,1408.75,-2966.25,-1277.5,655.12,-186.96,-299.44
1133623.4719,-132.004,496.845,872.605,1155.0,-2695.0,-1356.25,652.08,-186.96,-264.48
1133623.5219,-137.128,490.44,874.679,516.25,-2502.5,-1767.5,642.96,-183.92,-269.04
1133623.5719,-137.86,488.61,874.191,1277.5,-3045.0,-1303.75,647.52,-190.0,-270.56
1133623.6219,-127.673,496.54,874.496,2318.75,-2520.0,-1128.75,653.6,-182.4,-276.64
1133623.6719,-140.483,500.383,868.03,1146.25,-2948.75,-1400.0,653.6,-194.56,-278.16
1133623.7219,-134.078,491.294,872.971,1085.0,-2983.75,-1540.0,650.56,-190.0,-278.16
1133623.7719,-133.712,497.699,870.836,1986.25,-3132.5,-551.25,659.68,-190.0,-272.08
1133623.8219,-133.529,497.882,869.128,2038.75,-3281.25,-682.5,656.64,-188.48,-270.56
1133623.8719,-122.122,500.2,869.555,1846.25,-3106.25,-1321.25,658.16,-191.52,-273.6
1133623.9219,-131.943,504.348,868.152,1400.0,-2100.0,-2345.0,649.04,-185.44,-269.04
1133623.9719,-135.725,498.675,867.908,-245.0,-2660.0,-1522.5,641.44,-183.92,-267.52
1133624.0219,-132.431,493.795,873.032,87.5,-2651.25,-910.0,670.32,-190.0,-269.04
1133624.0719,-134.261,490.867,873.947,971.25,-2458.75,-866.25,646.0,-196.08,-270.56
1133624.1219,-136.213,496.174,870.165,770.0,-2537.5,-1435.0,659.68,-186.96,-275.12
1133624.1719,-137.006,490.623,870.836,822.5,-2861.25,-1452.5,653.6,-191.52,-264.48
1133624.2219,-139.141,490.745,871.141,1356.25,-3123.75,-1155.0,655.12,-182.4,-282.72
1133624.2719,-136.396,495.259,873.337,1435.0,-3368.75,-682.5,650.56,-188.48,-284.24
1133624.3219,-130.784,496.357,868.152,2021.25,-3517.5,-385.0,665.76,-176.32,-278.16
1133624.3719,-124.867,500.261,874.557,1916.25,-2633.75,-936.25,658.16,-177.84,-270.56
1133624.4219,-139.934,499.163,868.396,603.75,-2537.5,-1496.25,656.64,-196.08,-261.44
1133624.4719,-133.346,489.037,869.372,1181.25,-2493.75,-1093.75,639.92,-190.0,-261.44
1133624.5219,-134.932,497.333,871.446,1338.75,-2686.25,-498.75,636.88,-174.8,-269.04
1133624.5719,-136.701,497.394,867.847,1461.25,-3106.25,-822.5,659.68,-180.88,-262.96
1133624.6219,-128.588,497.638,867.786,1583.75,-3552.5,-1076.25,647.52,-188.48,-269.04
1133624.6719,-131.882,506.422,866.688,1295.0,-2415.0,-1522.5,655.12,-188.48,-275.12
1133624.7219,-132.98,500.627,870.287,271.25,-2502.5,-1330.0,649.04,-194.56,-276.64
1133624.7719,-135.298,494.1,869.372,612.5,-2572.5,-988.75,632.32,-185.44,-270.56
1133624.8219,-134.444,497.455,872.422,1102.5,-2642.5,-1023.75,671.84,-200.64,-287.28
1133624.8719,-135.908,499.102,868.823,1050.0,-2817.5,-848.75,644.48,-193.04,-264.48
1133624.9219,-131.272,497.394,868.518,1111.25,-3106.25,-332.5,653.6,-193.04,-272.08
1133624.9719,-130.235,499.651,872.544,962.5,-2773.75,-717.5,667.28,-194.56,-266.0
