TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1133110.172,-113.643,486.292,878.705,2870.0,-3185.0,-332.5,649.04,-144.4,-290.32
1133110.222,-112.301,496.296,876.326,2878.75,-3281.25,-148.75,656.64,-153.52,-299.44
1133110.272,-107.299,498.919,872.361,1741.25,-3097.5,428.75,670.32,-158.08,-279.68
1133110.3219,-103.395,500.2,872.971,1583.75,-2450.0,577.5,656.64,-153.52,-288.8
1133110.3719,-102.358,505.812,872.91,481.25,-1277.5,-490.0,662.72,-148.96,-300.96
1133110.4219,-116.876,496.54,874.801,-1697.5,-1776.25,-1058.75,664.24,-158.08,-294.88
1133110.4719,-109.983,479.826,879.315,-1662.5,-1575.0,-1601.25,656.64,-144.4,-299.44
1133110.5219,-116.998,480.924,886.269,-647.5,-1373.75,-175.0,658.16,-142.88,-285.76
1133110.5719,-116.876,478.423,883.829,-17.5,-1618.75,-218.75,665.76,-142.88,-293.36
1133110.6219,-89.182,492.087,884.927,157.5,-17.5,918.75,661.2,-150.48,-311.6
1133110.6719,-72.407,496.54,888.099,-3176.25,8898.75,5967.5,673.36,-153.52,-308.56
1133110.7219,-110.654,476.898,880.962,-6352.5,19171.25,20711.25,650.56,-152.0,-300.96
1133110.7719,-135.908,477.325,877.973,-5355.0,21096.25,27081.25,662.72,-148.96,-311.6
1133110.8219,-142.496,472.872,879.498,-4016.25,19722.5,24998.75,671.84,-153.52,-293.36
1133110.8719,-145.424,475.007,878.705,192.5,16248.75,17421.25,659.68,-153.52,-302.48
1133110.9219,-162.809,482.266,878.522,-533.75,13746.25,14393.75,674.88,-159.6,-299.44
1133110.9719,-165.798,467.443,881.633,-227.5,10675.0,15496.25,680.96,-162.64,-275.12
1133111.0219,-164.761,470.981,886.33,1216.25,9292.5,14472.5,659.68,-168.72,-279.68
1133111.0719,-182.451,469.395,875.777,3517.5,5197.5,10263.75,661.2,-170.24,-290.32
1133111.1219,-174.399,474.336,873.032,4497.5,1391.25,5328.75,667.28,-180.88,-270.56
1133111.1719,-170.922,495.137,872.056,4970.0,-2642.5,2003.75,665.76,-183.92,-273.6
1133111.2219,-160.003,504.897,867.542,3368.75,-4585.0,-1058.75,673.36,-177.84,-267.52
1133111.2719,-153.781,498.065,861.564,2817.5,-4742.5,-1102.5,684.0,-176.32,-273.6
1133111.3219,-154.94,504.531,864.492,1846.25,-4103.75,-953.75,667.28,-167.2,-267.52
1133111.3719,-153.964,494.039,867.969,1321.25,-3920.0,-446.25,658.16,-193.04,-278.16
1133111.4219,-150.487,493.063,872.727,1443.75,-3710.0,-875.0,664.24,-177.84,-285.76
1133111.4719,-153.476,490.623,869.311,1706.25,-3570.0,-1461.25,670.32,-183.92,-281.2
1133111.5219,-151.524,494.283,870.043,1338.75,-3692.5,-1093.75,656.64,-176.32,-275.12
1133111.5719,-150.426,488.976,871.812,1146.25,-3675.0,-778.75,659.68,-183.92,-264.48
1133111.6219,-146.644,487.329,866.993,2485.0,-3955.0,-700.0,662.72,-193.04,-284.24
1133111.6719,-139.08,505.141,871.019,2660.0,-3132.5,-1627.5,652.08,-186.96,-264.48
1133111.7219,-151.341,499.651,866.566,1723.75,-3158.75,-1758.75,679.44,-190.0,-262.96
1133111.7719,-142.74,493.429,866.627,1653.75,-2922.5,-1697.5,670.32,-183.92,-278.16
1133111.8219,-146.949,499.529,867.298,1828.75,-2695.0,-997.5,668.8,-165.68,-276.64
1133111.8719,-151.646,501.908,867.359,1671.25,-3018.75,-1216.25,665.76,-186.96,-272.08
1133111.9219,-134.322,503.25,865.407,1715.0,-3062.5,-1890.0,661.2,-185.44,-273.6
1133111.9719,-144.57,509.045,859.551,735.0,-2082.5,-2240.0,679.44,-179.36,-253.84
1133112.0219,-150.67,498.797,868.213,-157.5,-1968.75,-1452.5,658.16,-176.32,-262.96
1133112.0719,-152.683,496.357,869.799,-323.75,-2170.0,-1198.75,658.16,-177.84,-279.68
1133112.1219,-153.72,490.562,868.64,691.25,-2712.5,-1443.75,664.24,-173.28,-273.6
1133112.1719,-156.404,489.22,868.396,1505.0,-3430.0,-402.5,661.2,-183.92,-267.52
1133112.2219,-151.036,501.664,871.324,1715.0,-3526.25,-498.75,665.76,-177.84,-279.68
1133112.2719,-148.596,491.233,866.627,1933.75,-3587.5,-612.5,659.68,-171.76,-267.52
1133112.3219,-143.655,499.468,869.372,2275.0,-3570.0,-393.75,659.68,-177.84,-272.08
1133112.3719,-149.755,505.324,864.553,1697.5,-2878.75,-1181.25,659.68,-182.4,-290.32
1133112.4219,-144.204,500.139,866.261,866.25,-3403.75,-726.25,671.84,-179.36,-262.96
1133112.4719,-146.522,498.248,869.799,1671.25,-2966.25,-481.25,668.8,-185.44,-269.04
1133112.5219,-145.668,498.004,868.945,1785.0,-2975.0,-393.75,659.68,-190.0,-278.16
1133112.5719,-147.864,499.529,864.98,2371.25,-4051.25,-218.75,679.44,-176.32,-273.6
1133112.6219,-139.934,505.629,866.017,2852.5,-3412.5,-1058.75,656.64,-182.4,-275.12
1133112.6719,-145.119,510.204,862.296,1557.5,-3342.5,-708.75,656.64,-193.04,-275.12
1133112.7219,-140.971,502.884,865.773,1312.5,-3010.0,-280.0,668.8,-185.44,-267.52
1133112.7719,-142.618,500.871,865.468,1583.75,-3010.0,-682.5,653.6,-180.88,-279.68
1133112.8219,-141.642,504.409,863.333,1960.0,-3263.75,-848.75,653.6,-182.4,-287.28
1133112.8719,-141.398,505.873,861.442,1636.25,-3150.0,-183.75,673.36,-194.56,-256.88
1133112.9219,-143.472,507.337,862.723,936.25,-2826.25,-236.25,655.12,-183.92,-273.6
1133112.9719,-142.374,504.958,862.174,1548.75,-3360.0,-87.5,661.2,-191.52,-275.12
1133113.0219,-131.943,508.191,869.921,1811.25,-3167.5,-428.75,644.48,-182.4,-262.96
1133113.0719,-147.315,508.557,862.052,1085.0,-2966.25,-280.0,659.68,-197.6,-288.8
1133113.1219,-138.897,500.566,864.797,770.0,-3193.75,-105.0,652.08,-186.96,-276.64
1133113.1719,-137.921,503.006,863.699,1662.5,-2738.75,96.25,662.72,-176.32,-273.6
1133113.2219,-138.287,504.348,863.76,1820.0,-2800.0,-201.25,656.64,-185.44,-279.68
