TimeStamp,Fpz,Gnd,Fz,Cz,CPz,POz
1133266.9651,-4031.9,20656.02,9180.21,36178.26,32624.15,24268.53
1133266.9671,-4028.37,20685.48,9215.69,36199.14,32642.94,24290.37
1133266.9691,-4039.48,20727.59,9356.55,36224.37,32712.7,24338.87
1133266.9711,-4053.07,20757.63,9487.82,36241.49,32773.69,24387.27
1133266.9731,-4069.61,20773.22,9592.2,36249.07,32827.24,24429.23
1133266.9751,-4077.15,20766.4,9620.33,36240.53,32851.75,24445.73
1133266.9771,-4063.94,20730.5,9498.55,36214.64,32784.42,24390.7
1133266.9791,-4053.74,20698.5,9376.29,36194.33,32720.47,24339.11
1133266.9811,-4034.62,20669.75,9228.9,36180.5,32644.8,24282.6
1133266.9831,-4029.37,20674.76,9181.64,36188.42,32621.77,24274.97
1133266.9851,-4034.85,20726.02,9318.78,36224.89,32699.06,24337.25
1133266.9871,-4040.53,20766.36,9464.5,36248.97,32772.45,24394.18
1133266.9891,-4066.56,20769.22,9553.34,36242.68,32806.5,24411.87
1133266.9911,-4083.82,20772.41,9631.44,36243.4,32852.13,24439.53
1133266.9931,-4073.72,20736.84,9539.56,36219.98,32806.5,24401.86
1133266.9951,-4057.5,20708.28,9415.44,36203.67,32746.84,24356.18
1133266.9971,-4041.15,20682.67,9285.12,36196.43,32683.23,24307.59
1133266.9991,-4028.08,20674.14,9178.93,36195.71,32629.83,24273.21
1133267.0011,-4042.39,20705.03,9259.75,36209.97,32667.16,24302.49
1133267.0031,-4046.68,20740.03,9405.61,36229.81,32736.21,24354.27
1133267.0051,-4050.35,20758.06,9509.37,36238.29,32784.18,24388.13
1133267.0071,-4069.38,20775.03,9617.38,36248.16,32846.03,24436.52
1133267.0091,-4075.29,20745.04,9574.7,36225.66,32823.47,24411.78
1133267.0111,-4067.76,20703.22,9444.09,36200.53,32755.19,24353.65
1133267.0131,-4049.16,20684.29,9326.13,36192.37,32701.02,24311.02
1133267.0151,-4029.94,20665.6,9190.04,36187.99,32633.4,24263.67
1133267.0171,-4032.28,20688.73,9214.5,36203.91,32643.47,24276.93
1133267.0191,-4054.21,20729.12,9364.42,36224.89,32714.04,24329.14
1133267.0211,-4056.74,20758.11,9481.96,36238.63,32768.44,24368.29
1133267.0231,-4067.14,20778.18,9591.96,36246.21,32828.1,24417.88
1133267.0251,-4076.24,20766.88,9610.08,36237.15,32844.88,24431.61
1133267.0271,-4063.8,20735.22,9503.79,36222.18,32794.81,24392.04
1133267.0291,-4057.93,20697.88,9371.04,36200.58,32727.44,24336.25
1133267.0311,-4049.4,20663.41,9219.93,36176.97,32646.56,24275.69
1133267.0331,-4032.56,20676.76,9172.15,36191.13,32624.63,24266.68
1133267.0351,-4039.81,20721.77,9308.01,36220.98,32692.63,24323.51
1133267.0371,-4051.45,20746.66,9433.41,36225.47,32741.88,24357.99
1133267.0391,-4061.65,20767.17,9546.95,36234.43,32795.91,24397.85
1133267.0411,-4075.15,20772.46,9625.15,36239.29,32849.98,24438.15
1133267.0431,-4080.82,20735.89,9534.69,36215.93,32806.16,24401.24
1133267.0451,-4072.05,20700.17,9399.22,36195.43,32737.35,24347.02
1133267.0471,-4052.69,20677.24,9273.91,36187.65,32675.32,24301.25
1133267.0491,-4039.34,20663.17,9159.14,36177.21,32615.47,24261.86
1133267.0511,-4044.82,20704.99,9254.27,36207.3,32666.59,24304.2
1133267.0531,-4052.83,20742.23,9397.7,36227.09,32732.68,24353.65
1133267.0551,-4065.32,20761.59,9510.66,36235.19,32784.13,24394.23
1133267.0571,-4084.06,20773.84,9616.09,36243.35,32845.88,24439.05
1133267.0591,-4081.44,20744.28,9575.08,36226.42,32826.71,24417.55
1133267.0611,-4071.33,20702.08,9439.76,36203.82,32757.95,24362.28
1133267.0631,-4059.32,20677.9,9316.06,36194.23,32702.26,24318.13
1133267.0651,-4046.35,20656.64,9180.93,36184.46,32637.08,24274.64
1133267.0671,-4050.45,20678.0,9202.1,36202.53,32648.38,24291.85
1133267.0691,-4063.8,20719.24,9350.97,36228.09,32722.29,24348.55
1133267.0711,-4075.15,20740.08,9465.03,36230.04,32764.82,24376.97
1133267.0731,-4083.11,20759.78,9572.94,36232.33,32817.8,24416.07
1133267.0751,-4080.49,20758.44,9600.78,36233.0,32839.49,24437.72
1133267.0771,-4080.96,20718.05,9481.1,36207.35,32776.31,24389.22
1133267.0791,-4065.7,20692.49,9354.88,36194.76,32715.04,24338.06
1133267.0811,-4036.24,20676.04,9231.14,36191.18,32657.44,24295.24
1133267.0831,-4028.03,20674.85,9168.44,36192.99,32619.53,24274.3
1133267.0851,-4045.15,20714.33,9302.95,36214.88,32684.38,24326.14
1133267.0871,-4053.16,20747.0,9434.37,36225.99,32738.69,24363.43
1133267.0891,-4063.32,20765.12,9544.66,36235.62,32792.62,24402.53
1133267.0911,-4070.19,20772.41,9617.19,36244.11,32840.4,24440.01
1133267.0931,-4066.66,20742.23,9537.41,36224.18,32805.64,24410.54
1133267.0951,-4054.74,20709.42,9400.8,36206.2,32739.12,24351.79
1133267.0971,-4042.67,20686.92,9281.49,36197.09,32681.37,24310.07
1133267.0991,-4031.47,20666.03,9155.04,36189.32,32613.0,24265.67
1133267.1011,-4033.85,20705.27,9255.22,36215.41,32667.83,24312.21
1133267.1031,-4045.3,20740.13,9392.69,36228.71,32726.67,24355.03
1133267.1051,-4069.42,20762.45,9508.37,36234.62,32777.46,24390.03
1133267.1071,-4084.92,20776.47,9601.5,36245.35,32829.53,24432.38
1133267.1091,-4077.39,20758.49,9579.33,36235.81,32825.04,24426.22
1133267.1111,-4051.92,20717.96,9442.52,36211.45,32754.81,24371.44
1133267.1131,-4040.0,20689.87,9325.27,36196.28,32697.54,24327.19
1133267.1151,-4022.79,20664.55,9174.25,36182.6,32617.05,24270.44
1133267.1171,-4017.93,20696.59,9211.83,36207.01,32637.79,24294.47
1133267.1191,-4035.09,20731.55,9347.06,36224.27,32701.02,24336.58
1133267.1211,-4052.73,20756.77,9471.89,36235.72,32759.15,24377.44
1133267.1231,-4066.56,20777.37,9580.57,36247.69,32818.32,24424.13
1133267.1251,-4071.05,20775.18,9616.76,36250.07,32848.12,24449.16
1133267.1271,-4059.46,20735.55,9493.64,36228.42,32787.71,24399.76
1133267.1291,-4059.55,20699.17,9365.89,36205.39,32721.57,24345.59
1133267.1311,-4041.48,20670.85,9220.41,36190.47,32646.61,24290.33
1133267.1331,-4022.22,20682.0,9175.87,36201.2,32623.44,24284.32
1133267.1351,-4034.76,20723.2,9303.24,36225.13,32687.38,24332.34
1133267.1371,-4050.45,20755.53,9440.8,36237.48,32748.23,24375.01
1133267.1391,-4061.6,20771.55,9541.61,36247.88,32795.72,24409.68
1133267.1411,-4071.52,20783.71,9628.73,36260.47,32856.37,24459.27
1133267.1431,-4061.75,20749.81,9541.46,36244.25,32815.79,24427.61
1133267.1451,-4057.65,20710.38,9408.95,36221.79,32747.08,24373.11
1133267.1471,-4045.11,20683.2,9277.92,36206.3,32680.37,24319.37
1133267.1491,-4034.76,20665.98,9162.09,36198.1,32618.24,24278.31
1133267.1511,-4048.11,20701.84,9247.49,36219.89,32662.4,24314.31
1133267.1531,-4061.32,20743.9,9397.56,36242.49,32734.3,24366.52
1133267.1551,-4062.27,20764.97,9503.6,36252.07,32778.22,24397.33
1133267.1571,-4073.48,20781.19,9612.7,36263.52,32841.26,24446.44
1133267.1591,-4072.71,20757.77,9577.66,36249.36,32830.19,24434.0
1133267.1611,-4056.98,20723.54,9454.63,36231.57,32769.87,24388.03
1133267.1631,-4046.35,20697.41,9333.37,36218.27,32708.7,24341.73
1133267.1651,-4025.75,20682.62,9200.19,36214.26,32645.04,24298.72
1133267.1671,-4020.64,20702.7,9218.65,36229.81,32649.9,24308.21
1133267.1691,-4035.04,20741.66,9366.08,36252.46,32720.57,24360.23
1133267.1711,-4045.92,20764.26,9475.85,36258.89,32767.92,24393.28
1133267.1731,-4056.41,20790.53,9595.11,36276.01,32832.1,24447.73
1133267.1751,-4062.7,20784.09,9626.06,36268.0,32855.42,24465.04
1133267.1771,-4059.08,20741.42,9505.46,36239.1,32792.0,24411.73
1133267.1791,-4048.3,20714.48,9377.1,36224.75,32730.2,24361.76
1133267.1811,-4029.85,20690.49,9246.16,36216.17,32663.78,24315.5
1133267.1831,-4024.51,20692.3,9188.32,36221.84,32632.55,24299.15
1133267.1851,-4038.91,20739.46,9319.69,36246.73,32698.59,24352.12
1133267.1871,-4045.44,20767.88,9451.44,36258.46,32753.85,24394.94
1133267.1891,-4060.32,20785.57,9561.44,36265.0,32804.97,24429.71
1133267.1911,-4074.29,20796.73,9643.7,36272.58,32860.33,24466.28
1133267.1931,-4074.76,20764.26,9562.16,36254.7,32822.66,24431.28
1133267.1951,-4055.31,20722.3,9421.68,36230.52,32750.23,24372.53
1133267.1971,-4032.8,20695.4,9291.7,36211.3,32681.56,24320.08
1133267.1991,-4012.59,20683.0,9180.79,36205.92,32621.77,24280.69
1133267.2011,-4037.81,20710.33,9258.03,36223.03,32656.44,24314.84
1133267.2031,-4049.87,20754.67,9402.85,36247.78,32732.63,24366.48
1133267.2051,-4056.55,20773.84,9513.43,36254.7,32778.36,24397.61
1133267.2071,-4063.8,20786.96,9620.72,36262.52,32837.97,24448.78
1133267.2091,-4065.75,20763.5,9589.48,36245.68,32823.85,24435.57
1133267.2111,-4059.27,20725.73,9454.01,36221.89,32755.28,24380.31
1133267.2131,-4044.91,20701.6,9333.52,36207.97,32693.82,24334.96
