TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1133267.0219,-452.376,-62.098,910.852,4392.5,-3316.25,-1872.5,807.12,88.16,-293.36
1133267.0719,-455.121,-58.804,910.913,2502.5,-3867.5,-848.75,808.64,86.64,-282.72
1133267.1219,-443.043,-77.836,924.394,-210.0,-2686.25,-183.75,798.0,95.76,-279.68
1133267.1719,-451.766,-84.424,920.612,420.0,-1811.25,-551.25,794.96,92.72,-290.32
1133267.2219,-453.23,-82.533,923.54,1216.25,-3298.75,-192.5,810.16,83.6,-282.72
1133267.2719,-451.827,-84.668,929.701,2870.0,-4637.5,-262.5,790.4,86.64,-269.04
1133267.3219,-458.049,-85.827,927.444,5792.5,-5188.75,-1120.0,805.6,91.2,-282.72
1133267.3719,-470.371,-85.034,926.041,8741.25,-9152.5,-577.5,811.68,86.64,-270.56
1133267.4219,-456.463,-70.211,930.677,10150.0,-11331.25,-997.5,802.56,88.16,-276.64
1133267.4719,-433.771,-53.497,930.006,9222.5,-11243.75,-673.75,796.48,86.64,-297.92
1133267.5219,-424.316,-51.911,930.677,8601.25,-9721.25,201.25,796.48,80.56,-290.32
1133267.5719,-418.338,-39.406,936.106,7796.25,-8356.25,2178.75,781.28,69.92,-293.36
1133267.6219,-418.277,-32.94,940.681,7542.5,-7980.0,3526.25,788.88,72.96,-273.6
1133267.6719,-405.528,-23.119,943.67,7533.75,-7008.75,3062.5,776.72,65.36,-288.8
1133267.7219,-407.602,-5.185,933.056,5477.5,-6160.0,1610.0,776.72,68.4,-290.32
1133267.7719,-402.051,-6.954,937.57,3675.0,-5976.25,525.0,775.2,59.28,-291.84
1133267.8219,-400.587,-12.261,943.426,2747.5,-4996.25,341.25,776.72,60.8,-294.88
1133267.8719,-398.757,-12.871,947.391,2922.5,-4733.75,577.5,766.08,65.36,-305.52
1133267.9219,-393.023,-11.285,947.33,3080.0,-4471.25,446.25,776.72,62.32,-288.8
1133267.9719,-397.232,-1.22,942.938,2931.25,-4007.5,-393.75,788.88,57.76,-287.28
1133268.0219,-396.744,-5.246,944.646,2266.25,-4042.5,-743.75,793.44,65.36,-294.88
1133268.0719,-395.097,-5.795,946.476,2073.75,-3596.25,-831.25,775.2,69.92,-297.92
1133268.1219,-394.792,-6.283,948.428,1968.75,-2940.0,-1111.25,793.44,60.8,-287.28
1133268.1719,-404.552,-5.429,948.184,2213.75,-3027.5,-1058.75,770.64,54.72,-294.88
1133268.2219,-398.025,-8.967,947.452,2511.25,-3613.75,-1268.75,790.4,65.36,-297.92
1133268.2719,-398.086,-0.061,947.147,3281.25,-3806.25,-1636.25,785.84,59.28,-290.32
1133268.3219,-402.539,-0.427,947.208,3097.5,-3255.0,-1417.5,787.36,59.28,-299.44
1133268.3719,-399.672,-0.793,944.036,2563.75,-3596.25,-1102.5,784.32,53.2,-304.0
1133268.4219,-399.245,-2.013,945.256,2432.5,-2992.5,-385.0,784.32,59.28,-297.92
1133268.4719,-401.38,5.185,953.369,2275.0,-3255.0,-227.5,782.8,48.64,-311.6
1133268.5219,-393.816,4.026,949.221,2520.0,-4182.5,192.5,782.8,60.8,-288.8
1133268.5719,-391.132,6.893,947.513,3412.5,-3193.75,-411.25,773.68,45.6,-300.96
1133268.6219,-394.548,11.773,945.927,2756.25,-3806.25,-743.75,778.24,56.24,-316.16
1133268.6719,-398.025,8.723,950.136,2983.75,-3946.25,-647.5,788.88,48.64,-299.44
1133268.7219,-397.964,8.235,949.404,3622.5,-3797.5,210.0,773.68,53.2,-284.24
1133268.7719,-405.04,14.213,945.927,3911.25,-3447.5,2327.5,778.24,47.12,-297.92
1133268.8219,-407.236,19.093,945.378,3543.75,-4690.0,4182.5,772.16,53.2,-281.2
1133268.8719,-393.145,23.363,949.648,3097.5,-6903.75,6658.75,766.08,54.72,-307.04
1133268.9219,-372.588,26.657,954.345,2205.0,-6956.25,5722.5,767.6,53.2,-316.16
1133268.9719,-381.616,17.263,952.942,4655.0,-5757.5,2905.0,781.28,42.56,-302.48
1133269.0219,-372.222,27.511,956.785,5626.25,-5888.75,2747.5,753.92,53.2,-302.48
1133269.0719,-371.49,33.062,959.347,5591.25,-4961.25,3237.5,769.12,38.0,-297.92
1133269.1219,-373.869,40.504,957.822,6378.75,-3710.0,2896.25,775.2,33.44,-310.08
1133269.1719,-371.673,48.556,951.478,7306.25,-4033.75,2126.25,782.8,22.8,-305.52
