TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1022.9444,-424.194,232.776,887.672,2327.5,-2283.75,-603.75,504.64,-126.16,-390.64
1022.9944,-427.976,236.07,888.221,2896.25,-1190.0,175.0,513.76,-130.72,-395.2
1023.0444,-439.81,249.734,884.561,2056.25,-1828.75,2747.5,509.2,-129.2,-392.16
1023.0944,-444.019,250.893,880.596,1496.25,-1890.0,5530.0,501.6,-135.28,-384.56
1023.1444,-481.839,278.587,877.973,-6606.25,-4838.75,24421.25,475.76,-127.68,-390.64
1023.1944,-436.089,273.463,888.16,-14201.25,-8627.5,50321.25,490.96,-115.52,-393.68
1023.2446,-392.779,272.792,894.809,-17430.0,-8050.0,58572.5,481.84,-120.08,-393.68
1023.2944,-361.425,270.047,907.863,-16248.75,-6081.25,51581.25,468.16,-106.4,-405.84
1023.3445,-343.857,255.285,914.146,-12232.5,-5547.5,35665.0,440.8,-100.32,-408.88
1023.3944,-325.069,245.891,920.49,-3307.5,-2030.0,5757.5,428.64,-115.52,-375.44
1023.4444,-327.997,239.669,920.307,4217.5,822.5,-14376.25,459.04,-107.92,-398.24
1023.4945,-344.467,234.545,912.621,14245.0,4655.0,-42236.25,459.04,-107.92,-404.32
1023.5444,-402.478,237.29,895.358,19381.25,7271.25,-59403.75,457.52,-107.92,-395.2
1023.5944,-436.516,235.216,886.818,20431.25,6405.0,-60812.5,487.92,-114.0,-389.12
1023.6444,-478.24,240.828,873.093,18445.0,3237.5,-50802.5,507.68,-121.6,-381.52
1023.6944,-493.551,241.804,868.091,15513.75,463.75,-38928.75,522.88,-132.24,-380.0
1023.7444,-487.39,244.976,869.372,12258.75,-4453.75,-21218.75,512.24,-132.24,-378.48
1023.7944,-469.517,253.028,867.054,9108.75,-5223.75,-13247.5,516.8,-135.28,-370.88
1023.8444,-461.831,251.137,873.947,6405.0,-4550.0,-6116.25,530.48,-124.64,-387.6
1023.8944,-461.77,252.967,873.215,5547.5,-4226.25,-2677.5,525.92,-136.8,-372.4
1023.9444,-459.879,257.603,871.995,4488.75,-4576.25,-1487.5,510.72,-132.24,-378.48
1023.9944,-451.095,257.725,872.849,2966.25,-4383.75,-280.0,525.92,-144.4,-373.92
1024.0444,-452.803,258.335,873.093,2808.75,-3806.25,-568.75,518.32,-136.8,-367.84
1024.0944,-453.047,261.995,872.361,2441.25,-3255.0,-1592.5,515.28,-144.4,-367.84
1024.1444,-458.293,261.263,867.359,2073.75,-3115.0,-1268.75,519.84,-133.76,-363.28
1024.1944,-459.94,260.47,869.189,752.5,-3062.5,-411.25,522.88,-145.92,-375.44
1024.2444,-462.136,252.601,868.213,1146.25,-3928.75,-682.5,528.96,-138.32,-387.6
1024.2944,-457.561,256.627,867.786,770.0,-3552.5,-297.5,524.4,-133.76,-373.92
1024.3444,-458.964,255.224,870.531,2126.25,-3692.5,805.0,519.84,-138.32,-376.96
1024.3944,-458.11,258.762,875.045,1330.0,-4322.5,857.5,507.68,-142.88,-372.4
1024.4444,-444.202,253.089,874.74,682.5,-4051.25,-621.25,516.8,-138.32,-370.88
1024.4944,-442.433,247.355,875.472,1933.75,-3255.0,-1382.5,516.8,-136.8,-376.96
1024.5444,-450.485,257.42,870.836,2458.75,-2940.0,-1688.75,525.92,-150.48,-380.0
1024.5944,-449.753,264.679,874.984,2205.0,-2887.5,-1233.75,521.36,-162.64,-355.68
1024.6444,-450.79,265.411,871.446,1610.0,-2633.75,-533.75,521.36,-148.96,-372.4
1024.6944,-449.021,263.52,870.104,1268.75,-2913.75,-936.25,501.6,-141.36,-383.04
1024.7444,-449.082,265.228,871.812,1181.25,-2773.75,-1391.25,521.36,-136.8,-366.32
1024.7944,-451.583,259.738,874.618,892.5,-2765.0,-1277.5,522.88,-147.44,-375.44
1024.8444,-451.095,257.664,873.581,822.5,-2878.75,-901.25,509.2,-141.36,-378.48
1024.8944,-454.084,257.542,873.459,752.5,-3115.0,-752.5,521.36,-148.96,-392.16
1024.9444,-450.424,254.37,874.252,840.0,-3036.25,-673.75,513.76,-138.32,-372.4
1024.9944,-449.204,254.309,873.215,1723.75,-2922.5,-831.25,487.92,-132.24,-366.32
1025.0444,-452.193,258.518,869.128,1855.0,-2957.5,-411.25,518.32,-144.4,-370.88
1025.0944,-452.803,262.361,870.836,2327.5,-2922.5,175.0,509.2,-145.92,-383.04
1025.1444,-453.108,265.716,874.374,2607.5,-3325.0,-157.5,501.6,-144.4,-375.44
1025.1944,-448.045,270.291,873.398,1032.5,-4847.5,-1347.5,504.64,-136.8,-355.68
1025.2444,-434.93,260.836,873.886,2520.0,-3972.5,-1233.75,528.96,-156.56,-378.48
1025.2944,-437.492,268.217,874.313,2213.75,-3176.25,-1645.0,510.72,-135.28,-378.48
1025.3444,-441.884,273.463,874.923,1828.75,-2345.0,-1382.5,506.16,-145.92,-380.0
1025.3944,-445.605,263.398,872.849,568.75,-2528.75,-665.0,516.8,-147.44,-360.24
1025.4444,-448.655,258.03,873.886,1478.75,-2458.75,61.25,518.32,-133.76,-363.28
1025.4946,-451.888,262.239,875.655,2003.75,-2651.25,-332.5,515.28,-144.4,-378.48
1025.5444,-446.764,259.372,872.727,2966.25,-3351.25,-1006.25,512.24,-147.44,-380.0
1025.5945,-449.509,270.718,866.993,3430.0,-2747.5,-796.25,501.6,-153.52,-375.44
1025.6444,-448.472,270.657,867.847,3333.75,-3298.75,-175.0,525.92,-173.28,-372.4
1025.6944,-447.801,277.062,870.47,2878.75,-4130.0,-673.75,510.72,-162.64,-384.56
1025.7444,-441.396,269.376,871.751,3351.25,-3902.5,-1452.5,484.88,-145.92,-355.68
1025.7944,-445.91,276.574,871.08,4060.0,-3622.5,-1242.5,506.16,-155.04,-375.44
1025.8444,-442.372,282.674,871.263,3001.25,-4383.75,-770.0,515.28,-144.4,-367.84
1025.8944,-442.677,280.112,871.08,3132.5,-4392.5,-1312.5,515.28,-155.04,-360.24
1025.9444,-442.25,282.125,870.043,4130.0,-4891.25,-1785.0,503.12,-144.4,-364.8
1025.9944,-440.176,289.079,869.311,4173.75,-5258.75,-1977.5,504.64,-156.56,-381.52
1026.0444,-434.076,286.334,873.093,3648.75,-5600.0,-2835.0,524.4,-150.48,-366.32
1026.0944,-433.039,292.678,867.725,2835.0,-5162.5,-3010.0,516.8,-167.2,-355.68
1026.1444,-431.636,284.382,873.154,2485.0,-4646.25,-2266.25,500.08,-159.6,-357.2
1026.1944,-432.551,286.761,870.592,3062.5,-4865.0,-1951.25,501.6,-156.56,-360.24
1026.2444,-429.318,292.8,873.886,2922.5,-4978.75,-2275.0,509.2,-159.6,-375.44
