TimeStamp,P3,P4,F3,F4,FP1,I1,I2,FP2
1389585.8355,4297.64,15430.4,36287.17,37403.59,25671.77,29357.68,15338.23,8151.2
1389585.8375,3611.09,15409.61,36278.2,37397.15,25672.68,29311.14,15256.22,8141.57
1389585.8395,2441.07,15238.1,36288.17,37416.37,25703.53,29232.31,14957.72,8168.84
1389585.8415,1655.15,15024.71,36323.55,37452.85,25751.26,29197.27,14653.16,8224.39
1389585.8435,1791.05,14942.22,36357.45,37481.84,25779.39,29216.72,14557.03,8263.45
1389585.8455,2556.56,14999.2,36371.9,37493.19,25780.97,29277.61,14690.54,8271.55
1389585.8475,3421.64,15131.09,36358.17,37473.25,25755.31,29320.67,14908.46,8246.8
1389585.8495,4170.8,15291.98,36326.13,37428.34,25704.82,29352.48,15150.69,8191.06
1389585.8515,4371.6,15410.47,36299.14,37390.0,25665.14,29358.34,15309.14,8147.96
1389585.8535,3933.81,15435.55,36291.75,37385.75,25657.9,29330.4,15302.85,8142.04
1389585.8555,2847.62,15316.25,36298.66,37414.75,25682.4,29256.63,15072.73,8171.37
1389585.8575,1837.16,15091.47,36320.88,37457.61,25724.18,29194.02,14754.82,8206.27
1389585.8595,1640.65,14948.23,36353.5,37495.57,25762.56,29190.4,14571.62,8225.97
1389585.8615,2267.65,14967.11,36378.1,37510.35,25781.06,29245.05,14620.35,8245.23
1389585.8635,3128.48,15090.85,36379.29,37503.2,25770.48,29312.9,14831.69,8247.76
1389585.8655,3975.49,15252.97,36358.65,37467.25,25736.19,29370.07,15089.51,8224.3
1389585.8675,4398.01,15401.22,36328.75,37423.38,25702.0,29387.81,15284.97,8192.49
1389585.8695,4172.75,15452.05,36309.68,37399.73,25688.75,29373.6,15337.66,8173.32
1389585.8715,3281.98,15376.9,36300.43,37408.79,25689.27,29299.26,15181.35,8167.74
1389585.8735,2106.81,15152.17,36309.25,37433.68,25715.97,29205.8,14858.3,8197.07
1389585.8755,1609.95,14971.88,36338.57,37476.5,25756.31,29181.05,14625.03,8237.65
1389585.8775,2005.24,14938.26,36366.56,37496.0,25774.29,29225.16,14601.52,8255.72
1389585.8795,2842.0,15025.76,36367.8,37480.55,25764.85,29287.29,14755.63,8245.99
1389585.8815,3685.33,15164.62,36341.81,37441.21,25730.99,29335.74,14976.79,8212.47
1389585.8835,4322.34,15341.71,36319.21,37411.17,25698.24,29373.03,15222.74,8179.47
1389585.8855,4303.69,15436.79,36301.62,37402.21,25683.17,29363.3,15344.96,8163.02
1389585.8875,3640.46,15410.71,36279.59,37402.78,25669.39,29305.27,15254.36,8141.8
1389585.8895,2431.35,15222.84,36280.54,37414.32,25688.08,29216.58,14956.43,8159.45
1389585.8915,1660.59,15016.94,36312.97,37469.25,25732.81,29172.38,14665.75,8205.56
1389585.8935,1763.3,14935.45,36356.17,37522.84,25770.48,29199.79,14566.57,8237.55
1389585.8955,2558.9,14996.15,36373.1,37522.84,25774.96,29262.83,14692.98,8242.27
1389585.8975,3393.84,15127.28,36360.51,37472.54,25751.26,29315.43,14919.66,8239.89
1389585.8995,4193.69,15305.38,36335.9,37430.05,25711.87,29362.87,15175.63,8213.0
1389585.9015,4366.21,15414.0,36299.42,37393.24,25674.44,29367.5,15319.4,8170.56
1389585.9035,3952.93,15429.55,36280.59,37383.23,25659.18,29332.98,15288.55,8146.33
1389585.9055,2843.57,15306.43,36287.26,37396.82,25679.88,29262.02,15067.01,8157.11
1389585.9075,1855.76,15091.8,36313.59,37422.85,25721.98,29200.27,14765.07,8207.04
1389585.9095,1629.02,14960.58,36349.01,37463.72,25761.56,29191.31,14588.64,8251.1
1389585.9115,2272.32,14978.32,36369.09,37484.94,25766.23,29248.05,14643.91,8248.76
1389585.9135,3105.93,15086.46,36356.69,37472.3,25746.06,29312.18,14839.13,8216.91
1389585.9155,3965.76,15250.83,36336.47,37445.98,25722.55,29368.17,15093.47,8195.4
1389585.9175,4371.41,15399.08,36305.81,37411.55,25690.8,29386.48,15307.91,8178.85
1389585.9195,4172.28,15452.91,36287.17,37396.86,25673.54,29370.36,15373.61,8168.51
1389585.9215,3283.12,15400.32,36292.51,37417.03,25691.27,29318.96,15233.66,8179.57
1389585.9235,2134.7,15190.65,36318.12,37453.8,25736.14,29245.43,14890.0,8216.72
1389585.9255,1601.08,14993.76,36341.62,37484.7,25767.81,29199.41,14613.87,8251.62
1389585.9275,1983.21,14937.55,36356.07,37499.05,25773.0,29212.76,14566.8,8259.96
1389585.9295,2802.99,15021.71,36352.78,37483.22,25749.35,29266.69,14730.26,8235.93
1389585.9315,3663.73,15169.43,36341.43,37457.23,25721.36,29331.12,14984.66,8198.07
1389585.9335,4301.02,15343.0,36312.16,37420.94,25683.55,29366.74,15227.94,8151.63
1389585.9355,4288.58,15420.06,36282.5,37392.0,25656.8,29361.06,15319.54,8129.55
1389585.9375,3637.84,15408.8,36269.19,37392.53,25652.22,29305.41,15231.28,8136.18
1389585.9395,2435.11,15227.89,36277.35,37407.97,25684.79,29221.78,14949.61,8174.85
1389585.9415,1667.79,15029.48,36311.25,37441.16,25734.33,29188.11,14675.48,8225.73
1389585.9435,1746.08,14932.78,36344.34,37478.02,25766.19,29195.69,14561.03,8255.67
1389585.9455,2547.22,15000.87,36359.31,37482.27,25767.23,29262.21,14687.97,8253.91
1389585.9475,3373.15,15122.75,36344.91,37447.84,25741.77,29317.14,14899.88,8226.54
1389585.9495,4177.33,15300.23,36320.12,37416.75,25702.15,29364.64,15156.03,8184.48
1389585.9515,4354.62,15406.85,36293.46,37387.14,25670.58,29374.79,15309.24,8150.29
1389585.9535,3974.63,15432.98,36279.83,37377.79,25662.95,29349.0,15313.67,8140.04
1389585.9555,2854.3,15304.14,36281.83,37386.56,25683.79,29280.05,15093.33,8168.03
1389585.9575,1881.79,15099.48,36311.34,37431.39,25729.09,29217.77,14781.67,8204.6
1389585.9595,1621.01,14954.43,36349.97,37479.26,25772.67,29207.9,14588.5,8236.08
1389585.9615,2281.38,14975.36,36364.94,37488.85,25777.58,29255.06,14639.81,8225.16
1389585.9635,3084.14,15076.26,36356.36,37464.24,25755.6,29315.24,14832.69,8199.5
1389585.9655,3962.66,15240.1,36333.85,37436.63,25714.97,29362.63,15074.68,8160.21
1389585.9675,4358.72,15380.0,36298.47,37405.02,25674.73,29382.33,15276.72,8139.09
1389585.9695,4202.46,15448.86,36286.02,37401.87,25660.28,29360.97,15345.0,8142.9
1389585.9715,3272.01,15368.61,36271.62,37401.16,25659.61,29286.05,15181.11,8150.29
1389585.9735,2140.81,15161.66,36285.45,37419.99,25695.99,29211.48,14867.69,8192.21
1389585.9755,1582.48,14971.07,36319.83,37458.85,25739.96,29184.3,14606.19,8239.27
1389585.9775,2005.01,14943.74,36354.69,37487.23,25762.23,29224.83,14587.83,8259.06
1389585.9795,2803.47,15028.1,36359.55,37479.98,25755.22,29283.67,14757.4,8253.29
1389585.9815,3690.86,15174.53,36340.29,37453.8,25723.51,29337.98,14990.95,8219.05
1389585.9835,4293.78,15337.33,36311.06,37407.02,25686.41,29359.2,15225.27,8179.52
1389585.9855,4314.14,15429.16,36290.51,37376.6,25668.77,29353.81,15347.29,8159.54
1389585.9875,3647.38,15410.09,36275.92,37375.6,25666.38,29311.28,15262.18,8152.53
1389585.9895,2485.47,15239.62,36284.26,37408.64,25691.13,29237.89,14962.91,8173.47
1389585.9915,1669.41,15033.15,36320.4,37464.81,25739.82,29199.84,14677.91,8220.63
1389585.9935,1775.88,14940.26,36361.03,37502.82,25778.06,29215.67,14569.81,8251.62
1389585.9955,2528.48,14996.44,36370.71,37492.04,25779.3,29261.02,14685.06,8238.51
1389585.9975,3395.61,15131.9,36367.09,37473.35,25759.56,29325.11,14911.84,8215.91
1389585.9995,4169.04,15309.19,36345.2,37443.31,25720.74,29364.4,15165.62,8182.29
1389586.0015,4377.17,15421.92,36309.39,37406.5,25680.5,29370.93,15322.88,8151.2
1389586.0035,3979.35,15448.76,36290.13,37393.77,25664.52,29346.52,15321.92,8143.47
1389586.0055,2887.2,15319.54,36290.08,37409.79,25678.54,29269.17,15085.75,8164.65
1389586.0075,1863.05,15097.24,36306.43,37435.15,25716.93,29205.33,14757.59,8197.69
1389586.0095,1628.26,14955.28,36344.72,37476.35,25764.09,29203.13,14566.38,8238.75
1389586.0115,2255.73,14976.12,36367.33,37488.89,25775.34,29251.82,14616.87,8242.56
1389586.0135,3085.42,15079.07,36365.89,37468.87,25756.41,29309.42,14815.0,8219.2
1389586.0155,3954.7,15258.03,36354.59,37440.21,25728.75,29374.79,15093.76,8201.93
1389586.0175,4390.43,15412.71,36332.66,37419.23,25700.95,29407.84,15318.92,8185.1
1389586.0195,4213.24,15473.56,36302.9,37400.49,25677.87,29385.43,15380.77,8154.54
