TimeStamp,P3,P4,F3,F4,FP1,I1,I2,FP2
1389763.2194,2714.01,13734.06,35197.55,35276.08,25252.63,28841.07,13356.78,8514.21
1389763.2214,5672.36,14490.75,35154.3,35260.25,25126.22,28989.37,14091.92,8392.76
1389763.2234,7810.5,15315.68,35062.36,35188.54,24974.06,29080.49,14840.27,8245.37
1389763.2254,7815.41,15728.14,34951.17,35077.77,24858.86,29039.24,15183.55,8131.17
1389763.2274,5596.5,15571.41,34880.07,34985.31,24842.46,28886.27,14964.49,8115.63
1389763.2294,1642.89,14714.29,34885.55,34948.5,24957.23,28673.37,14112.95,8223.01
1389763.2314,-1034.16,13735.01,34984.74,35018.73,25135.19,28565.7,13211.78,8388.0
1389763.2334,-863.89,13265.52,35128.36,35173.61,25275.85,28632.88,12826.78,8527.57
1389763.2354,1766.16,13556.72,35216.38,35295.01,25291.26,28807.07,13168.81,8544.83
1389763.2374,4675.48,14239.6,35213.19,35319.62,25207.43,28960.61,13839.01,8462.33
1389763.2394,7363.46,15105.92,35140.76,35268.84,25058.22,29072.72,14640.24,8321.48
1389763.2414,8051.3,15679.89,35024.89,35154.06,24923.09,29065.04,15151.17,8192.92
1389763.2434,6674.82,15736.72,34926.47,35039.48,24862.63,28952.55,15138.53,8136.23
1389763.2454,2981.85,15072.87,34890.51,34961.04,24931.24,28732.83,14445.69,8201.84
1389763.2474,-379.18,14046.77,34953.65,34997.99,25091.79,28564.98,13471.13,8353.9
1389763.2494,-1304.39,13336.85,35081.06,35120.16,25246.1,28561.4,12855.1,8501.58
1389763.2514,764.61,13379.15,35180.91,35253.91,25289.49,28711.51,12966.44,8544.35
1389763.2534,3638.98,13951.45,35192.54,35302.6,25226.45,28885.13,13562.49,8485.22
1389763.2554,6609.58,14799.31,35145.91,35287.53,25098.47,29039.58,14372.83,8362.72
1389763.2574,8017.68,15516.95,35034.85,35183.48,24943.26,29080.68,15021.14,8216.29
1389763.2594,7395.89,15773.16,34933.14,35064.7,24852.71,29003.1,15204.72,8127.59
1389763.2614,4362.25,15359.45,34873.68,34966.57,24871.64,28809.69,14738.94,8137.94
1389763.2634,536.97,14376.21,34899.0,34956.27,25008.4,28597.31,13778.45,8258.96
1389763.2654,-1351.83,13502.84,35020.07,35063.84,25184.87,28542.43,12997.77,8428.96
1389763.2674,-139.05,13293.55,35152.87,35214.71,25281.96,28661.68,12874.75,8533.76
1389763.2694,2678.44,13751.56,35219.15,35304.26,25262.36,28860.38,13375.28,8526.95
1389763.2714,5681.32,14513.78,35186.63,35305.31,25144.63,29012.97,14111.28,8416.84
1389763.2734,7798.1,15325.6,35078.53,35220.82,24976.4,29082.21,14852.29,8254.91
1389763.2754,7839.73,15745.26,34958.13,35096.36,24855.09,29046.92,15204.34,8135.32
1389763.2774,5621.05,15581.42,34876.06,34988.6,24836.45,28885.18,14967.68,8114.24
1389763.2794,1729.2,14745.19,34887.27,34963.56,24958.47,28665.16,14123.39,8228.97
1389763.2814,-1010.37,13768.25,34991.51,35044.77,25143.82,28558.5,13229.23,8408.88
1389763.2834,-859.21,13288.07,35124.45,35187.11,25277.24,28624.68,12840.84,8534.0
1389763.2854,1717.71,13563.49,35211.76,35294.3,25290.73,28817.7,13172.53,8545.21
1389763.2874,4665.52,14239.84,35206.37,35315.95,25201.61,28989.75,13852.31,8466.2
1389763.2894,7330.61,15088.7,35122.68,35260.4,25044.11,29101.52,14641.67,8321.38
1389763.2914,8057.55,15668.78,35010.82,35151.44,24912.17,29068.62,15143.68,8197.93
1389763.2934,6682.16,15731.96,34913.97,35039.86,24851.47,28930.05,15134.77,8137.08
1389763.2954,3057.19,15084.65,34879.12,34961.47,24916.46,28710.65,14461.95,8197.17
1389763.2974,-343.42,14064.5,34951.07,34990.79,25082.64,28550.82,13498.5,8354.24
1389763.2994,-1296.71,13346.1,35081.01,35112.1,25241.14,28551.96,12864.5,8503.96
1389763.3014,740.24,13396.26,35200.46,35261.59,25304.32,28715.9,12985.61,8562.85
1389763.3034,3640.32,13966.04,35217.67,35316.57,25246.19,28894.09,13581.66,8504.2
1389763.3054,6597.38,14804.7,35163.55,35293.54,25107.82,29044.06,14382.27,8372.45
1389763.3074,8041.43,15526.92,35058.12,35198.6,24957.33,29090.03,15021.42,8229.69
1389763.3094,7434.89,15792.42,34951.6,35080.29,24867.73,29014.97,15210.44,8141.8
1389763.3114,4435.4,15377.33,34883.69,34970.67,24880.32,28814.99,14746.05,8151.72
1389763.3134,600.72,14402.87,34918.36,34961.18,25023.03,28613.0,13801.62,8284.0
1389763.3154,-1331.57,13518.62,35038.86,35072.33,25203.33,28552.44,13011.6,8453.99
1389763.3174,-170.99,13291.65,35160.21,35216.1,25287.2,28654.77,12863.07,8536.63
1389763.3194,2635.43,13728.05,35209.71,35295.16,25252.73,28834.82,13343.38,8505.82
1389763.3214,5653.57,14501.53,35181.57,35303.07,25138.05,29001.05,14098.93,8388.85
1389763.3234,7802.82,15320.11,35087.16,35227.21,24984.65,29092.84,14854.34,8238.7
1389763.3254,7885.79,15758.9,34976.96,35106.23,24874.83,29064.09,15214.97,8135.94
1389763.3274,5682.04,15593.44,34887.32,34984.93,24844.94,28899.24,14984.8,8115.53
1389763.3294,1778.79,14753.53,34884.41,34937.58,24948.74,28681.66,14141.42,8218.81
1389763.3314,-993.35,13762.71,34982.02,35014.16,25128.37,28574.9,13228.8,8385.52
1389763.3334,-883.87,13272.1,35106.14,35153.11,25254.4,28616.0,12824.01,8501.53
1389763.3354,1653.91,13522.2,35177.62,35253.96,25256.06,28777.89,13133.58,8503.44
1389763.3374,4615.26,14203.93,35175.66,35278.52,25168.56,28944.88,13816.12,8412.6
1389763.3394,7289.94,15055.13,35103.75,35228.64,25021.13,29058.32,14615.01,8272.27
1389763.3414,8068.61,15656.57,34997.52,35124.26,24893.24,29065.14,15137.15,8150.72
1389763.3434,6713.92,15735.2,34920.89,35028.27,24852.52,28961.95,15137.2,8115.01
1389763.3454,3139.4,15108.54,34895.85,34966.19,24931.2,28758.48,14484.31,8191.21
1389763.3474,-309.9,14080.86,34965.81,35003.76,25097.56,28591.78,13519.34,8354.71
1389763.3494,-1277.54,13361.07,35095.17,35129.46,25254.78,28583.34,12895.01,8509.06
1389763.3514,695.99,13379.48,35198.93,35253.48,25301.36,28731.11,12985.42,8559.56
1389763.3534,3612.8,13950.73,35216.1,35303.5,25238.33,28905.35,13584.14,8502.63
1389763.3554,6535.53,14775.56,35158.21,35279.09,25101.81,29050.45,14373.26,8370.16
