TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1389763.2566,-229.055,103.7,991.738,525.0,-2721.25,-1190.0,750.88,98.8,-366.32
1389763.3066,-227.591,101.382,995.459,376.25,-2817.5,-428.75,755.44,101.84,-363.28
1389763.3566,-222.589,96.38,994.971,201.25,-2458.75,-201.25,717.44,110.96,-363.28
1389763.4066,-224.114,95.953,994.178,227.5,-2467.5,-490.0,750.88,126.16,-383.04
1389763.4566,-224.114,94.001,997.533,595.0,-2310.0,-638.75,741.76,106.4,-378.48
1389763.5066,-225.944,95.343,994.605,612.5,-2038.75,-612.5,725.04,107.92,-366.32
1389763.5566,-228.994,92.537,995.215,813.75,-2187.5,-621.25,749.36,107.92,-370.88
1389763.6066,-230.641,94.123,994.849,971.25,-2415.0,-630.0,732.64,101.84,-380.0
1389763.6566,-229.726,95.404,993.995,1163.75,-2686.25,-892.5,756.96,103.36,-363.28
1389763.7066,-231.617,94.123,990.396,1111.25,-3141.25,-962.5,735.68,100.32,-360.24
1389763.7566,-228.811,95.038,996.496,787.5,-3088.75,-848.75,746.32,101.84,-375.44
1389763.8066,-224.419,100.284,993.934,1330.0,-3176.25,-1190.0,753.92,100.32,-366.32
1389763.8566,-227.225,94.184,992.287,1303.75,-2975.0,-1050.0,718.96,103.36,-372.4
1389763.9066,-227.957,96.38,994.361,1636.25,-3272.5,-1137.5,735.68,103.36,-380.0
1389763.9566,-226.005,101.565,992.836,1286.25,-3517.5,-1662.5,753.92,114.0,-363.28
1389764.0066,-224.053,97.417,996.679,1076.25,-3333.75,-1190.0,743.28,115.52,-357.2
1389764.0566,-220.393,96.014,995.764,455.0,-3141.25,-673.75,738.72,98.8,-387.6
1389764.1066,-225.09,99.796,992.592,1128.75,-2362.5,-1085.0,747.84,97.28,-358.72
1389764.1566,-225.822,95.099,992.714,1093.75,-2668.75,-1015.0,740.24,106.4,-376.96
1389764.2066,-228.872,96.685,993.69,1268.75,-2747.5,-962.5,760.0,117.04,-373.92
1389764.2566,-228.933,96.136,993.751,1181.25,-3272.5,-1356.25,755.44,100.32,-364.8
1389764.3066,-224.907,98.393,995.581,621.25,-3333.75,-1225.0,746.32,112.48,-378.48
1389764.3566,-225.517,95.16,995.215,936.25,-3001.25,-770.0,750.88,112.48,-375.44
1389764.4066,-221.918,96.807,993.324,866.25,-2878.75,-971.25,738.72,98.8,-358.72
1389764.4566,-225.578,94.367,995.52,1102.5,-2791.25,-1478.75,740.24,123.12,-361.76
1389764.5066,-225.212,93.635,994.239,1190.0,-3062.5,-1277.5,726.56,110.96,-361.76
1389764.5566,-225.578,95.709,994.91,1216.25,-2703.75,-1251.25,737.2,92.72,-367.84
1389764.6066,-221.796,97.661,996.74,1216.25,-2913.75,-1155.0,753.92,106.4,-378.48
1389764.6566,-222.467,98.332,995.276,1181.25,-2756.25,-1050.0,740.24,117.04,-378.48
1389764.7066,-222.284,96.258,994.3,1207.5,-2397.5,-1085.0,737.2,101.84,-378.48
1389764.7566,-226.615,96.807,996.374,1242.5,-2563.75,-1128.75,755.44,100.32,-376.96
1389764.8066,-224.541,95.892,994.483,953.75,-3045.0,-953.75,740.24,100.32,-367.84
1389764.8566,-222.04,93.757,993.324,997.5,-2642.5,-988.75,729.6,110.96,-380.0
1389764.9066,-226.798,101.992,995.276,1487.5,-2695.0,-1400.0,744.8,100.32,-358.72
1389764.9566,-224.358,94.733,993.507,1382.5,-2546.25,-1242.5,729.6,110.96,-366.32
1389765.0066,-229.543,97.112,993.141,1575.0,-2948.75,-831.25,738.72,101.84,-390.64
1389765.0566,-224.724,98.881,994.239,1435.0,-3395.0,-1583.75,749.36,106.4,-366.32
1389765.1066,-222.833,98.454,998.021,1513.75,-3508.75,-1443.75,717.44,112.48,-358.72
1389765.1566,-222.345,97.234,994.605,980.0,-2423.75,-866.25,731.12,107.92,-378.48
1389765.2066,-224.053,103.151,993.507,1496.25,-2686.25,-1067.5,753.92,112.48,-364.8
1389765.2566,-222.406,97.722,993.324,831.25,-2625.0,-1321.25,740.24,114.0,-363.28
1389765.3066,-226.737,98.881,993.568,866.25,-3097.5,-822.5,747.84,109.44,-384.56
1389765.3566,-219.6,98.454,996.618,1093.75,-3185.0,-1198.75,761.52,109.44,-370.88
1389765.4066,-225.822,97.722,994.056,490.0,-2887.5,-953.75,728.08,104.88,-360.24
1389765.4566,-221.857,95.282,993.263,682.5,-3036.25,-533.75,758.48,94.24,-369.36
1389765.5066,-219.051,99.125,994.605,708.75,-2695.0,-980.0,734.16,107.92,-381.52
1389765.5566,-220.759,96.38,996.618,735.0,-2528.75,-1268.75,743.28,117.04,-376.96
1389765.6066,-223.931,97.173,993.812,857.5,-2380.0,-586.25,763.04,106.4,-375.44
1389765.6566,-223.016,98.576,994.605,516.25,-2651.25,-945.0,735.68,112.48,-361.76
1389765.7066,-227.042,96.685,993.934,516.25,-2738.75,-927.5,760.0,110.96,-370.88
1389765.7566,-222.162,95.404,994.849,691.25,-2940.0,-603.75,763.04,104.88,-369.36
1389765.8066,-223.687,96.99,995.642,665.0,-3010.0,-831.25,746.32,112.48,-370.88
1389765.8566,-220.942,92.964,997.289,595.0,-2852.5,-656.25,737.2,114.0,-363.28
1389765.9066,-220.698,93.391,995.154,1041.25,-2817.5,-621.25,760.0,106.4,-369.36
1389765.9566,-223.687,97.173,997.106,953.75,-2318.75,-1128.75,735.68,107.92,-378.48
1389766.0066,-224.724,94.611,993.934,796.25,-2983.75,-813.75,752.4,107.92,-370.88
1389766.0566,-222.467,92.537,994.544,1321.25,-3211.25,-560.0,755.44,106.4,-378.48
1389766.1066,-222.955,90.524,998.509,1181.25,-2843.75,-1067.5,738.72,91.2,-366.32
1389766.1566,-220.393,99.247,996.923,1172.5,-2686.25,-1391.25,746.32,101.84,-355.68
1389766.2066,-224.663,92.964,989.359,1505.0,-2520.0,-778.75,732.64,118.56,-370.88
1389766.2566,-226.92,99.43,993.141,1303.75,-2765.0,-840.0,734.16,106.4,-358.72
1389766.3066,-223.199,97.173,995.337,682.5,-3150.0,-1426.25,747.84,110.96,-361.76
1389766.3566,-224.419,95.16,997.716,805.0,-3018.75,-647.5,741.76,101.84,-372.4
