TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1389885.0566,-206.241,102.358,997.655,1093.75,-2100.0,-901.25,725.04,110.96,-380.0
1389885.1066,-206.851,101.016,997.167,708.75,-2266.25,-288.75,731.12,106.4,-355.68
1389885.1566,-206.302,99.125,1000.4,936.25,-2135.0,385.0,718.96,112.48,-378.48
1389885.2066,-205.753,100.467,997.838,1233.75,-1583.75,1391.25,746.32,120.08,-378.48
1389885.2566,-215.147,102.297,998.57,1207.5,-1653.75,2800.0,758.48,115.52,-380.0
1389885.3066,-215.94,103.151,998.509,927.5,-2126.25,3692.5,735.68,104.88,-375.44
1389885.3566,-207.644,100.284,995.154,507.5,-1758.75,7166.25,750.88,124.64,-363.28
1389885.4066,-205.326,101.443,1000.583,1443.75,-805.0,9205.0,728.08,104.88,-375.44
1389885.4566,-213.012,101.992,996.069,787.5,-953.75,9065.0,728.08,100.32,-354.16
1389885.5066,-209.779,108.031,993.019,2318.75,-1251.25,8155.0,744.8,97.28,-360.24
1389885.5566,-216.977,121.085,991.616,1942.5,-813.75,3972.5,741.76,100.32,-373.92
1389885.6066,-218.685,114.558,994.422,726.25,-2765.0,-2100.0,738.72,94.24,-389.12
1389885.6566,-214.964,113.155,996.984,525.0,-3211.25,-3990.0,738.72,94.24,-369.36
1389885.7066,-217.892,106.994,996.008,1452.5,-3342.5,-2222.5,731.12,100.32,-366.32
1389885.7566,-215.635,109.495,995.093,1365.0,-3561.25,-2572.5,747.84,82.08,-375.44
1389885.8066,-215.757,117.059,993.507,1951.25,-5258.75,-9213.75,728.08,110.96,-343.52
1389885.8566,-213.439,112.118,991.128,1706.25,-6510.0,-15400.0,737.2,106.4,-373.92
1389885.9066,-209.474,108.763,995.825,1557.5,-7420.0,-20273.75,738.72,103.36,-376.96
1389885.9566,-203.313,91.073,998.997,1793.75,-6921.25,-18987.5,729.6,103.36,-384.56
1389886.0066,-202.276,90.89,1000.034,2362.5,-5538.75,-13903.75,726.56,120.08,-381.52
1389886.0566,-202.337,95.282,999.485,3176.25,-4068.75,-4803.75,732.64,110.96,-369.36
1389886.1066,-201.971,106.75,998.326,3062.5,-3167.5,-630.0,729.6,127.68,-381.52
1389886.1566,-203.008,115.107,995.703,2038.75,-2345.0,271.25,729.6,124.64,-372.4
1389886.2066,-200.69,117.486,997.228,1111.25,-2266.25,-1321.25,735.68,115.52,-378.48
1389886.2566,-209.474,107.97,995.947,358.75,-2738.75,-1330.0,723.52,120.08,-378.48
1389886.3066,-206.119,103.334,996.13,201.25,-2660.0,-323.75,722.0,117.04,-376.96
1389886.3566,-206.424,99.186,997.045,463.75,-2922.5,-997.5,731.12,107.92,-375.44
1389886.4066,-208.742,101.443,999.058,962.5,-2852.5,-1443.75,718.96,107.92,-370.88
1389886.4566,-207.827,101.321,997.289,743.75,-3701.25,-1452.5,735.68,117.04,-373.92
1389886.5066,-196.786,98.21,1000.217,1146.25,-3071.25,-1015.0,722.0,123.12,-383.04
1389886.5566,-203.801,99.369,999.424,1855.0,-2336.25,-1015.0,737.2,123.12,-381.52
1389886.6066,-206.18,106.933,998.082,673.75,-2450.0,-953.75,728.08,121.6,-370.88
1389886.6566,-205.875,99.552,996.435,1277.5,-2450.0,-735.0,718.96,121.6,-372.4
1389886.7066,-205.021,107.543,995.581,1190.0,-2388.75,-848.75,741.76,110.96,-369.36
1389886.7566,-208.437,102.419,1001.681,647.5,-3482.5,26.25,725.04,132.24,-366.32
1389886.8066,-200.69,106.75,999.668,857.5,-3211.25,-656.25,720.48,115.52,-378.48
1389886.8566,-202.032,101.687,998.204,726.25,-2283.75,-297.5,734.16,117.04,-375.44
1389886.9066,-200.873,102.785,997.35,411.25,-2152.5,393.75,738.72,109.44,-375.44
