TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1389938.8066,-164.883,102.724,1009.855,630.0,-1697.5,-752.5,714.4,121.6,-390.64
1389938.8566,-164.151,104.737,1003.816,253.75,-2152.5,-612.5,690.08,129.2,-383.04
1389938.9066,-163.053,96.746,1006.622,507.5,-2773.75,-148.75,714.4,121.6,-395.2
1389938.9566,-159.088,106.994,1006.5,1023.75,-2021.25,-638.75,697.68,126.16,-396.72
1389939.0066,-162.565,98.027,1007.72,586.25,-1426.25,-796.25,697.68,123.12,-402.8
1389939.0566,-169.214,95.526,1001.742,1295.0,-2222.5,-525.0,720.48,127.68,-390.64
1389939.1066,-169.397,101.321,1004.304,1190.0,-2677.5,-822.5,700.72,121.6,-386.08
1389939.1566,-161.345,99.43,1008.391,1076.25,-2415.0,-1006.25,726.56,130.72,-373.92
1389939.2066,-167.628,103.822,1009.306,813.75,-2117.5,-892.5,711.36,133.76,-389.12
1389939.2566,-164.7,99.674,1005.28,1006.25,-2345.0,-691.25,720.48,123.12,-399.76
1389939.3066,-170.556,97.539,1003.938,1067.5,-2485.0,-1041.25,711.36,127.68,-396.72
1389939.3566,-171.227,101.016,1004.609,1470.0,-3132.5,-1400.0,720.48,127.68,-390.64
1389939.4066,-163.907,104.493,1004.121,1172.5,-3062.5,-1198.75,712.88,129.2,-389.12
1389939.4566,-166.286,101.809,1007.476,1076.25,-3421.25,-1268.75,715.92,120.08,-398.24
1389939.5066,-160.613,100.345,1006.134,743.75,-3298.75,-717.5,723.52,123.12,-390.64
1389939.5566,-159.576,101.748,1005.097,525.0,-2738.75,-533.75,703.76,126.16,-402.8
1389939.6066,-163.114,98.82,1006.073,1093.75,-2546.25,-1093.75,712.88,112.48,-389.12
1389939.6566,-162.992,100.528,1006.012,997.5,-2240.0,-630.0,720.48,118.56,-408.88
1389939.7066,-166.53,99.369,1005.463,700.0,-2450.0,-743.75,711.36,126.16,-386.08
1389939.7566,-166.774,101.138,1006.622,1015.0,-2843.75,-1146.25,702.24,129.2,-386.08
1389939.8066,-163.053,97.6,1006.378,717.5,-2791.25,-910.0,696.16,130.72,-389.12
1389939.8566,-162.809,99.796,1005.951,700.0,-2423.75,-1023.75,711.36,114.0,-375.44
1389939.9066,-167.201,97.661,1005.28,752.5,-2327.5,-1067.5,688.56,133.76,-386.08
1389939.9566,-164.09,95.77,1003.572,595.0,-2773.75,-848.75,702.24,126.16,-381.52
1389940.0066,-159.82,97.966,1005.036,918.75,-2222.5,-848.75,703.76,126.16,-376.96
1389940.0566,-168.238,94.733,1010.526,1487.5,-1977.5,-586.25,705.28,130.72,-392.16
1389940.1066,-171.593,96.929,1006.439,778.75,-2563.75,-726.25,708.32,132.24,-393.68
1389940.1566,-168.36,94.794,1000.522,1487.5,-3053.75,-945.0,718.96,130.72,-375.44
1389940.2066,-167.506,103.883,1007.232,1443.75,-2152.5,-1198.75,720.48,133.76,-390.64
1389940.2566,-171.593,98.088,1008.391,796.25,-2563.75,-1400.0,718.96,123.12,-390.64
1389940.3066,-168.36,98.576,1005.707,918.75,-2528.75,-516.25,720.48,124.64,-378.48
1389940.3566,-167.811,101.138,1006.134,1382.5,-2957.5,-1067.5,728.08,126.16,-399.76
1389940.4066,-167.018,97.539,1006.195,1015.0,-2957.5,-1575.0,717.44,127.68,-395.2
1389940.4566,-168.848,99.43,1004.853,1155.0,-2415.0,-586.25,715.92,118.56,-387.6
1389940.5066,-175.619,98.637,1003.816,752.5,-2931.25,-980.0,723.52,126.16,-398.24
1389940.5566,-167.567,98.637,1002.779,411.25,-3255.0,-1233.75,717.44,126.16,-375.44
1389940.6066,-164.639,96.746,1009.733,603.75,-3176.25,-551.25,696.16,126.16,-390.64
1389940.6566,-162.26,97.661,1005.524,918.75,-2975.0,-1137.5,708.32,127.68,-392.16
1389940.7066,-165.371,97.478,1004.243,831.25,-1933.75,-1356.25,702.24,114.0,-398.24
1389940.7566,-171.959,96.502,1005.402,1050.0,-2161.25,-691.25,706.8,120.08,-387.6
1389940.8066,-171.959,96.319,1006.012,1330.0,-3246.25,-1076.25,700.72,112.48,-378.48
1389940.8566,-166.896,96.807,1004.06,980.0,-3071.25,-1190.0,705.28,121.6,-399.76
1389940.9066,-164.639,98.088,1007.537,1015.0,-2738.75,-927.5,705.28,133.76,-389.12
1389940.9566,-163.419,98.759,1008.208,1120.0,-2502.5,-1041.25,718.96,126.16,-386.08
1389941.0066,-168.177,97.417,1006.195,1058.75,-1881.25,-1093.75,696.16,133.76,-389.12
1389941.0566,-170.8,100.711,1005.036,980.0,-2791.25,-1155.0,720.48,133.76,-402.8
1389941.1066,-167.567,95.465,1005.585,822.5,-2905.0,-1041.25,703.76,139.84,-389.12
1389941.1566,-169.275,93.208,1007.11,866.25,-2336.25,-533.75,700.72,135.28,-380.0
1389941.2066,-168.055,103.578,1006.866,1793.75,-2712.5,-1470.0,720.48,129.2,-383.04
1389941.2566,-168.848,90.585,1002.413,857.5,-1653.75,-1006.25,711.36,126.16,-398.24
1389941.3066,-173.911,95.953,1003.45,1575.0,-2327.5,-385.0,703.76,132.24,-387.6
1389941.3566,-168.665,102.297,1004.975,752.5,-2686.25,-1750.0,715.92,129.2,-396.72
1389941.4066,-170.678,78.08,1006.805,1592.5,-2616.25,-831.25,715.92,135.28,-378.48
1389941.4566,-167.506,97.356,1006.134,1225.0,-2485.0,-507.5,714.4,120.08,-384.56
1389941.5066,-168.97,103.578,1003.816,1198.75,-1732.5,-1566.25,718.96,126.16,-384.56
1389941.5566,-177.998,97.661,1002.84,927.5,-2100.0,-1093.75,703.76,138.32,-387.6
1389941.6066,-176.229,99.186,1003.328,1303.75,-3001.25,-743.75,717.44,139.84,-378.48
1389941.6566,-170.251,99.857,1004.548,1207.5,-3123.75,-1303.75,694.64,121.6,-375.44
1389941.7066,-170.8,99.369,1006.744,866.25,-2546.25,-1006.25,702.24,127.68,-395.2
1389941.7566,-174.704,98.027,1007.903,901.25,-2730.0,-612.5,700.72,123.12,-381.52
1389941.8066,-167.628,97.539,1003.694,805.0,-2598.75,-1155.0,708.32,130.72,-378.48
1389941.8566,-170.617,95.221,1006.317,1251.25,-2038.75,-1085.0,722.0,129.2,-399.76
1389941.9066,-171.776,97.356,1005.341,1172.5,-2187.5,-1067.5,715.92,124.64,-373.92
1389941.9566,-175.558,97.6,1004.67,892.5,-1942.5,-927.5,732.64,115.52,-386.08
1389942.0066,-178.791,99.247,1002.352,1172.5,-2467.5,-1120.0,715.92,114.0,-384.56
1389942.0566,-174.582,98.332,1002.169,1023.75,-3062.5,-927.5,717.44,133.76,-380.0
1389942.1066,-170.678,98.759,1007.659,665.0,-2625.0,-630.0,709.84,130.72,-404.32
1389942.1566,-174.399,97.661,1003.023,656.25,-2327.5,-612.5,703.76,127.68,-387.6
1389942.2066,-177.266,97.539,1002.962,446.25,-3167.5,-708.75,728.08,123.12,-392.16
1389942.2566,-170.861,93.574,1006.439,726.25,-3316.25,-866.25,717.44,123.12,-386.08
1389942.3066,-172.569,93.025,1013.637,945.0,-2852.5,-840.0,723.52,123.12,-383.04
1389942.3566,-170.373,97.661,1005.646,1417.5,-2817.5,-1111.25,718.96,114.0,-387.6
1389942.4066,-177.083,95.282,1002.108,1627.5,-2126.25,-1120.0,717.44,124.64,-390.64
1389942.4566,-178.913,101.138,1003.328,1557.5,-2791.25,-1225.0,709.84,126.16,-386.08
1389942.5066,-174.948,99.247,1008.33,910.0,-2983.75,-1365.0,705.28,138.32,-398.24
1389942.5566,-174.277,100.223,1005.28,1163.75,-2677.5,-892.5,709.84,129.2,-387.6
