TimeStamp,P3,P4,F3,F4,FP1,I1,I2,FP2
1389993.8288,3531.84,12344.89,33572.11,32550.05,24349.36,27698.14,12163.83,8587.65
1389993.8308,3398.37,12380.6,33567.15,32552.82,24346.45,27691.27,12198.21,8587.08
1389993.8328,2891.64,12371.83,33578.59,32583.38,24372.06,27675.3,12144.52,8614.97
1389993.8348,2283.48,12289.95,33593.13,32608.37,24404.91,27650.69,12017.2,8647.35
1389993.8368,1989.27,12171.84,33569.63,32586.91,24388.32,27598.43,11867.81,8632.04
1389993.8388,2178.96,12137.27,33562.0,32565.74,24375.11,27589.85,11826.9,8618.17
1389993.8408,2609.73,12154.44,33557.04,32548.96,24356.46,27605.68,11876.39,8594.66
1389993.8428,3129.39,12229.49,33559.85,32545.0,24345.26,27651.6,11996.41,8581.69
1389993.8448,3469.61,12302.88,33546.79,32526.45,24320.65,27677.21,12112.29,8555.13
1389993.8468,3472.28,12361.67,33547.12,32526.35,24316.84,27691.32,12193.73,8549.83
1389993.8488,3075.84,12371.64,33556.89,32545.71,24334.77,27669.0,12170.65,8570.39
1389993.8508,2429.68,12291.48,33552.75,32547.33,24343.4,27620.8,12033.89,8580.11
1389993.8528,2019.83,12197.07,33565.67,32566.69,24368.72,27597.96,11894.61,8607.82
1389993.8548,2088.07,12165.12,33587.65,32595.02,24388.84,27608.02,11837.34,8629.75
1389993.8568,2484.51,12179.57,33594.76,32605.89,24390.99,27642.78,11884.93,8629.08
1389993.8588,3008.03,12244.18,33599.33,32601.65,24380.11,27681.97,11995.7,8620.69
1389993.8609,3446.2,12334.63,33605.96,32593.44,24371.67,27724.65,12127.83,8613.49
1389993.8629,3581.48,12413.12,33616.17,32592.11,24381.69,27749.88,12228.3,8624.41
1389993.8649,3295.23,12409.59,33587.22,32569.98,24360.61,27712.78,12214.38,8604.77
1389993.8669,2648.26,12313.94,33538.82,32531.79,24332.34,27622.66,12071.56,8575.06
1389993.8689,2081.68,12196.49,33532.86,32535.27,24345.5,27575.4,11909.77,8585.17
1389993.8709,1991.08,12139.75,33552.75,32554.77,24366.14,27576.88,11824.66,8600.38
1389993.8729,2307.51,12138.37,33565.0,32559.88,24368.67,27612.55,11840.73,8591.7
1389993.8749,2801.61,12189.82,33567.62,32564.98,24356.32,27656.75,11932.42,8576.58
1389993.8769,3283.98,12268.26,33563.67,32558.49,24340.2,27687.03,12051.15,8569.38
1389993.8789,3532.74,12346.79,33558.99,32546.19,24326.47,27681.69,12160.25,8567.05
1389993.8809,3408.34,12384.85,33561.95,32543.71,24326.95,27679.49,12200.45,8568.76
1389993.8829,2896.26,12361.05,33559.09,32541.18,24334.86,27654.7,12135.17,8578.06
1389993.8849,2275.8,12273.36,33573.25,32560.92,24367.72,27626.76,12004.33,8611.92
1389993.8869,2030.42,12208.08,33601.1,32590.44,24400.19,27621.27,11899.9,8644.39
1389993.8889,2205.75,12181.9,33609.01,32597.59,24400.05,27631.29,11870.43,8647.63
1389993.8909,2645.87,12197.21,33594.9,32580.67,24373.87,27647.69,11920.36,8621.5
1389993.8929,3137.26,12253.81,33582.12,32559.83,24346.16,27675.16,12023.59,8580.45
1389993.8949,3500.61,12332.54,33567.19,32539.99,24323.56,27693.89,12144.66,8541.44
1389993.8969,3474.71,12372.54,33552.22,32527.02,24313.36,27699.0,12207.7,8539.2
1389993.8989,3099.92,12385.18,33553.8,32543.09,24323.32,27682.93,12182.28,8565.14
1389993.9009,2455.47,12316.47,33568.29,32569.32,24360.8,27649.02,12058.45,8609.11
1389993.9029,2046.49,12214.81,33570.72,32577.66,24375.3,27604.49,11905.72,8623.98
1389993.9049,2078.87,12163.55,33585.41,32582.95,24381.59,27601.91,11829.57,8634.28
1389993.9069,2504.3,12187.15,33602.15,32587.25,24381.88,27640.16,11882.21,8634.76
1389993.9089,2997.02,12243.08,33604.82,32580.76,24371.91,27682.02,11986.69,8623.74
1389993.9109,3438.76,12315.89,33587.51,32562.78,24346.02,27699.28,12104.42,8596.14
1389993.9129,3539.42,12368.39,33576.92,32550.77,24338.92,27715.92,12192.68,8586.07
1389993.9149,3303.43,12387.94,33567.15,32549.77,24337.01,27702.29,12199.31,8578.25
1389993.9169,2660.7,12324.24,33555.08,32548.53,24339.35,27650.98,12086.3,8578.78
1389993.9189,2137.42,12222.24,33559.52,32566.46,24360.18,27618.7,11939.48,8595.99
1389993.9209,2006.15,12150.67,33569.63,32576.85,24376.2,27600.86,11835.48,8608.63
1389993.9229,2333.78,12146.43,33577.16,32580.67,24373.44,27612.36,11840.73,8607.67
1389993.9249,2794.74,12189.1,33582.02,32575.04,24364.43,27640.3,11925.41,8597.57
1389993.9269,3306.44,12265.45,33581.07,32564.07,24343.73,27676.49,12042.19,8577.01
1389993.9289,3527.88,12332.11,33567.58,32536.94,24318.08,27692.61,12144.38,8552.03
1389993.9309,3416.01,12376.45,33564.24,32538.18,24315.03,27688.22,12188.82,8545.26
1389993.9329,2885.15,12361.72,33569.39,32559.92,24338.87,27669.0,12129.79,8559.61
1389993.9349,2271.6,12259.48,33563.19,32560.45,24356.51,27623.32,11977.34,8583.64
1389993.9369,1975.82,12164.17,33563.14,32557.01,24362.61,27593.57,11844.45,8596.85
1389993.9389,2178.62,12140.37,33572.39,32561.93,24366.43,27591.9,11813.69,8606.15
1389993.9409,2634.91,12185.81,33589.56,32575.18,24374.54,27626.33,11894.32,8615.83
1389993.9429,3163.77,12261.68,33593.61,32578.62,24367.19,27672.68,12018.83,8609.01
1389993.9449,3492.98,12327.67,33574.39,32555.87,24340.68,27694.9,12129.83,8582.31
1389993.9469,3498.89,12372.88,33571.06,32547.24,24335.53,27699.76,12193.49,8579.45
1389993.9489,3125.1,12397.58,33581.59,32564.21,24355.27,27686.41,12183.62,8601.33
1389993.9509,2476.17,12314.27,33578.78,32570.03,24366.76,27644.69,12052.11,8614.92
1389993.9529,2031.47,12197.54,33567.38,32559.35,24363.04,27600.43,11897.8,8608.25
1389993.9549,2079.63,12160.35,33592.51,32582.33,24383.5,27598.58,11836.05,8625.13
1389993.9572,2495.1,12192.78,33613.88,32596.45,24390.18,27625.42,11883.31,8634.71
1389993.9592,2984.91,12238.69,33612.16,32584.48,24375.54,27664.0,11978.77,8619.74
1389993.9612,3414.2,12302.54,33585.27,32549.72,24337.72,27683.4,12083.58,8585.5
1389993.9632,3518.06,12348.22,33562.57,32526.4,24314.17,27690.8,12165.5,8562.14
1389993.9652,3269.72,12371.73,33546.88,32525.26,24311.64,27665.43,12174.08,8553.94
1389993.9672,2622.94,12297.92,33524.52,32519.49,24314.07,27613.55,12051.87,8551.22
1389993.9692,2100.18,12204.6,33529.91,32535.08,24335.96,27567.44,11910.92,8569.05
1389993.9712,1983.5,12152.15,33568.43,32570.75,24377.11,27566.1,11832.29,8603.76
1389993.9732,2314.28,12159.25,33581.83,32571.84,24380.59,27597.0,11847.31,8607.29
1389993.9752,2773.19,12194.3,33578.45,32558.16,24362.76,27638.01,11932.8,8594.23
1389993.9772,3280.64,12271.5,33568.05,32544.62,24339.54,27674.11,12049.2,8561.37
1389993.9792,3508.28,12343.88,33565.57,32542.23,24332.29,27718.36,12161.73,8541.82
1389993.9812,3441.05,12408.88,33580.93,32567.22,24346.35,27745.58,12230.25,8558.23
1389993.9832,2909.42,12384.46,33584.07,32579.09,24359.23,27703.48,12156.68,8585.88
1389993.9852,2285.43,12270.36,33562.47,32561.12,24351.89,27605.16,11991.65,8599.23
1389993.9872,1979.16,12177.85,33574.3,32569.13,24375.39,27584.17,11867.1,8625.22
1389993.9889,2204.66,12168.69,33598.52,32585.82,24390.51,27610.02,11849.83,8640.81
1389993.9909,2619.65,12183.48,33596.09,32566.46,24373.77,27638.82,11900.33,8622.93
1389993.9929,3144.46,12245.56,33580.02,32540.13,24342.59,27665.09,12008.62,8592.61
1389993.9949,3470.47,12316.37,33566.86,32526.45,24326.47,27675.49,12121.82,8576.54
1389993.9969,3497.36,12362.29,33550.41,32519.39,24312.55,27675.92,12188.2,8564.14
1389993.9989,3075.08,12344.98,33526.09,32507.9,24302.68,27636.2,12139.08,8558.27
1389994.0009,2452.28,12280.85,33534.15,32529.17,24329.81,27610.45,12020.83,8584.12
1389994.0029,2022.74,12195.68,33556.56,32561.5,24360.04,27605.73,11903.43,8604.1
1389994.0049,2088.93,12161.4,33578.64,32589.68,24375.44,27597.62,11843.64,8605.53
1389994.0069,2455.62,12170.27,33580.97,32595.78,24369.72,27614.41,11873.29,8590.89
1389994.0089,2988.48,12241.32,33595.38,32604.89,24369.86,27670.29,11992.36,8584.69
1389994.0109,3414.2,12315.56,33585.55,32574.75,24346.55,27696.47,12109.04,8568.86
1389994.0129,3540.56,12365.1,33563.09,32533.22,24318.89,27700.14,12188.1,8553.98
1389994.0149,3266.95,12377.69,33548.5,32502.66,24310.88,27677.83,12186.34,8555.37
1389994.0169,2671.05,12321.04,33541.83,32502.85,24316.89,27626.42,12076.05,8567.57
1389994.0189,2117.3,12220.05,33545.16,32518.06,24340.2,27594.19,11928.8,8592.03
1389994.0209,2021.31,12170.03,33566.29,32552.91,24370.01,27603.68,11853.93,8619.45
1389994.0229,2321.39,12165.83,33570.48,32559.4,24371.05,27625.04,11861.95,8618.5
1389994.0249,2801.13,12200.98,33563.71,32554.87,24358.42,27657.04,11942.82,8593.75
1389994.0269,3295.95,12285.81,33571.1,32560.73,24351.74,27683.55,12065.84,8571.29
1389994.0289,3547.0,12351.9,33568.82,32548.05,24336.63,27705.58,12174.08,8560.18
1389994.0309,3427.89,12388.8,33561.28,32535.89,24328.57,27702.67,12218.38,8563.0
