TimeStamp,P3,P4,F3,F4,FP1,I1,I2,FP2
1390104.142,1433.9,10928.01,32627.49,31376.03,23911.91,26890.47,10835.08,8649.73
1390104.144,1852.04,10953.71,32632.21,31373.46,23912.05,26927.52,10887.48,8643.49
1390104.146,2384.09,11035.21,32633.26,31371.22,23897.94,26965.0,11001.97,8625.65
1390104.148,2713.2,11117.84,32623.68,31355.29,23877.24,26982.74,11117.41,8603.67
1390104.15,2723.88,11162.57,32601.22,31334.5,23857.79,26970.2,11172.49,8588.46
1390104.152,2291.35,11151.7,32588.68,31329.73,23855.69,26934.29,11129.91,8592.75
1390104.154,1666.93,11066.72,32591.39,31343.37,23878.77,26911.64,11007.69,8618.4
1390104.156,1235.34,10957.39,32602.93,31360.06,23902.09,26870.87,10868.26,8641.86
1390104.158,1311.21,10918.38,32619.86,31378.8,23914.91,26872.54,10817.96,8652.07
1390104.16,1686.86,10935.4,32621.15,31374.79,23912.0,26890.61,10854.91,8644.77
1390104.162,2208.66,11002.45,32621.58,31368.59,23897.41,26923.52,10947.18,8631.14
1390104.164,2631.76,11091.04,32608.37,31349.57,23872.19,26956.61,11070.68,8608.29
1390104.166,2767.13,11153.27,32590.3,31335.64,23854.64,26953.61,11165.24,8591.08
1390104.168,2483.03,11176.4,32584.72,31337.26,23855.59,26931.67,11168.86,8594.18
1390104.17,1871.78,11109.31,32581.14,31336.5,23868.52,26883.8,11051.37,8603.62
1390104.172,1330.38,10998.63,32585.0,31340.65,23886.25,26854.61,10908.13,8619.21
1390104.174,1224.23,10927.11,32599.17,31358.53,23899.7,26860.19,10824.25,8628.8
1390104.176,1536.8,10923.2,32608.94,31363.54,23899.03,26898.91,10838.56,8625.13
1390104.178,2034.62,10975.08,32622.1,31368.4,23895.93,26951.75,10925.91,8624.55
1390104.18,2533.1,11069.35,32624.3,31363.68,23880.63,26981.83,11052.28,8610.44
1390104.182,2766.9,11141.68,32611.56,31342.46,23860.84,26988.94,11158.37,8592.56
1390104.184,2641.54,11179.93,32600.45,31330.49,23855.12,26974.49,11192.28,8585.41
1390104.186,2103.71,11141.83,32591.35,31326.44,23860.41,26931.19,11110.74,8591.84
1390104.188,1487.92,11038.45,32592.97,31339.46,23881.1,26884.03,10967.54,8611.73
1390104.19,1203.3,10939.31,32598.45,31352.81,23898.99,26863.48,10845.57,8631.9
1390104.192,1420.21,10924.25,32609.56,31361.39,23908.9,26897.0,10827.45,8645.68
1390104.194,1861.62,10952.19,32612.71,31356.15,23898.6,26936.25,10883.48,8635.9
1390104.196,2370.26,11026.57,32602.36,31337.31,23869.33,26958.23,10987.95,8609.34
1390104.198,2717.07,11119.89,32596.74,31328.01,23855.78,26981.55,11119.8,8594.9
1390104.2,2740.34,11184.46,32590.35,31325.3,23849.44,26999.76,11201.57,8587.98
1390104.202,2307.8,11164.62,32574.09,31312.04,23841.96,26958.14,11151.6,8580.49
