TimeStamp,AF7,FP1,FP2,AF8,O1,O2,I1,I2
1051852.7181,12344.5,5396.51,-4533.82,11601.88,28252.8,4421.09,12784.29,19048.6
1051852.7221,12291.86,5303.19,-4601.05,11565.59,28296.62,4591.04,13003.4,19122.84
1051852.7261,12342.5,5397.7,-4527.04,11613.61,28324.85,4577.59,13086.46,19107.53
1051852.7301,12307.74,5406.05,-4549.22,11559.82,28216.32,4370.17,12873.84,18967.73
1051852.7341,12342.17,5404.43,-4532.81,11600.07,28232.1,4399.68,12762.17,19024.23
1051852.7381,12343.03,5354.26,-4561.19,11601.26,28296.28,4602.77,12971.59,19135.53
1051852.7421,12272.03,5316.12,-4620.55,11523.39,28241.59,4539.63,13028.58,19044.12
1051852.7461,12305.69,5399.47,-4571.63,11539.75,28239.3,4406.17,12924.39,18980.17
1051852.7501,12309.98,5384.16,-4565.72,11562.97,28220.8,4371.69,12757.88,18987.94
1051852.7541,12312.94,5333.38,-4587.84,11576.22,28274.44,4552.98,12909.32,19097.52
1051852.7581,12300.11,5335.14,-4604.91,11541.27,28275.54,4577.83,13067.72,19073.73
1051852.7621,12328.77,5419.06,-4547.26,11560.78,28256.18,4431.15,12960.01,18996.15
1051852.7661,12365.77,5453.16,-4510.69,11601.16,28256.66,4394.48,12810.99,19009.31
1051852.7701,12339.02,5372.76,-4552.27,11608.27,28291.99,4543.02,12896.87,19091.89
1051852.7741,12299.92,5336.57,-4598.62,11556.72,28279.36,4611.54,13086.75,19082.31
1051852.7781,12359.43,5454.02,-4513.69,11598.11,28276.07,4491.9,13013.17,19041.02
1051852.7821,12323.05,5428.98,-4544.97,11562.06,28206.64,4347.42,12797.55,18964.72
1051852.7861,12289.29,5338.24,-4606.3,11540.84,28208.74,4449.18,12795.16,19032.77
1051852.7901,12304.45,5337.62,-4598.48,11550.95,28262.19,4603.34,13077.21,19082.45
1051852.7941,12295.77,5388.79,-4569.44,11541.99,28212.36,4432.77,12979.94,18961.05
1051852.7981,12337.59,5456.35,-4515.03,11579.18,28220.99,4342.18,12837.6,18957.52
1051852.8021,12369.59,5430.17,-4519.27,11617.57,28281.45,4481.98,12853.53,19075.49
1051852.8061,12254.38,5287.22,-4649.93,11507.66,28242.16,4581.64,13059.81,19057.8
1051852.8101,12272.36,5358.12,-4604.2,11510.66,28231.86,4474.88,13034.58,18999.53
1051852.8141,12318.04,5441.0,-4537.77,11555.72,28233.58,4365.97,12879.66,18978.17
1051852.8181,12287.0,5366.42,-4590.51,11532.21,28216.79,4405.45,12780.91,19018.8
1051852.8221,12221.39,5263.47,-4664.95,11492.54,28242.45,4588.32,13040.4,19079.59
1051852.8261,12259.53,5339.34,-4615.26,11513.04,28236.92,4523.8,13062.05,19026.33
1051852.8301,12309.03,5431.56,-4542.92,11558.01,28224.9,4378.84,12897.73,18975.16
1051852.8341,12244.04,5340.15,-4619.69,11505.08,28176.26,4346.94,12742.62,18964.77
1051852.8381,12251.57,5301.09,-4640.68,11508.18,28239.35,4570.44,12992.86,19065.43
1051852.8421,12262.16,5338.38,-4614.88,11510.71,28255.28,4560.14,13100.29,19035.25
1051852.846,12329.01,5449.82,-4524.52,11565.5,28222.52,4390.19,12914.8,18958.62
1051852.85,12339.16,5443.0,-4528.57,11568.79,28208.21,4361.06,12767.98,18974.74
1051852.854,12348.18,5401.76,-4547.07,11590.96,28279.02,4586.65,12990.62,19093.09
1051852.858,12326.86,5397.37,-4557.37,11571.65,28261.05,4602.34,13121.32,19057.8
1051852.862,12311.6,5427.89,-4551.94,11534.5,28180.51,4363.35,12897.45,18923.52
1051852.866,12332.97,5445.39,-4533.67,11556.63,28169.92,4301.5,12727.45,18926.48
1051852.87,12322.9,5377.82,-4575.06,11557.2,28209.74,4484.7,12868.31,19027.86
1051852.874,12336.88,5394.03,-4562.47,11569.64,28259.09,4605.63,13117.22,19064.48
1051852.878,12321.62,5434.75,-4537.73,11560.73,28207.59,4399.59,12929.25,18954.76
1051852.882,12318.23,5445.19,-4524.9,11571.31,28185.28,4295.54,12734.94,18923.09
1051852.886,12302.02,5370.67,-4577.49,11558.58,28186.28,4418.23,12780.24,18978.65
1051852.89,12278.18,5335.81,-4620.41,11519.15,28237.06,4586.41,13081.5,19031.48
1051852.894,12295.72,5407.19,-4568.15,11536.36,28234.87,4454.33,12972.5,18983.22
1051852.898,12332.97,5462.6,-4527.28,11562.02,28225.28,4327.82,12761.5,18934.25
1051852.902,12256.34,5338.96,-4630.42,11494.59,28167.78,4367.26,12694.26,18927.58
1051852.906,12290.05,5351.02,-4611.3,11533.98,28249.98,4611.35,13042.17,19039.54
1051852.91,12257.01,5364.94,-4611.97,11508.37,28185.08,4441.64,12920.24,18921.9
1051852.914,12267.26,5406.19,-4580.69,11524.39,28150.51,4271.65,12682.3,18854.29
1051852.918,12309.98,5402.52,-4563.67,11567.31,28180.79,4368.35,12664.27,18932.06
1051852.922,12307.12,5372.95,-4574.97,11582.23,28236.73,4603.91,12984.71,19029.91
1051852.926,12268.45,5379.11,-4583.74,11544.99,28175.64,4478.5,12928.54,18934.3
1051852.93,12284.71,5433.46,-4548.6,11553.05,28104.4,4252.86,12657.12,18828.97
1051852.934,12321.19,5436.85,-4537.25,11572.41,28124.48,4298.16,12601.81,18896.01
1051852.938,12324.0,5395.41,-4560.47,11583.66,28177.17,4525.66,12885.33,18989.14
1051852.942,12329.96,5426.93,-4542.4,11587.62,28176.84,4493.76,12958.19,18947.03
1051852.946,12377.45,5511.43,-4481.13,11616.18,28152.28,4310.7,12723.83,18887.0
1051852.95,12345.32,5464.79,-4509.54,11605.26,28125.19,4262.07,12557.89,18871.21
1051852.954,12284.9,5361.18,-4585.46,11569.74,28161.58,4459.19,12770.7,18942.45
1051852.958,12279.18,5375.48,-4584.74,11555.82,28205.02,4529.1,12972.12,18962.77
1051852.962,12316.42,5456.73,-4529.81,11572.08,28184.89,4329.4,12760.07,18882.09
1051852.966,12282.66,5416.92,-4558.95,11546.23,28143.7,4231.36,12569.95,18841.94
1051852.97,12305.17,5391.5,-4561.04,11587.72,28252.41,4500.25,12828.73,18999.91
1051852.9744,12305.59,5394.89,-4567.34,11572.65,28295.33,4637.67,13114.93,19038.25
1051852.9784,12239.03,5378.72,-4603.58,11499.22,28160.15,4333.16,12803.13,18857.05
1051852.9824,12263.16,5415.25,-4568.67,11524.25,28126.62,4210.47,12556.94,18824.39
1051852.9864,12250.62,5355.12,-4603.91,11528.64,28177.17,4393.29,12698.13,18925.48
1051852.9904,12213.99,5311.68,-4641.53,11499.45,28200.39,4551.7,13005.54,18964.01
1051852.9944,12287.33,5429.32,-4541.87,11565.73,28165.2,4363.16,12821.72,18875.32
1051852.9984,12302.88,5455.92,-4521.94,11576.08,28097.68,4172.66,12527.37,18792.25
1051853.0024,12261.06,5363.23,-4599.14,11525.87,28081.61,4252.91,12504.05,18825.82
1051853.0064,12251.52,5344.39,-4605.25,11537.22,28143.36,4482.65,12843.99,18917.71
1051853.0104,12292.96,5428.36,-4540.01,11573.84,28134.83,4359.63,12750.44,18872.88
1051853.0144,12307.45,5460.22,-4527.14,11565.16,28042.99,4117.78,12424.38,18746.95
1051853.0184,12297.15,5411.2,-4552.17,11565.31,28045.09,4186.92,12383.18,18798.83
