TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1051852.7739,112.972,540.948,767.807,66325.0,245.0,-14726.25,522.88,-127.68,-376.96
1051852.8239,59.841,706.38,717.421,65196.25,1767.5,-11838.75,535.04,-155.04,-349.6
1051852.8739,109.007,768.966,686.799,50356.25,-2126.25,-10710.0,530.48,-168.72,-332.88
1051852.9239,96.38,700.768,703.269,46112.5,-2633.75,-8723.75,522.88,-188.48,-346.56
1051852.9739,120.963,783.85,641.415,43566.25,3202.5,-7271.25,550.24,-214.32,-317.68
1051853.0239,84.607,789.157,709.003,34711.25,-4007.5,-4410.0,541.12,-218.88,-311.6
1051853.074,38.003,766.404,628.544,18348.75,-4112.5,665.0,542.64,-234.08,-323.76
1051853.1239,111.813,718.824,562.115,39331.25,-6273.75,402.5,536.56,-234.08,-294.88
1051853.174,56.12,729.682,547.841,41142.5,560.0,-5486.25,548.72,-237.12,-278.16
1051853.2239,64.355,837.347,501.176,27186.25,-4322.5,-3578.75,541.12,-256.88,-272.08
1051853.2739,71.065,812.154,490.806,31132.5,-1286.25,-11497.5,553.28,-266.0,-276.64
1051853.3239,64.172,834.175,527.406,36583.75,-2808.75,-17167.5,553.28,-267.52,-247.76
1051853.3739,90.829,1045.906,460.977,25838.75,-35.0,-7332.5,548.72,-284.24,-241.68
1051853.4239,57.157,895.053,481.961,19766.25,2808.75,-8050.0,557.84,-287.28,-235.6
1051853.4739,47.092,832.406,469.09,15295.0,1155.0,-11436.25,573.04,-294.88,-221.92
1051853.5239,9.394,889.868,383.263,5223.75,5101.25,-7726.25,562.4,-287.28,-218.88
1051853.5739,-24.705,902.312,459.757,21822.5,1435.0,-8190.0,577.6,-293.36,-224.96
1051853.6239,41.114,849.608,394.914,2353.75,-2931.25,-3526.25,576.08,-297.92,-211.28
1051853.6739,18.239,908.656,418.216,30187.5,-113.75,-7201.25,576.08,-299.44,-209.76
1051853.7239,2.318,931.836,425.414,11235.0,-2196.25,-4812.5,568.48,-307.04,-193.04
1051853.7739,34.587,902.068,377.773,-175.0,-682.5,-3132.5,580.64,-308.56,-205.2
1051853.8239,9.516,909.327,387.533,10325.0,-1557.5,-5005.0,595.84,-307.04,-197.6
1051853.8739,-15.25,902.617,379.298,16983.75,1067.5,-5538.75,580.64,-299.44,-191.52
1051853.9239,-3.538,898.469,364.292,5600.0,-971.25,-4541.25,585.2,-311.6,-202.16
1051853.9739,-39.223,997.655,354.715,16213.75,-297.5,-5766.25,591.28,-304.0,-186.96
1051854.0239,14.518,898.835,364.353,7000.0,-1933.75,-2738.75,601.92,-310.08,-193.04
1051854.0739,-11.834,959.347,350.384,-4961.25,-481.25,-4873.75,598.88,-320.72,-183.92
1051854.1239,-16.348,941.352,328.18,-542.5,-2555.0,-5188.75,595.84,-304.0,-190.0
1051854.1739,-36.905,906.582,342.393,-1286.25,-1732.5,-4042.5,612.56,-310.08,-171.76
1051854.2239,-28.121,964.288,326.777,-4760.0,350.0,-2467.5,591.28,-314.64,-180.88
1051854.2739,-43.31,943.975,365.817,-1435.0,-3815.0,-2152.5,601.92,-300.96,-183.92
1051854.3239,-43.188,938.607,346.846,-3237.5,-1452.5,-175.0,585.2,-305.52,-202.16
1051854.3739,-7.076,1020.896,305.366,-5862.5,-2642.5,2205.0,598.88,-293.36,-179.36
1051854.4239,-27.206,1025.105,311.405,-20098.75,-988.75,8242.5,595.84,-300.96,-176.32
1051854.4739,-24.827,982.893,348.554,-47582.5,-2170.0,7140.0,580.64,-299.44,-203.68
