TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1051596.8739,330.559,185.928,942.572,-455.0,-3368.75,-2030.0,390.64,148.96,-436.24
1051596.9239,329.461,206.546,946.232,411.25,-2773.75,-1251.25,383.04,148.96,-427.12
1051596.9739,334.707,185.501,948.855,2073.75,-2213.75,-1181.25,373.92,156.56,-452.96
1051597.0239,332.694,191.723,946.171,1216.25,-2782.5,-1260.0,366.32,144.4,-425.6
1051597.0739,330.193,199.592,945.256,831.25,-3430.0,-1636.25,372.4,150.48,-448.4
1051597.1239,332.633,195.261,946.598,-210.0,-3045.0,-1828.75,386.08,148.96,-437.76
1051597.1739,333.914,191.418,948.672,-647.5,-3342.5,-1268.75,373.92,150.48,-434.72
1051597.2239,327.692,187.026,938.729,1373.75,-2450.0,-1076.25,369.36,150.48,-433.2
1051597.2739,324.886,200.446,948.062,1225.0,-2940.0,-761.25,380.0,153.52,-449.92
1051597.3239,342.332,176.412,950.319,2537.5,-2590.0,-1172.5,367.84,162.64,-427.12
1051597.3739,328.607,205.875,946.964,253.75,-2826.25,-1023.75,380.0,153.52,-424.08
1051597.4239,327.57,193.553,945.622,2152.5,-3228.75,-1461.25,378.48,150.48,-421.04
1051597.4739,329.949,188.917,937.936,26.25,-3491.25,-612.5,346.56,159.6,-434.72
1051597.5239,332.816,197.274,947.147,-1391.25,-3622.5,-332.5,376.96,164.16,-454.48
1051597.5739,339.831,189.588,949.343,1566.25,-2388.75,-1400.0,378.48,147.44,-425.6
1051597.6239,336.964,181.597,948.733,1321.25,-3447.5,-1505.0,390.64,159.6,-439.28
1051597.6739,339.77,185.379,945.256,971.25,-3010.0,-962.5,386.08,155.04,-433.2
1051597.7239,333.609,192.821,947.147,638.75,-2817.5,-1732.5,367.84,150.48,-414.96
1051597.7739,341.722,186.477,943.548,1190.0,-2511.25,-1085.0,360.24,158.08,-436.24
1051597.8239,327.997,189.771,947.086,420.0,-2913.75,-1505.0,369.36,162.64,-428.64
1051597.8739,345.321,180.865,945.256,2091.25,-2555.0,-1426.25,380.0,153.52,-427.12
1051597.9239,325.435,189.1,945.378,971.25,-3307.5,-1400.0,358.72,158.08,-418.0
1051597.974,326.899,199.165,946.537,183.75,-3465.0,-577.5,364.8,159.6,-427.12
