TimeStamp,AF7,FP1,FP2,AF8,O1,O2,I1,I2
1052097.2826,8791.02,2907.66,-6707.1,5328.61,21403.36,-6546.21,-7337.19,9562.3
1052097.2866,8782.53,2916.38,-6702.61,5329.28,21377.76,-6604.0,-7429.7,9528.73
1052097.2906,8766.13,2833.89,-6747.63,5318.4,21347.1,-6592.13,-7597.45,9576.04
1052097.2946,8780.67,2823.88,-6745.58,5327.85,21390.82,-6502.25,-7453.25,9628.39
1052097.2986,8783.06,2886.49,-6716.59,5330.37,21411.95,-6534.43,-7337.95,9575.32
1052097.3026,8761.69,2897.69,-6723.55,5312.2,21382.76,-6605.01,-7402.42,9521.06
1052097.3066,8755.26,2825.21,-6763.03,5305.96,21344.9,-6616.93,-7603.03,9554.34
1052097.3106,8754.54,2783.01,-6782.63,5309.96,21368.12,-6538.06,-7511.66,9610.61
1052097.3146,8759.21,2842.0,-6750.92,5310.92,21392.44,-6545.88,-7364.66,9577.9
1052097.3186,8759.4,2896.5,-6724.12,5305.29,21381.0,-6599.09,-7378.53,9526.02
1052097.3226,8756.83,2845.24,-6743.19,5314.49,21335.75,-6632.23,-7595.02,9539.37
1052097.3266,8759.88,2786.06,-6774.38,5315.69,21347.91,-6556.65,-7553.77,9601.17
1052097.3306,8761.26,2837.37,-6751.82,5315.21,21384.86,-6535.34,-7392.55,9594.35
1052097.3346,8776.48,2898.55,-6719.92,5316.31,21389.39,-6587.79,-7361.6,9540.85
1052097.3386,8775.28,2857.26,-6737.09,5321.84,21354.44,-6625.7,-7554.1,9549.05
1052097.3426,8757.31,2787.3,-6769.51,5325.7,21367.12,-6558.51,-7553.05,9603.84
1052097.3466,8739.9,2806.62,-6774.19,5294.51,21382.91,-6540.39,-7401.75,9579.18
1052097.3506,8753.25,2885.06,-6738.43,5295.28,21382.48,-6599.57,-7370.62,9519.39
1052097.3546,8759.88,2871.32,-6743.57,5308.82,21356.87,-6635.71,-7524.59,9521.1
1052097.3586,8750.39,2787.69,-6780.1,5309.06,21333.12,-6602.72,-7610.47,9566.12
1052097.3626,8750.87,2804.42,-6765.51,5306.86,21366.74,-6555.65,-7447.39,9574.37
1052097.3666,8766.32,2883.1,-6725.26,5314.54,21376.04,-6604.67,-7377.82,9512.14
1052097.3706,8763.84,2878.0,-6726.46,5325.17,21351.34,-6638.72,-7497.98,9514.14
1052097.3746,8756.3,2795.89,-6765.03,5323.7,21335.08,-6601.0,-7612.99,9575.99
1052097.3786,8756.11,2792.02,-6773.81,5309.15,21368.7,-6547.98,-7463.31,9590.34
1052097.3826,8762.84,2865.6,-6742.19,5301.29,21383.19,-6588.03,-7364.46,9534.5
1052097.3866,8767.46,2882.24,-6735.18,5300.86,21362.26,-6636.24,-7453.73,9512.95
1052097.3906,8748.68,2801.9,-6771.28,5305.1,21334.6,-6624.32,-7620.67,9563.4
1052097.3946,8750.96,2779.87,-6778.62,5310.73,21362.83,-6555.08,-7491.21,9597.78
1052097.3986,8752.73,2848.34,-6744.15,5306.67,21381.76,-6584.36,-7370.66,9543.52
1052097.4026,8773.61,2893.64,-6719.92,5314.16,21380.19,-6620.79,-7404.76,9521.77
1052097.4066,8766.41,2825.12,-6752.01,5317.12,21346.95,-6626.37,-7593.35,9559.58
1052097.4105,8745.05,2770.52,-6783.34,5301.76,21356.35,-6558.47,-7512.38,9599.59
1052097.4145,8755.54,2841.85,-6742.29,5308.82,21391.68,-6557.37,-7368.47,9569.17
1052097.4185,8760.21,2893.31,-6726.6,5305.48,21380.71,-6614.3,-7377.82,9518.05
1052097.4225,8754.73,2837.37,-6756.83,5304.48,21344.85,-6636.72,-7572.84,9541.66
1052097.4265,8741.19,2771.19,-6790.73,5304.67,21359.83,-6549.5,-7533.03,9613.8
1052097.4305,8746.2,2820.44,-6760.55,5308.58,21378.81,-6553.32,-7396.79,9571.41
1052097.4345,8757.83,2895.36,-6721.55,5317.45,21392.25,-6604.77,-7344.91,9512.71
1052097.4385,8754.54,2852.34,-6745.86,5313.83,21354.49,-6634.52,-7539.8,9535.27
1052097.4425,8741.28,2775.72,-6785.58,5307.72,21346.29,-6575.2,-7570.12,9591.91
1052097.4465,8751.63,2823.02,-6754.45,5316.93,21387.91,-6543.92,-7388.83,9578.04
1052097.4505,8751.77,2884.58,-6728.51,5307.87,21383.91,-6605.82,-7365.13,9523.25
1052097.4545,8746.24,2855.92,-6744.19,5301.14,21341.04,-6643.25,-7542.9,9535.12
1052097.4585,8732.51,2770.09,-6787.73,5299.71,21327.97,-6605.01,-7613.47,9578.37
1052097.4625,8740.14,2790.26,-6782.77,5299.52,21352.72,-6567.91,-7459.83,9567.74
1052097.4665,8770.99,2889.54,-6730.37,5311.92,21386.58,-6590.37,-7360.08,9535.12
1052097.4705,8780.05,2893.59,-6724.45,5323.36,21372.94,-6625.46,-7475.66,9533.5
1052097.4745,8746.67,2780.15,-6786.25,5299.71,21326.93,-6628.85,-7630.87,9548.57
1052097.4785,8741.81,2780.39,-6781.29,5304.96,21360.88,-6558.61,-7487.25,9583.28
1052097.4825,8740.38,2859.02,-6750.97,5301.86,21375.61,-6598.09,-7387.69,9524.63
1052097.4865,8756.21,2884.2,-6744.58,5300.67,21353.77,-6651.21,-7474.76,9495.31
1052097.4905,8758.21,2810.57,-6773.71,5298.71,21325.88,-6635.24,-7639.84,9547.66
1052097.4945,8738.61,2771.52,-6791.45,5290.56,21343.71,-6570.44,-7518.1,9577.18
1052097.4985,8750.2,2851.15,-6748.39,5300.09,21364.36,-6586.12,-7394.65,9539.22
1052097.5025,8755.16,2883.82,-6738.52,5298.04,21352.34,-6637.29,-7448.34,9505.42
1052097.5065,8748.29,2810.96,-6774.19,5298.42,21327.4,-6646.78,-7639.12,9541.23
1052097.5105,8734.37,2759.98,-6804.04,5297.14,21345.43,-6569.96,-7549.95,9588.62
1052097.5145,8752.97,2833.89,-6768.66,5295.42,21372.75,-6578.26,-7412.05,9546.71
1052097.5185,8769.94,2890.92,-6742.34,5293.42,21383.96,-6615.93,-7399.56,9524.97
1052097.5225,8750.15,2821.11,-6777.76,5285.79,21340.61,-6641.25,-7600.74,9547.57
1052097.5265,8734.8,2762.79,-6800.46,5293.04,21333.89,-6577.11,-7590.01,9592.34
1052097.5305,8749.34,2824.5,-6760.36,5306.2,21365.36,-6570.77,-7431.75,9556.58
1052097.5345,8762.65,2891.21,-6725.98,5312.87,21371.99,-6624.32,-7402.9,9506.85
1052097.5384,8755.11,2846.53,-6748.49,5308.77,21332.55,-6657.7,-7588.01,9516.62
1052097.5424,8745.48,2774.19,-6783.58,5306.77,21325.59,-6596.28,-7610.61,9572.03
1052097.5464,8755.4,2816.77,-6763.13,5306.53,21358.59,-6558.75,-7446.34,9570.89
1052097.5504,8766.32,2892.45,-6726.31,5302.1,21370.03,-6600.52,-7383.59,9521.49
