TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1052097.3739,139.812,206.729,985.333,1137.5,-2747.5,-778.75,538.08,59.28,-454.48
1052097.4239,134.078,205.692,989.115,2756.25,-1837.5,-1181.25,550.24,72.96,-430.16
1052097.4739,127.063,218.929,990.457,770.0,-2581.25,-1645.0,548.72,62.32,-436.24
1052097.5239,130.235,210.816,990.457,1338.75,-2948.75,-1776.25,545.68,60.8,-454.48
1052097.5739,129.259,208.742,990.03,1146.25,-3158.75,-1732.5,547.2,59.28,-454.48
1052097.6239,134.2,209.84,988.993,1085.0,-3543.75,-805.0,550.24,63.84,-445.36
1052097.6739,135.542,205.631,993.812,953.75,-2721.25,-796.25,559.36,45.6,-434.72
1052097.7239,130.296,206.729,991.372,1662.5,-3360.0,-883.75,541.12,62.32,-442.32
1052097.7739,136.03,208.62,992.165,1382.5,-3377.5,-656.25,535.04,59.28,-439.28
1052097.8239,131.333,208.681,990.335,1443.75,-2800.0,-1286.25,556.32,59.28,-430.16
1052097.8739,136.762,202.215,991.128,1233.75,-3867.5,-962.5,536.56,66.88,-439.28
1052097.9239,135.664,204.96,991.311,2126.25,-3246.25,-603.75,535.04,51.68,-428.64
1052097.9739,134.383,209.169,987.651,2152.5,-3368.75,-621.25,538.08,69.92,-439.28
1052098.0239,140.849,215.452,989.115,1995.0,-3867.5,-586.25,545.68,59.28,-452.96
1052098.0739,133.773,218.563,989.42,603.75,-3018.75,-358.75,550.24,65.36,-421.04
1052098.1239,152.439,202.459,992.043,253.75,-2633.75,332.5,542.64,50.16,-446.88
1052098.1739,170.495,163.175,1005.463,-1076.25,-3193.75,1820.0,530.48,68.4,-433.2
1052098.2239,189.649,128.771,1008.452,7017.5,17.5,5486.25,533.52,56.24,-427.12
1052098.2739,149.511,159.637,990.579,15610.0,2948.75,4567.5,532.0,63.84,-437.76
1052098.3239,113.826,242.231,965.386,16117.5,2117.5,2257.5,538.08,53.2,-446.88
1052098.3739,85.461,303.597,977.83,8785.0,-691.25,1627.5,550.24,50.16,-436.24
