TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1051719.4239,306.952,121.878,965.752,2485.0,-2782.5,-4278.75,389.12,188.48,-442.32
1051719.4739,319.274,152.378,958.127,3080.0,-4488.75,-2380.0,372.4,182.4,-422.56
1051719.5239,326.411,149.755,952.942,-717.5,-1662.5,280.0,380.0,182.4,-428.64
1051719.5739,315.492,126.148,973.011,2143.75,-3500.0,-700.0,376.96,185.44,-430.16
1051719.6239,334.463,136.274,957.09,1802.5,-1881.25,-113.75,375.44,197.6,-433.2
1051719.6739,299.144,149.633,955.809,-542.5,-1032.5,385.0,381.52,176.32,-440.8
1051719.7239,305.122,127.185,962.336,1382.5,-2222.5,-1522.5,381.52,186.96,-411.92
1051719.7739,319.945,133.224,960.445,472.5,-4340.0,-332.5,395.2,185.44,-437.76
1051719.8239,315.98,145.241,965.874,1461.25,-2878.75,113.75,380.0,186.96,-434.72
1051719.8739,330.559,143.838,959.774,2126.25,-2712.5,656.25,387.6,188.48,-434.72
1051719.9239,301.645,136.823,967.521,455.0,-3062.5,-2021.25,383.04,197.6,-431.68
1051719.9739,312.381,147.925,957.456,525.0,-4077.5,-2135.0,384.56,188.48,-436.24
1051720.024,316.041,143.594,959.896,-17.5,-3500.0,-1540.0,378.48,182.4,-428.64
1051720.0739,326.228,136.823,959.103,-507.5,-2747.5,-1496.25,386.08,191.52,-436.24
1051720.1239,323.361,134.322,969.046,612.5,-2668.75,-1706.25,383.04,191.52,-443.84
1051720.1739,319.762,123.098,961.848,463.75,-2485.0,-831.25,380.0,185.44,-427.12
1051720.2239,304.695,140.361,964.959,2336.25,-3867.5,-1776.25,380.0,193.04,-437.76
1051720.2739,315.675,129.93,968.192,568.75,-5110.0,-1977.5,380.0,190.0,-428.64
1051720.3239,337.757,125.477,955.077,3316.25,-2178.75,-1286.25,370.88,191.52,-436.24
1051720.3739,307.013,145.119,956.297,2073.75,-2450.0,-1942.5,372.4,191.52,-443.84
1051720.4239,314.211,156.099,957.09,883.75,-3430.0,-1155.0,366.32,185.44,-419.52
1051720.4739,321.775,141.337,963.861,743.75,-1548.75,96.25,387.6,180.88,-428.64
1051720.5239,312.808,133.59,966.911,1076.25,-2248.75,-1067.5,386.08,185.44,-439.28
1051720.5739,320.982,148.291,962.092,831.25,-3955.0,-1898.75,372.4,182.4,-434.72
1051720.6239,308.477,142.252,961.726,1496.25,-1610.0,-2187.5,367.84,194.56,-449.92
1051720.6739,308.477,146.461,957.639,-516.25,-3167.5,-1198.75,370.88,200.64,-440.8
1051720.7239,312.442,132.187,962.946,630.0,-2765.0,-1408.75,383.04,183.92,-425.6
1051720.7739,313.723,137.067,965.508,1260.0,-4121.25,-1242.5,389.12,182.4,-437.76
1051720.8239,320.982,133.224,965.325,3368.75,-2642.5,-1426.25,370.88,183.92,-422.56
1051720.8739,320.067,136.091,958.127,1111.25,-2432.5,-1811.25,378.48,191.52,-446.88
1051720.9239,307.623,147.925,963.8,2528.75,-2826.25,-1452.5,381.52,174.8,-425.6
1051720.9739,315.309,135.908,966.789,1496.25,-3955.0,-612.5,369.36,182.4,-431.68
1051721.0239,320.067,147.559,956.48,1417.5,-2485.0,-840.0,370.88,174.8,-443.84
1051721.0739,317.322,157.99,954.284,-892.5,-2126.25,-297.5,384.56,185.44,-433.2
1051721.1239,316.163,133.224,960.323,-1242.5,-2878.75,-822.5,381.52,188.48,-425.6
1051721.1739,333.06,133.773,963.617,1085.0,-2817.5,-927.5,381.52,182.4,-433.2
1051721.2239,324.52,135.115,966.362,1286.25,-2843.75,-743.75,378.48,186.96,-431.68
1051721.2739,323.056,138.348,963.861,1758.75,-2091.25,-2205.0,366.32,186.96,-427.12
1051721.3239,310.185,135.786,951.417,1111.25,-2240.0,-3281.25,378.48,179.36,-434.72
1051721.3739,305.976,138.287,965.813,411.25,-3255.0,-3001.25,367.84,188.48,-436.24
1051721.4239,311.161,135.603,966.667,927.5,-2695.0,-1076.25,373.92,194.56,-442.32
1051721.4739,311.1,132.004,965.813,1102.5,-1960.0,-166.25,360.24,193.04,-428.64
1051721.5239,312.076,135.969,961.665,1968.75,-3325.0,-735.0,386.08,174.8,-414.96
1051721.5739,314.516,139.324,959.103,2975.0,-1277.5,-288.75,373.92,186.96,-430.16
1051721.6239,315.065,138.104,968.07,1627.5,-1443.75,-306.25,376.96,190.0,-436.24
1051721.6739,313.845,139.446,963.983,1601.25,-3797.5,-1190.0,384.56,185.44,-431.68
1051721.7239,319.457,137.738,957.944,1146.25,-3185.0,-2012.5,393.68,180.88,-431.68
1051721.7739,318.786,147.132,957.09,603.75,-3071.25,-516.25,375.44,174.8,-433.2
1051721.8239,317.444,140.605,962.336,-122.5,-1820.0,-297.5,387.6,185.44,-443.84
1051721.8739,320.128,126.697,968.802,2677.5,-2458.75,-1435.0,370.88,191.52,-445.36
1051721.9239,311.283,136.213,966.606,1216.25,-4051.25,-2546.25,372.4,183.92,-428.64
1051721.9739,320.921,130.723,960.323,3167.5,-2738.75,-2082.5,387.6,186.96,-431.68
1051722.0239,309.209,141.642,966.972,1592.5,-2660.0,-472.5,361.76,202.16,-425.6
1051722.0739,314.943,141.154,960.689,1968.75,-2301.25,210.0,366.32,185.44,-445.36
1051722.1239,303.78,138.592,966.362,2616.25,-1487.5,-332.5,373.92,188.48,-427.12
1051722.1739,308.355,142.313,958.92,805.0,-4392.5,-1032.5,386.08,182.4,-416.48
1051722.2239,313.357,142.557,961.848,1592.5,-2091.25,-1076.25,383.04,188.48,-430.16
1051722.2739,315.553,150.06,978.867,3508.75,-1566.25,-1295.0,386.08,190.0,-405.84
1051722.3239,321.47,140.544,938.973,8793.75,-1067.5,-1373.75,386.08,185.44,-443.84
1051722.3739,317.749,150.975,948.245,-3683.75,-1662.5,726.25,386.08,182.4,-427.12
1051722.4239,294.569,134.627,952.82,-2073.75,-4305.0,3071.25,381.52,176.32,-427.12
1051722.4739,355.508,164.212,946.293,-4383.75,-3368.75,-2476.25,384.56,182.4,-436.24
1051722.5239,330.498,101.809,958.981,87.5,385.0,-6518.75,376.96,190.0,-433.2
1051722.5741,286.639,143.045,971.608,5048.75,-673.75,-4690.0,364.8,183.92,-427.12
1051722.6239,296.704,143.167,965.752,3736.25,-840.0,-1881.25,378.48,190.0,-439.28
1051722.6739,308.294,156.038,978.684,586.25,-3272.5,-752.5,361.76,190.0,-428.64
1051722.7239,334.463,149.877,955.382,-1435.0,-4935.0,568.75,381.52,188.48,-446.88
1051722.7739,335.744,151.341,948.489,-2135.0,455.0,-621.25,381.52,167.2,-436.24
1051722.8239,290.299,128.039,972.767,927.5,-2581.25,-3010.0,381.52,190.0,-428.64
1051722.8739,308.965,145.058,967.887,-385.0,-3141.25,-2038.75,364.8,176.32,-443.84
1051722.9239,299.449,100.772,979.965,122.5,-4033.75,-1303.75,363.28,190.0,-445.36
1051722.9739,322.934,108.885,971.913,4637.5,-2966.25,-1706.25,375.44,183.92,-422.56
1051723.0239,338.367,104.554,952.332,6868.75,-1785.0,-796.25,376.96,191.52,-422.56
1051723.0739,286.7,198.677,971.181,-4156.25,-3526.25,-271.25,376.96,182.4,-428.64
