TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1052753.6239,240.035,249.551,959.103,6816.25,-5407.5,-4138.75,475.76,69.92,-442.32
1052753.6739,257.725,277.184,961.543,5766.25,-3885.0,-3946.25,452.96,69.92,-431.68
1052753.7239,267.424,297.558,960.079,-16275.0,-4987.5,848.75,449.92,83.6,-425.6
1052753.7739,265.045,167.933,972.157,4331.25,-2091.25,455.0,457.52,71.44,-451.44
1052753.8239,258.152,190.991,972.157,-3762.5,-2485.0,2178.75,478.8,68.4,-437.76
1052753.8739,241.56,205.387,969.229,10561.25,-6658.75,-3832.5,469.68,76.0,-440.8
1052753.9239,252.357,187.88,971.791,12407.5,-7910.0,-5372.5,466.64,72.96,-437.76
1052753.9739,285.236,249.551,948.245,11611.25,-3351.25,-2187.5,474.24,72.96,-442.32
1052754.0239,279.258,278.709,936.716,12425.0,3062.5,4943.75,456.0,65.36,-448.4
1052754.0739,274.744,259.25,934.947,7402.5,5180.0,8505.0,460.56,57.76,-437.76
1052754.1239,252.906,284.504,943.731,10115.0,5967.5,13685.0,486.4,65.36,-445.36
1052754.1739,260.104,277.611,944.585,8767.5,6116.25,11191.25,477.28,39.52,-451.44
1052754.2239,231.007,269.925,955.016,2108.75,2292.5,4515.0,475.76,41.04,-440.8
1052754.2739,239.608,261.873,960.018,-4226.25,-358.75,2555.0,477.28,39.52,-446.88
1052754.3239,222.894,245.708,950.624,3631.25,-3990.0,-3080.0,489.44,34.96,-430.16
1052754.3739,248.88,285.663,947.635,-1146.25,-6763.75,-4917.5,471.2,42.56,-433.2
1052754.4239,239.791,266.814,951.661,-4567.5,-5285.0,-4593.75,475.76,51.68,-434.72
1052754.4739,271.816,245.22,951.051,-717.5,-4558.75,-3683.75,486.4,50.16,-439.28
1052754.5239,253.882,268.217,945.317,1163.75,-2826.25,-1163.75,486.4,50.16,-424.08
1052754.5739,242.109,256.322,954.345,2992.5,-3832.5,-3850.0,466.64,54.72,-436.24
1052754.6239,250.344,262.117,950.075,1470.0,-3412.5,-3666.25,477.28,59.28,-465.12
1052754.6739,246.44,244.488,947.94,-6483.75,-3167.5,1023.75,480.32,56.24,-425.6
1052754.7239,246.013,245.83,955.626,-236.25,-3648.75,437.5,472.72,44.08,-440.8
1052754.7739,253.15,238.083,959.225,3395.0,-2502.5,647.5,452.96,63.84,-434.72
1052754.824,247.477,226.066,971.669,2073.75,-2380.0,1347.5,484.88,50.16,-442.32
1052754.8739,251.076,237.107,957.517,1487.5,-2817.5,2231.25,490.96,59.28,-422.56
1052754.9239,247.599,269.193,945.134,5836.25,-2292.5,542.5,483.36,53.2,-445.36
1052754.9739,260.287,253.028,954.04,1303.75,-3885.0,1006.25,465.12,57.76,-446.88
1052755.0239,247.721,270.901,949.221,2747.5,-1531.25,700.0,474.24,53.2,-433.2
1052755.0739,258.152,260.287,947.696,-2826.25,-4270.0,656.25,471.2,53.2,-446.88
1052755.1239,264.801,245.464,950.746,-1312.5,-2143.75,-96.25,466.64,59.28,-449.92
1052755.1739,255.834,239.669,960.018,-1531.25,-3290.0,-1076.25,475.76,50.16,-433.2
1052755.2239,264.252,226.127,959.164,-455.0,-2633.75,-1592.5,448.4,54.72,-430.16
1052755.2739,263.398,219.295,963.251,4768.75,-2415.0,-1391.25,478.8,48.64,-451.44
1052755.3239,258.884,248.026,950.563,3753.75,-1111.25,-1426.25,469.68,50.16,-433.2
1052755.3739,255.224,254.492,954.101,1260.0,-245.0,-1023.75,489.44,38.0,-434.72
1052755.4239,256.688,248.819,954.284,2703.75,-1085.0,-1277.5,468.16,44.08,-427.12
1052755.4739,244.122,251.381,953.003,1128.75,-1583.75,-2852.5,490.96,59.28,-442.32
1052755.5239,241.316,254.37,955.748,3010.0,-2143.75,-3570.0,474.24,39.52,-427.12
1052755.5739,238.51,263.581,959.225,2283.75,-3753.75,-4786.25,471.2,56.24,-434.72
1052755.6239,256.81,260.043,952.088,-1093.75,-2703.75,-1855.0,475.76,54.72,-448.4
1052755.6739,244.122,244.122,953.064,-8.75,-2800.0,-2537.5,471.2,48.64,-424.08
1052755.7239,248.209,254.98,955.565,-1181.25,-3526.25,-2467.5,484.88,47.12,-425.6
1052755.7739,247.416,252.662,958.737,831.25,-3596.25,-3010.0,474.24,59.28,-440.8
1052755.8239,250.283,242.963,956.419,-1023.75,-2712.5,-2222.5,486.4,56.24,-425.6
1052755.8739,246.745,248.636,953.125,1942.5,-4243.75,-4007.5,474.24,60.8,-439.28
1052755.9239,261.69,257.969,950.563,-131.25,-2152.5,-2091.25,478.8,50.16,-443.84
1052755.9739,234.118,254.37,955.87,1592.5,-2318.75,-708.75,472.72,56.24,-431.68
1052756.0239,249.917,256.81,959.225,122.5,-2738.75,-8.75,486.4,69.92,-437.76
1052756.0739,240.035,256.566,956.907,-2371.25,-3351.25,-1233.75,492.48,60.8,-446.88
1052756.1239,256.932,245.464,955.687,297.5,-4103.75,437.5,472.72,59.28,-422.56
1052756.1739,257.054,239.73,958.066,-1015.0,-2458.75,-245.0,475.76,69.92,-434.72
1052756.2239,247.721,242.536,958.798,-253.75,-2870.0,-1977.5,465.12,48.64,-442.32
1052756.2739,248.209,233.935,955.504,-490.0,-3220.0,-2170.0,466.64,66.88,-439.28
1052756.3239,251.564,242.963,963.129,735.0,-3202.5,-2047.5,460.56,65.36,-449.92
1052756.3739,245.098,238.754,952.759,8.75,-3780.0,-1916.25,484.88,54.72,-428.64
1052756.4239,250.466,238.876,960.079,2082.5,-3780.0,-1111.25,480.32,62.32,-442.32
1052756.4739,259.738,240.767,952.637,2073.75,-2485.0,183.75,472.72,57.76,-443.84
1052756.5239,246.562,240.401,959.835,1925.0,-2248.75,-603.75,475.76,63.84,-442.32
1052756.5739,260.592,249.002,955.382,1575.0,-2940.0,-1041.25,462.08,56.24,-436.24
