TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1052309.6239,168.787,333.426,962.214,-4751.25,4655.0,6107.5,490.96,62.32,-433.2
1052309.6739,168.177,249.551,952.637,-4401.25,-3500.0,9091.25,487.92,68.4,-430.16
1052309.7239,169.641,266.204,956.175,4716.25,-4847.5,7288.75,484.88,60.8,-459.04
1052309.7739,164.151,279.685,967.582,7901.25,-6352.5,6886.25,487.92,62.32,-452.96
1052309.8239,184.281,313.967,967.948,7796.25,-8828.75,3990.0,478.8,54.72,-443.84
1052309.8739,195.566,335.134,952.82,4917.5,-6273.75,5057.5,487.92,50.16,-442.32
1052309.924,269.437,368.379,933.666,-5556.25,3290.0,34615.0,465.12,56.24,-431.68
1052309.9739,246.074,359.534,927.566,-12792.5,26530.0,67357.5,504.64,56.24,-445.36
1052310.0239,152.805,256.749,958.493,-24290.0,36225.0,86467.5,497.04,51.68,-449.92
1052310.0739,109.129,165.005,1002.169,-16791.25,25620.0,69702.5,524.4,63.84,-451.44
1052310.1239,110.898,133.346,1011.319,-8522.5,16563.75,50225.0,519.84,69.92,-452.96
1052310.1739,113.704,155.611,1007.11,-113.75,6457.5,25051.25,535.04,79.04,-416.48
1052310.2239,114.558,151.402,1002.962,-4033.75,-2966.25,14367.5,539.6,53.2,-422.56
1052310.2739,144.265,127.063,1007.903,2948.75,-6466.25,3648.75,533.52,60.8,-451.44
1052310.3239,167.75,124.257,1006.744,9205.0,-6002.5,1540.0,536.56,63.84,-446.88
1052310.3739,173.85,144.082,994.483,14358.75,-5976.25,5398.75,518.32,62.32,-422.56
1052310.4239,171.776,200.324,987.773,24640.0,-3990.0,9940.0,516.8,44.08,-433.2
1052310.4739,173.118,241.987,977.342,17823.75,-4856.25,9283.75,509.2,36.48,-433.2
1052310.5239,176.778,236.741,978.867,10526.25,-4777.5,3421.25,528.96,39.52,-434.72
1052310.5739,170.129,247.66,980.453,5888.75,-5845.0,140.0,512.24,33.44,-425.6
1052310.6239,182.756,225.517,976.549,7936.25,-7376.25,-3097.5,525.92,25.84,-452.96
1052310.6739,184.464,246.318,975.756,7236.25,-7621.25,-2318.75,501.6,18.24,-421.04
1052310.7239,192.15,250.283,963.678,3990.0,-6833.75,-2318.75,518.32,15.2,-446.88
1052310.7739,193.37,247.233,969.961,3377.5,-6448.75,-2458.75,515.28,15.2,-431.68
1052310.8239,202.398,251.564,974.597,3648.75,-5407.5,-2668.75,524.4,19.76,-439.28
1052310.8739,189.71,241.255,968.253,3316.25,-6151.25,-2957.5,515.28,21.28,-448.4
1052310.9239,190.259,245.098,971.425,3780.0,-7061.25,-3902.5,512.24,24.32,-427.12
1052310.9739,203.862,247.05,966.85,2913.75,-7997.5,-5486.25,503.12,12.16,-428.64
1052311.0239,212.036,254.248,963.007,4130.0,-6641.25,-5040.0,495.52,30.4,-443.84
1052311.0739,212.097,266.692,963.129,2677.5,-4567.5,-3228.75,490.96,15.2,-425.6
1052311.1239,207.034,264.984,959.774,2082.5,-4121.25,-2546.25,503.12,10.64,-443.84
1052311.1739,202.337,260.104,962.519,2345.0,-3517.5,-2861.25,516.8,18.24,-431.68
1052311.2239,203.069,267.485,962.702,1592.5,-4086.25,-2870.0,494.0,15.2,-445.36
1052311.2739,204.96,264.496,962.58,752.5,-4235.0,-2135.0,509.2,7.6,-422.56
1052311.3239,207.583,259.433,965.508,1942.5,-3753.75,-726.25,498.56,10.64,-424.08
